user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
518687,chrisballinger,2010-12-11T04:51:27Z,2,2027,4793,3,7,106.21042591875056
5364,andreyvit,2008-04-06T07:16:31Z,1,1573,1714,1,1,72.50116686114352
8598682,geof90,2014-08-30T12:47:08Z,1,531,1681,1,2,34.43129089827484
367503,felixhageloh,2010-08-17T17:35:35Z,1,460,490,1,3,27.224489795918366
130874,jacobwgillespie,2009-09-24T15:58:51Z,1,149,631,1,1,22.904912836767036
69123,russellhancox,2009-03-31T21:59:50Z,1,722,926,1,8,13.742170626349893
43241,snej,2008-12-30T01:52:44Z,1,2471,4289,5,18,13.602950700759047
10249104,wilhuff,2014-12-20T01:30:29Z,1,685,3942,2,5,13.06747843734145
2268687,alexgarbarev,2012-09-03T06:24:51Z,1,358,2959,1,1,11.614734707671511
97337,arauchfuss,2009-06-20T17:15:21Z,1,26,197,1,1,10.558375634517766
442030,barijaona,2010-10-16T17:05:16Z,1,1648,4393,2,5,9.453585249260186
5793864,dmoagx,2013-10-28T12:25:53Z,1,623,4683,1,3,8.602889885401096
97262,cb1kenobi,2009-06-20T07:26:43Z,1,2101,33634,5,8,7.535027799250758
831983,mennopruijssers,2011-06-06T06:18:17Z,1,10,158,1,1,6.582278481012658
432536,jspahrsummers,2010-10-08T15:39:49Z,1,510,1039,1,3,6.381135707410971
72159,kornelski,2009-04-09T14:50:19Z,1,818,2573,6,57,5.6221081269049025
20411648,wendux,2016-07-12T03:33:28Z,1,12,75,1,1,5.6
5748627,revolter,2013-10-22T15:56:26Z,1,11,959,1,1,4.588112617309697
170812,zwaldowski,2009-12-22T05:33:17Z,1,17,383,1,2,3.906005221932115
522344,alanhamlett,2010-12-14T08:20:30Z,1,6,764,1,1,3.243455497382199
22286696,latenitefilms,2016-09-19T04:55:48Z,1,355,5412,2,5,3.069844789356985
50326,mrvacbob,2009-01-29T21:42:41Z,1,260,6328,1,6,2.99936788874842
81099,tiennou,2009-05-05T08:05:28Z,1,471,3266,1,3,2.8361910593998774
2117646,tburgin,2012-08-08T15:41:12Z,1,141,926,1,8,2.6837203023758103
15073177,Eitot,2015-10-11T08:56:01Z,1,415,4393,2,5,2.3806055087639426
36750494,csabol-stripe,2018-02-23T01:12:20Z,1,135,3413,1,2,2.0766188104307064
90494,brentvatne,2009-05-31T22:55:13Z,1,1091,9855,1,13,2.0523045701127893
1151041,sjchmiela,2011-10-25T15:27:19Z,1,886,9855,1,13,1.6666744721539242
7443038,radazzouz,2014-04-29T19:19:02Z,1,29,774,1,3,1.3987941429801893
379606,ide,2010-08-29T08:57:48Z,1,740,9855,1,13,1.3920305975100498
8216808,var-const,2014-07-20T16:03:45Z,1,144,3942,1,5,1.3735159817351599
799345,josh64x2,2011-05-19T23:55:06Z,1,471,4393,1,5,1.3509219212383337
19958240,esamelson,2016-06-15T18:06:46Z,1,707,9855,1,13,1.3299535573508177
801454,pasin,2011-05-20T23:54:50Z,1,1192,4289,1,18,1.3124012331286752
1271525,willlarche,2011-12-18T22:12:15Z,1,343,8846,1,5,1.2407867962921095
40610,kishikawakatsumi,2008-12-15T20:44:05Z,1,169,11213,1,6,1.0273937988644133
2771,andymatuschak,2008-03-10T21:23:20Z,1,440,2573,2,57,1.0080389469593143
2164028,btnguyen2k,2012-08-16T15:50:38Z,1,3,25,2,9,0.9866666666666665
581764,bryanoltman,2011-01-24T23:46:07Z,1,262,8846,1,5,0.9477730047479087
3252,sgtcoolguy,2008-03-17T16:23:47Z,1,1199,33634,1,8,0.8600188797050604
