user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
518687,chrisballinger,2010-12-11T04:51:27Z,1,1780,3413,1,2,49.02431878113097
1016974,VilemKurz,2011-08-31T13:52:07Z,1,905,1602,2,4,33.04775280898876
43241,snej,2008-12-30T01:52:44Z,1,2471,4289,4,7,27.983212870132895
90045,garrettmoon,2009-05-29T22:35:08Z,1,372,652,1,2,27.671779141104295
408944,tgoyne,2010-09-20T21:02:15Z,1,2179,11213,1,3,26.493385653556885
29303030,kinarobin,2017-06-09T09:41:39Z,1,21,310,1,1,22.558064516129033
1041337,guillaumealgis,2011-09-10T20:38:31Z,1,60,764,1,2,16.217277486910994
14877347,sid-github,2015-09-28T17:53:05Z,1,93,779,1,2,14.08729139922978
45670,jverkoey,2009-01-11T01:18:44Z,1,1675,8846,2,5,12.118471625593491
1753199,romoore,2012-05-18T18:18:50Z,1,1099,8846,3,5,11.92674655211395
432536,jspahrsummers,2010-10-08T15:39:49Z,1,510,1039,1,2,9.571703561116458
625723,sskhandp,2011-02-18T18:26:20Z,1,48,779,1,2,7.270860077021823
799345,josh64x2,2011-05-19T23:55:06Z,1,471,4393,1,1,6.754609606191668
10249104,wilhuff,2014-12-20T01:30:29Z,1,685,3942,2,11,5.9397629260642955
699752,richardjrossiii,2011-03-30T16:53:28Z,1,82,1052,1,3,4.494930291508238
641356,djbe,2011-02-27T21:51:13Z,1,112,1781,1,1,4.339135317237507
227982,palpatim,2010-03-22T15:27:00Z,1,136,981,3,13,4.159021406727829
73870,paulb777,2009-04-15T00:11:38Z,1,891,3942,1,11,3.8630136986301373
169061,sptramer,2009-12-17T18:41:57Z,1,1209,33634,1,2,3.4687667241481837
5416242,datomnurdin,2013-09-09T08:03:12Z,1,5,114,1,1,3.4649122807017547
801454,pasin,2011-05-20T23:54:50Z,1,1192,4289,1,7,3.374746028045165
246780,fillito,2010-04-18T18:25:42Z,1,1,20,1,1,3.3
106152,ksuther,2009-07-17T21:42:53Z,2,22,3231,3,4,1.8384401114206126
1841926,maksymmalyhin,2012-06-12T10:07:01Z,1,181,3942,2,11,1.5694848023615144
11030696,passerbyloo,2015-02-16T14:34:37Z,1,6,679,1,1,1.3961708394698085
1082754,mikehaney24,2011-09-27T04:18:34Z,1,125,3942,2,11,1.0838983441723167
10448770,jayahariv,2015-01-08T11:16:52Z,1,372,4289,1,7,1.053192552376511
12937,lono175,2008-06-07T16:22:37Z,1,1,676,1,1,0.8742603550295858
363772,cipherCOM,2010-08-13T19:04:36Z,1,4,921,1,1,0.8295331161780674
1461390,demonnico,2012-02-22T14:14:41Z,1,3,1082,1,3,0.7033271719038817
51138777,royjit,2019-05-28T21:52:30Z,1,57,981,1,13,0.5810397553516821
8926,blaxter,2008-04-30T11:55:47Z,1,88,15728,1,1,0.5539165818921669
915431,ejensen,2011-07-14T16:29:48Z,1,3,128,1,2,0.55078125
444313,rsanchezsaez,2010-10-18T17:31:15Z,1,1,48,1,1,0.5416666666666666
1406024,janvennemann,2012-02-03T16:56:17Z,1,179,33634,1,2,0.5135725753701612
5108256,xuaninbox,2013-07-28T19:30:15Z,1,4,1505,1,1,0.4039867109634552
490236,devangmundhra,2010-11-21T01:49:14Z,1,1,87,1,1,0.3103448275862069
135177,saturngod,2009-10-05T10:13:52Z,1,16,1602,1,4,0.29213483146067415
997985,teeqemm,2011-08-23T04:09:00Z,1,1,437,1,2,0.26773455377574373
47814950,nachoBonafonte,2019-02-20T10:15:38Z,1,2,908,1,1,0.2643171806167401
10579422,kwgithubusername,2015-01-18T02:15:06Z,1,1,496,1,3,0.23454301075268816
1911939,wooj2,2012-07-01T22:15:58Z,1,23,981,1,13,0.23445463812436296
224396,crino,2010-03-17T07:34:50Z,1,1,2100,1,1,0.19285714285714287
6855546,ezig,2014-03-04T22:01:40Z,1,1,342,1,1,0.17251461988304093
1837226,robwagstaff1984,2012-06-11T06:03:44Z,1,1,522,1,2,0.13505747126436782
