repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
AlDanial/cloc,192,9952,770,30549368,sadeshwar94,0
AlisamTechnology/ATSCAN,78,692,2394,29106305,vactum0,0
AndriiGrytsenko/openssh-ldap-publickey,18,162,78,953312,lesovsky,0
AndriiGrytsenko/openssh-ldap-publickey,18,162,78,472631,variablenix,0
AndriiGrytsenko/openssh-ldap-publickey,18,162,78,406480,johnsmclay,0
AndriiGrytsenko/openssh-ldap-publickey,18,162,78,156697,Dushistov,1
AndriiGrytsenko/openssh-ldap-publickey,18,162,78,15321453,shean023,0
AndriiGrytsenko/openssh-ldap-publickey,18,162,78,22225346,krtcom,0
AonCyberLabs/PadBuster,43,520,10,1854557,Meatballs1,0
AonCyberLabs/PadBuster,43,520,10,26904587,jordanlarose,0
BaldMansMojo/check_vmware_esx,26,105,160,1897410,simonmeggle,0
CiscoCXSecurity/enum4linux,18,287,23,5858058,NoxNoctis,1
Difegue/LANraragi,22,308,1283,53387880,Mayriad,5
Difegue/LANraragi,22,308,1283,43463252,Admiral124,0
Difegue/LANraragi,22,308,1283,1447794,CirnoT,27
DmitryKoterov/dklab_realsync,16,193,57,22156669,MikaTula,0
DmitryKoterov/dklab_realsync,16,193,57,603401,likemusic,0
DmitryKoterov/dklab_realsync,16,193,57,476075,nmike,1
Ensembl/ensembl-vep,26,224,1558,11536499,leonschuetz,0
Flipkart/HostDB,71,213,113,26386,imagelife,0
Git-Mediawiki/Git-Mediawiki,14,120,359,10828817,trenta3,0
Git-Mediawiki/Git-Mediawiki,14,120,359,509205,Nudin,0
InteliSecureLabs/Linux_Exploit_Suggester,128,1429,32,835204,nhajiyani,0
Jack000/Expose,108,4151,102,173219,vi,0
LibreCat/Catmandu,26,145,2398,66416,phochste,612
Lochnair/vyatta-wireguard,55,742,181,2403100,vswee,0
Lochnair/vyatta-wireguard,55,742,181,17747683,dirtycache,0
Logitech/slimserver,104,566,21122,4285269,sanderant,0
Logitech/slimserver,104,566,21122,5992792,d4wner,0
Logitech/slimserver,104,566,21122,7252737,viviparous,0
Moham3dRiahi/XAttacker,87,786,108,35132115,killercoderz4,0
Moham3dRiahi/XAttacker,87,786,108,9906392,kwc305,0
Moham3dRiahi/XBruteForcer,31,220,36,46679678,IssueThrowaway,0
NixOS/hydra,43,395,2956,787421,kquick,14
NixOS/hydra,43,395,2956,553443,taktoa,1
NixOS/hydra,43,395,2956,3192959,bennofs,1
NixOS/hydra,43,395,2956,119323,alpmestan,0
NixOS/hydra,43,395,2956,539077,gulrotkake,0
NixOS/hydra,43,395,2956,1148549,edolstra,1939
NixOS/hydra,43,395,2956,5350473,francesliang,0
NixOS/hydra,43,395,2956,787843,twhitehead,0
NixOS/hydra,43,395,2956,19562256,clojurians-org,0
NixOS/hydra,43,395,2956,328826,verm666,0
Nordaaker/convos,35,667,2023,35859,jzawodn,0
Nordaaker/convos,35,667,2023,1356314,stefanmb,0
Nordaaker/convos,35,667,2023,22983914,ukcb,0
Nordaaker/convos,35,667,2023,45729,jhthorsen,1896
Nordaaker/convos,35,667,2023,5502824,V3XATI0N,0
Nordaaker/convos,35,667,2023,1150045,voegelas,1
Nordaaker/convos,35,667,2023,83137,atomi,0
Nordaaker/convos,35,667,2023,9674923,Svetlana-T,0
Nordaaker/convos,35,667,2023,23628,amenonsen,0
Nordaaker/convos,35,667,2023,15224531,tyldum,2
Nordaaker/convos,35,667,2023,14615,edrex,0
Nordaaker/convos,35,667,2023,5526,marcusramberg,51
OCSInventory-NG/OCSInventory-Server,57,193,1040,33028296,combasdg,0
OCSInventory-NG/OCSInventory-Server,57,193,1040,30324658,Wilyton,0
OCSInventory-NG/OCSInventory-Server,57,193,1040,18438119,cgregoirovh,3
OCSInventory-NG/OCSInventory-Server,57,193,1040,9396603,gillesdubois,143
OCSInventory-NG/OCSInventory-Server,57,193,1040,13314239,daniejstriata,0
OCSInventory-NG/OCSInventory-Server,57,193,1040,3534830,jcpunk,0
OCSInventory-NG/OCSInventory-Server,57,193,1040,28918159,RudyLaurent,19
OCSInventory-NG/OCSInventory-Server,57,193,1040,3843371,jagarsoft,0
OPMDG/check_pgactivity,18,132,680,855369,azet,0
OPMDG/check_pgactivity,18,132,680,12493312,michalmedvecky,0
OSInside/kiwi-legacy,31,155,7901,912234,schaefi,3576
OSInside/kiwi-legacy,31,155,7901,722232,lnussel,5
OSInside/kiwi-legacy,31,155,7901,1087183,rjschwei,326
OSInside/kiwi-legacy,31,155,7901,2597362,seife,1
OTRS/otrs,131,720,31144,8192649,pboguslawski,0
OTRS/otrs,131,720,31144,6348760,s7design,15
OTRS/otrs,131,720,31144,11934069,lameventanas,0
OTRS/otrs,131,720,31144,17832702,ernst-s,0
OTRS/otrs,131,720,31144,36455093,andreashergert1984,0
OTRS/otrs,131,720,31144,4580197,noritnk,2
OTRS/otrs,131,720,31144,23773,moritz,45
OTRS/otrs,131,720,31144,33550333,trciphron,0
OTRS/otrs,131,720,31144,1006118,urbalazs,0
OTRS/otrs,131,720,31144,6574323,stefano-pogliani,0
OTRS/otrs,131,720,31144,3941113,melak,0
OTRS/otrs,131,720,31144,3873515,thorsteneckel,16
OTRS/otrs,131,720,31144,988199,merkushov,0
OTRS/otrs,131,720,31144,144096,reneeb,74
OTRS/otrs,131,720,31144,358883,pecharmin,0
OTRS/otrs,131,720,31144,3181520,jensoliver,6
OWASP/O-Saft,32,284,4037,1640577,alexstuart,0
OWASP/O-Saft,32,284,4037,6380710,fredomgc,0
OWASP/O-Saft,32,284,4037,10671559,bbaassssiiee,0
OWASP/O-Saft,32,284,4037,103866,EnDe,3825
OWASP/O-Saft,32,284,4037,915188,h5b,0
OWASP/O-Saft,32,284,4037,7883438,sslHello,199
OWASP/O-Saft,32,284,4037,55146290,achim-owasp,0
OWASP/O-Saft,32,284,4037,333846,stitch,1
OpenKore/openkore,239,927,12679,25889323,gracksan,0
OpenKore/openkore,239,927,12679,18117112,whitesmith82,0
OpenKore/openkore,239,927,12679,33999214,casualmind,0
OpenKore/openkore,239,927,12679,26649332,Vestralls,0
OpenKore/openkore,239,927,12679,8778425,Jozoko,0
OpenKore/openkore,239,927,12679,20570223,qorma8,0
OpenKore/openkore,239,927,12679,29881490,acepartacus,0
OpenKore/openkore,239,927,12679,38864332,saitamax1,0
OpenKore/openkore,239,927,12679,10372732,alisonrag,562
OpenKore/openkore,239,927,12679,10137,ghost,0
OpenKore/openkore,239,927,12679,25382808,kou90258,0
OpenKore/openkore,239,927,12679,18085739,c4c1n6kr3m1,29
OpenKore/openkore,239,927,12679,25668148,k1nt4r0,0
OpenKore/openkore,239,927,12679,16998341,panikim,0
OpenKore/openkore,239,927,12679,19372257,XCBX,0
OpenKore/openkore,239,927,12679,42315493,Vitale44,0
OpenKore/openkore,239,927,12679,34211741,pamungkas95,0
