repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
ARCANEDEV/LogViewer,50,1840,639,3282340,arcanedev-maroc,553
ApiGen/ApiGen,103,2021,3404,33527,jadb,76
Attendize/Attendize,191,2947,1138,166798,daveearley,1
Automattic/jetpack,220,1227,22337,426388,jeherve,1849
Automattic/jetpack,220,1227,22337,746152,oskosk,581
Automattic/jetpack,220,1227,22337,104869,lezama,804
Automattic/jetpack,220,1227,22337,1041600,eliorivero,1167
Automattic/jetpack,220,1227,22337,214813,jeffgolenski,470
Automattic/jetpack,220,1227,22337,1126811,ebinnion,684
Automattic/jetpack,220,1227,22337,437258,rickybanister,0
Automattic/jetpack,220,1227,22337,7129409,dereksmart,2033
Automattic/jetpack,220,1227,22337,374293,zinigor,793
Automattic/jetpack,220,1227,22337,941023,georgestephanis,1184
Automattic/jetpack,220,1227,22337,574752,samhotchkiss,743
Automattic/jetpack,220,1227,22337,88897,kraftbj,687
BOINC/boinc,107,1219,34101,985598,brevilo,82
BOINC/boinc,107,1219,34101,985729,davidpanderson,10229
Bit-Wasp/bitcoin-php,69,819,2808,5617245,afk11,1627
BookStackApp/BookStack,166,5222,2205,24681688,albergoniSivaf,1
BookStackApp/BookStack,166,5222,2205,8343178,ssddanbrown,1623
BookStackApp/BookStack,166,5222,2205,1470412,cw1998,9
BookStackApp/BookStack,166,5222,2205,25611547,MatthieuNoirbusson,0
BookStackApp/BookStack,166,5222,2205,44259441,Mikuz,0
Bottelet/DaybydayCRM,135,1419,395,15610490,Bottelet,255
CachetHQ/Cachet,306,11381,7259,8534419,vikramarsid,0
CachetHQ/Cachet,306,11381,7259,2829600,GrahamCampbell,911
CachetHQ/Cachet,306,11381,7259,246103,jbrooksuk,4432
CachetHQ/Cachet,306,11381,7259,3260091,ConnorVG,5
CachetHQ/Cachet,306,11381,7259,18206299,iknev31,0
CachetHQ/Cachet,306,11381,7259,8358956,Arcrammer,0
Codeception/Codeception,153,4121,6873,220264,DavertMik,2864
Codiad/Codiad,217,2696,1670,1061866,Metrax,0
Codiad/Codiad,217,2696,1670,3989440,daeks,154
Codiad/Codiad,217,2696,1670,1089942,Flolagale,129
DarkaOnLine/L5-Swagger,28,1317,234,1171698,DarkaOnLine,156
Dolibarr/dolibarr,248,2009,88569,2097773,atm-maxime,624
Dolibarr/dolibarr,248,2009,88569,883887,eldy,51273
Dolibarr/dolibarr,248,2009,88569,1210367,rdoursenaud,634
Dolibarr/dolibarr,248,2009,88569,454387,hregis,7811
Dolibarr/dolibarr,248,2009,88569,881833,simnandez,2399
Dolibarr/dolibarr,248,2009,88569,1450340,fkoessler,1
Dolibarr/dolibarr,248,2009,88569,41898282,github-actions[bot],0
EasyCorp/EasyAdminBundle,117,3015,4243,5166399,morgan-blondellet,0
EasyCorp/EasyAdminBundle,117,3015,4243,884441,Shine-neko,0
EasyCorp/EasyAdminBundle,117,3015,4243,73419,javiereguiluz,3360
EasyEngine/easyengine,119,1722,4961,4115,rahul286,76
EasyEngine/easyengine,119,1722,4961,7263155,andrewklimek,0
EasyEngine/easyengine,119,1722,4961,245141,cobbman,0
Elgg/Elgg,129,1405,17781,861833,jdalsem,2378
Elgg/Elgg,129,1405,17781,170687,mrclay,1880
Elgg/Elgg,129,1405,17781,1202761,hypeJunction,866
Elgg/Elgg,129,1405,17781,883920,juho-jaakkola,513
Elgg/Elgg,129,1405,17781,738363,beck24,139
Elgg/Elgg,129,1405,17781,356564,ewinslow,1263
FreshRSS/FreshRSS,82,2504,4550,1008324,Alkarex,2552
FreshRSS/FreshRSS,82,2504,4550,1436309,marienfressinaud,1244
FriendsOfPHP/security-advisories,141,1447,1048,154256,Ocramius,38
FriendsOfPHP/security-advisories,141,1447,1048,1957048,xabbuh,18
FriendsOfPHP/security-advisories,141,1447,1048,2265694,garas,0
FriendsOfPHP/security-advisories,141,1447,1048,47313,fabpot,433
FriendsOfSymfony/FOSRestBundle,92,2506,3236,6871899,GuilhemN,17
FriendsOfSymfony/FOSRestBundle,92,2506,3236,439401,stof,56
FrozenNode/Laravel-Administrator,129,1967,1026,4215945,davemathews,85
HDInnovations/UNIT3D-Community-Edition,52,1189,5614,12850699,HDVinnie,3130
Intervention/image,292,11090,650,884642,olivervogel,491
InvoicePlane/InvoicePlane,153,1674,1764,1816101,Kovah,1208
KnpLabs/Gaufrette,78,2317,1010,209405,l3l0,149
KnpLabs/php-github-api,80,1717,1432,439401,stof,1
KnpLabs/php-github-api,80,1717,1432,899452,cursedcoder,224
LavaLite/cms,179,2071,384,16864099,hygsani,0
LavaLite/cms,179,2071,384,1788735,Renfos,156
LavaLite/cms,179,2071,384,10137,ghost,0
LavaLite/cms,179,2071,384,1081252,54853315,0
LiveHelperChat/livehelperchat,173,1322,4954,1146085,remdex,4694
MISP/MISP,255,2831,15945,3668672,iglocska,7341
MISP/MISP,255,2831,15945,362025,SteveClement,1026
MISP/MISP,255,2831,15945,741037,jaegeral,12
MISP/MISP,255,2831,15945,256028,cudeso,8
MISP/MISP,255,2831,15945,17417749,yohonet,0
MISP/MISP,255,2831,15945,8420509,SHSauler,5
MISP/MISP,255,2831,15945,2749718,zeroq,0
MISP/MISP,255,2831,15945,30608998,TheImmigrant,0
MISP/MISP,255,2831,15945,157819,trolldbois,0
MISP/MISP,255,2831,15945,3309,adulau,950
MISP/MISP,255,2831,15945,11578757,jmgnc,0
MPOS/php-mpos,216,1465,4049,2376835,TheSerapher,644
MPOS/php-mpos,216,1465,4049,6441953,bo-liu,0
MPOS/php-mpos,216,1465,4049,5769465,iAmShorty,363
MPOS/php-mpos,216,1465,4049,4699156,ahmedbodi,7
MPOS/php-mpos,216,1465,4049,75388,mindfox,0
MPOS/php-mpos,216,1465,4049,6121002,xisi,146
MPOS/php-mpos,216,1465,4049,5949943,lmarty,0
MPOS/php-mpos,216,1465,4049,1176588,ustrucx,0
MPOS/php-mpos,216,1465,4049,4267541,Neozonz,95
Maatwebsite/Laravel-Excel,218,8891,1276,4272433,GlennM,8
Maatwebsite/Laravel-Excel,218,8891,1276,6707194,phuclh,0
Maatwebsite/Laravel-Excel,218,8891,1276,7728097,patrickbrouwers,883
Open-Web-Analytics/Open-Web-Analytics,77,1251,1826,249756,padams,48
