repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
ARCANEDEV/LogViewer,50,1847,639,9209679,amirpiri,0
ARCANEDEV/LogViewer,50,1847,639,5318005,umairali,0
ApiGen/ApiGen,103,2022,3404,5360877,rindeal,1
Attendize/Attendize,191,2956,1138,12887130,MostafaAttia,0
Automattic/jetpack,218,1228,22422,3676359,richardmtl,10
Automattic/jetpack,218,1228,22422,411945,scottsweb,52
Automattic/jetpack,218,1228,22422,1123119,MichaelArestad,363
Automattic/jetpack,218,1228,22422,115071,enejb,844
Automattic/jetpack,218,1228,22422,87168,simison,126
Automattic/jetpack,218,1228,22422,574752,samhotchkiss,743
Automattic/jetpack,218,1228,22422,88897,kraftbj,691
Automattic/jetpack,218,1228,22422,11143071,nabsul,3
Automattic/jetpack,218,1228,22422,1041600,eliorivero,1167
Automattic/jetpack,218,1228,22422,108942,beaulebens,53
Automattic/jetpack,218,1228,22422,1126811,ebinnion,685
Automattic/jetpack,218,1228,22422,51896,gravityrail,1103
Automattic/jetpack,218,1228,22422,426388,jeherve,1861
Automattic/jetpack,218,1228,22422,104869,lezama,804
Automattic/jetpack,218,1228,22422,161683,joehoyle,0
Automattic/jetpack,218,1228,22422,2694219,roccotripaldi,440
Automattic/jetpack,218,1228,22422,477498,korobochkin,0
BOINC/boinc,106,1227,34165,18352107,drshawnkwang,0
BOINC/boinc,106,1227,34165,207407,smoe,17
BOINC/boinc,106,1227,34165,3234209,AenBleidd,486
BOINC/boinc,106,1227,34165,985772,romw,7834
Bit-Wasp/bitcoin-php,70,825,2808,33521017,seby2k,0
Bit-Wasp/bitcoin-php,70,825,2808,5617245,afk11,1627
BookStackApp/BookStack,164,5267,2205,8343178,ssddanbrown,1623
BookStackApp/BookStack,164,5267,2205,27957042,tesaorif,0
BookStackApp/BookStack,164,5267,2205,34983763,rainshiny,0
BookStackApp/BookStack,164,5267,2205,9366580,TheDealman,0
BookStackApp/BookStack,164,5267,2205,42074564,emanuelhaine,0
BookStackApp/BookStack,164,5267,2205,21090563,derek-shnosh,0
BookStackApp/BookStack,164,5267,2205,59957858,knightfallproject,0
BookStackApp/BookStack,164,5267,2205,30605459,oden08,0
BookStackApp/BookStack,164,5267,2205,6190178,Chluz,0
BookStackApp/BookStack,164,5267,2205,1225862,Windoze345,0
BookStackApp/BookStack,164,5267,2205,6606609,JHenneberg,1
Bottelet/DaybydayCRM,134,1438,401,6529821,streetgt,0
CachetHQ/Cachet,304,11446,7259,34451983,djanand2000,0
