repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Automattic/jetpack,220,1227,22337,1041600,eliorivero,1167
BOINC/boinc,107,1219,34101,985598,brevilo,82
BOINC/boinc,107,1219,34101,985729,davidpanderson,10229
BOINC/boinc,107,1219,34101,997210,ChristianBeer,520
BOINC/boinc,107,1219,34101,15861527,grctest,3
BOINC/boinc,107,1219,34101,101955,nicolas17,1
BOINC/boinc,107,1219,34101,3234209,AenBleidd,470
BOINC/boinc,107,1219,34101,10869938,SETIguy,400
BOINC/boinc,107,1219,34101,22137498,JackJHarris,0
BOINC/boinc,107,1219,34101,419298,lakridserne,0
BOINC/boinc,107,1219,34101,1510968,marius311,14
BOINC/boinc,107,1219,34101,1257854,lfield,87
BOINC/boinc,107,1219,34101,32340448,MichaelDHEP,0
Bit-Wasp/bitcoin-php,69,819,2808,5617245,afk11,1627
Bit-Wasp/bitcoin-php,69,819,2808,57465142,U77bna,0
Bit-Wasp/bitcoin-php,69,819,2808,1758597,itinance,0
Bit-Wasp/bitcoin-php,69,819,2808,649160,rubensayshi,49
Bit-Wasp/bitcoin-php,69,819,2808,570164,zilveer,1
CachetHQ/Cachet,306,11381,7259,8534419,vikramarsid,0
CachetHQ/Cachet,306,11381,7259,2829600,GrahamCampbell,911
CachetHQ/Cachet,306,11381,7259,246103,jbrooksuk,4432
CachetHQ/Cachet,306,11381,7259,10924313,Kurt108,0
CachetHQ/Cachet,306,11381,7259,3662109,djdefi,2
CachetHQ/Cachet,306,11381,7259,67870139,mattluchterhand,0
CachetHQ/Cachet,306,11381,7259,30606887,welcome[bot],0
CachetHQ/Cachet,306,11381,7259,20525306,M0ter,0
Codeception/Codeception,153,4121,6873,220264,DavertMik,2864
Codiad/Codiad,217,2696,1670,3989440,daeks,154
Codiad/Codiad,217,2696,1670,907195,tmikaeld,0
Codiad/Codiad,217,2696,1670,792284,HLSiira,0
Dolibarr/dolibarr,248,2009,88569,883887,eldy,51273
Dolibarr/dolibarr,248,2009,88569,1210367,rdoursenaud,634
Dolibarr/dolibarr,248,2009,88569,454387,hregis,7811
Dolibarr/dolibarr,248,2009,88569,881833,simnandez,2399
Dolibarr/dolibarr,248,2009,88569,4573808,fappels,342
Dolibarr/dolibarr,248,2009,88569,10333576,SBA18,0
Dolibarr/dolibarr,248,2009,88569,168744,marcosgdf,1210
Dolibarr/dolibarr,248,2009,88569,68460690,egils-consulting,10
Dolibarr/dolibarr,248,2009,88569,3694135,BebZ,0
Dolibarr/dolibarr,248,2009,88569,3624836,frederic34,2259
Dolibarr/dolibarr,248,2009,88569,1095260,Darkjeff,50
