user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
244586,blueimp,2010-04-15T12:14:30Z,1,1105,1247,3,5,892.1523656776262
81561,Synchro,2009-05-06T09:20:39Z,1,1182,1624,8,10,524.0394088669951
1111670,liu21st,2011-10-08T03:24:09Z,2,6273,7869,2,2,493.4536789935189
463230,taylorotwell,2010-11-01T20:15:30Z,4,19293,36054,42,274,485.42260696546424
1392869,daftspunk,2012-01-30T22:26:08Z,1,3020,5440,1,1,258.6985294117647
183678,Seldaek,2010-01-16T18:28:47Z,3,6841,12551,11,26,221.83786152497808
4481467,amuntner,2013-05-20T17:49:37Z,1,293,475,1,1,214.66105263157894
499088,electerious,2010-11-27T14:57:47Z,1,1487,1598,1,1,207.51001251564455
197404,snipe,2010-02-05T06:13:25Z,1,3967,4477,5,7,204.432336705064
3761968,kalcaddle,2013-03-04T07:27:46Z,1,153,227,3,3,192.76651982378854
25218,sebastianbergmann,2008-09-18T17:30:06Z,1,10955,14026,2,3,177.03788202861352
199570,bcosca,2010-02-08T14:30:28Z,1,63,109,3,3,131.77981651376146
1472352,overtrue,2012-02-25T08:17:56Z,1,948,1668,2,5,127.30935251798563
1897962,votdev,2012-06-27T10:12:15Z,1,4457,4524,3,3,127.08952254641909
11869114,yansongda,2015-04-09T10:05:13Z,1,523,638,2,2,124.60188087774294
185976,gsherwood,2010-01-20T05:22:11Z,1,5193,6425,3,4,121.84354085603113
223647,ozh,2010-03-16T08:39:05Z,1,1476,1799,3,7,118.1456364647026
5390120,mgp25,2013-09-05T09:53:23Z,1,832,1365,6,18,117.43492063492063
6026504,rappasoft,2013-11-25T00:28:01Z,1,2089,2840,2,4,115.11566901408452
1058150,cydrobolt,2011-09-17T12:55:09Z,1,740,843,1,1,114.99406880189798
2687997,yajra,2012-10-31T02:01:23Z,1,1464,1758,1,1,112.42320819112629
4527441,alextselegidis,2013-05-25T14:51:40Z,1,992,1219,2,2,111.48810500410173
156321,panique,2009-11-21T12:15:55Z,1,1265,1510,8,17,103.28944292948967
1311155,mattpass,2012-01-07T09:06:38Z,1,2682,2799,1,1,101.56913183279742
47313,fabpot,2009-01-17T13:42:51Z,4,27364,59792,19,163,100.55735753064612
546788,alecpl,2011-01-04T10:14:46Z,1,7905,11864,30,45,99.94521240728253
108052,rowan-m,2009-07-23T18:05:53Z,1,162,213,1,1,98.87323943661973
1321596,Anahkiasen,2012-01-11T12:24:05Z,1,2265,2378,1,1,95.24810765349032
24086,markstory,2008-09-11T02:52:38Z,2,16882,43967,28,80,94.34137876134375
207887,svivian,2010-02-21T16:28:22Z,1,975,1371,3,3,93.16192560175054
4629496,hillelcoren,2013-06-06T10:10:27Z,1,7384,9017,5,10,88.8503937007874
47294,samdark,2009-01-17T10:59:37Z,3,4595,26949,26,99,83.0663119375131
1904430,TysonAndre,2012-06-29T01:18:12Z,1,4469,6295,1,1,80.22192216044479
323546,fguillot,2010-07-05T18:57:55Z,1,2823,4096,1,3,79.029296875
195675,finwe,2010-02-03T14:53:18Z,1,428,717,3,3,78.19804741980474
7728097,patrickbrouwers,2014-05-28T21:42:09Z,1,883,1276,1,2,75.42868338557994
103941,bshaffer,2009-07-11T16:57:37Z,2,814,2638,9,27,74.67323730098559
36432,danielbachhuber,2008-11-24T20:58:38Z,2,4530,13775,5,10,72.18402903811251
90977,mikejolley,2009-06-02T10:21:18Z,1,14216,35872,1,3,72.12622658340766
600897,pitbulk,2011-02-04T18:25:03Z,1,390,589,16,21,67.60126121756002
4736168,luke-,2013-06-19T07:39:42Z,1,3248,7039,2,5,65.33837192783066
201963,lcobucci,2010-02-11T17:20:45Z,1,366,446,8,14,64.71236386931453
220264,DavertMik,2010-03-11T01:11:21Z,1,2864,6873,1,1,63.755565255347015
7339644,danog,2014-04-18T17:33:04Z,1,2300,2475,3,4,62.72727272727272
14214667,dktapps,2015-09-10T08:52:14Z,1,4683,9755,1,2,61.68790363915941
143206,makasim,2009-10-22T15:06:19Z,1,2077,2475,1,1,61.2610101010101
444165,pmeenan,2010-10-18T15:32:53Z,1,4588,5953,1,2,60.11490005039476
5889984,JC5,2013-11-08T16:29:14Z,1,13374,13799,5,10,60.090441336328716
1940952,francescomalatesta,2012-07-09T06:42:58Z,1,66,78,1,1,59.23076923076923
1175275,jgrossi,2011-11-06T02:03:35Z,1,681,928,1,2,58.33997844827586
617694,cboden,2011-02-14T17:27:32Z,1,625,751,1,3,58.25565912117177
51931,lonnieezell,2009-02-05T02:37:58Z,2,3962,11105,6,17,57.92366978308658
156823,benedmunds,2009-11-22T23:56:15Z,2,779,2889,31,60,56.42289719626169
1330296,PeeHaa,2012-01-14T17:07:05Z,1,241,283,2,3,56.204946996466425
5079756,danielkerr,2013-07-24T08:44:47Z,1,4550,10027,11,59,55.07595593592216
239685,Taluu,2010-04-08T16:49:46Z,1,117,180,1,1,54.6
483853,freekmurze,2010-11-16T13:38:15Z,2,820,1184,4,8,54.36655405405405
1058011,narfbg,2011-09-17T10:43:22Z,5,3948,19122,21,181,53.921261617031895
1801923,tymondesigns,2012-06-01T01:07:01Z,1,1172,1466,4,18,49.03319690768531
2527434,YahnisElsts,2012-10-10T10:27:36Z,1,343,433,2,3,47.52886836027714
190930,mtdowling,2010-01-27T14:45:45Z,2,3760,8701,8,54,46.92657719206392
2972950,andryyy,2012-12-05T16:43:07Z,1,2874,4224,14,37,46.85549754299755
207248,bfanger,2010-02-20T09:23:18Z,1,155,346,1,1,45.69364161849711
11783388,flaviocopes,2015-04-03T08:51:48Z,1,630,5354,1,1,45.53791557713859
89826,gabordemooij,2009-05-29T07:37:49Z,1,1335,2826,1,1,44.87791932059448
485897,bsweeney,2010-11-17T18:31:59Z,1,455,1107,3,8,44.0819783197832
2143908,REBELinBLUE,2012-08-13T10:52:30Z,1,2497,2916,1,1,43.67181069958848
883887,eldy,2011-06-29T12:16:54Z,1,51273,88569,5,17,42.2259813385775
535942,g0tmi1k,2010-12-25T00:50:40Z,1,91,301,1,2,40.96511627906977
210006,ianbarber,2010-02-24T14:59:22Z,1,229,1703,3,5,40.6633000587199
16184466,causefx,2015-12-07T05:19:50Z,1,1800,2362,1,2,40.008467400508046
499192,vinkla,2010-11-27T16:35:41Z,2,415,575,5,13,39.973244147157196
27941,kla,2008-10-07T14:47:12Z,1,233,609,1,1,39.78981937602627
82368,Minishlink,2009-05-08T10:04:24Z,1,187,224,4,7,39.59438775510204
877217,dansup,2011-06-26T19:21:09Z,1,4928,5607,1,2,39.550561797752806
5530092,RainLoop,2013-09-24T18:25:38Z,1,1373,1670,7,24,38.846856287425155
3668672,iglocska,2013-02-22T10:39:35Z,1,7341,15945,18,56,37.73595618868432
60632,ginatrapani,2009-03-06T01:33:05Z,1,1944,2866,2,7,37.403249925231776
12947690,phpipam,2015-06-18T06:28:26Z,1,1404,2693,4,10,36.911696992202
1197546,nilsteampassnet,2011-11-15T19:41:01Z,1,1065,1418,20,41,36.6369672159345
9250358,sebastianfeldmann,2014-10-15T10:48:17Z,1,1077,1209,5,5,36.52357320099256
194377,jenssegers,2010-02-02T07:41:24Z,1,106,123,3,5,35.678048780487806
2829600,GrahamCampbell,2012-11-18T22:14:00Z,8,2861,48591,38,420,35.19659362746971
3182864,antonioribeiro,2013-01-04T05:11:01Z,1,374,442,1,1,34.69230769230769
142037,brusch,2009-10-20T08:51:30Z,1,5958,23383,5,7,34.58006732607939
17915152,yukiwongky,2016-03-17T22:41:39Z,1,457,2005,1,1,33.96159600997506
2162994,Art4,2012-08-16T12:36:06Z,1,243,472,1,2,33.46398305084745
1757229,d00p,2012-05-20T18:01:58Z,1,2877,4497,2,4,32.62775183455637
5617245,afk11,2013-10-05T11:37:43Z,1,1627,2808,17,21,32.364519739519736
23610,dcramer,2008-09-08T06:55:34Z,1,580,1205,1,1,32.24896265560166
578780,SammyK,2011-01-23T03:25:47Z,1,217,738,1,3,30.8739837398374
9122157,kherge,2014-10-09T21:36:57Z,1,209,335,1,1,29.322388059701495
2376835,TheSerapher,2012-09-19T08:33:03Z,1,644,4049,10,12,28.629291183008153
1264099,claudiosanches,2011-12-14T21:48:16Z,1,5519,35872,1,3,28.001170829616413
295605,swalkinshaw,2010-06-03T15:03:54Z,1,201,590,1,3,27.93559322033898
