repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Automattic/jetpack,218,1228,22422,941023,georgestephanis,1184
Automattic/jetpack,218,1228,22422,8739,koke,22
Automattic/jetpack,218,1228,22422,195095,dbtlr,116
BOINC/boinc,106,1227,34165,985772,romw,7834
BOINC/boinc,106,1227,34165,985729,davidpanderson,10247
BOINC/boinc,106,1227,34165,22824141,TheAspens,389
BOINC/boinc,106,1227,34165,6738722,krzyszp,0
BOINC/boinc,106,1227,34165,15861527,grctest,3
BOINC/boinc,106,1227,34165,1227338,LocutusOfBorg,12
Behat/Transliterator,11,1625,60,439401,stof,20
Bit-Wasp/bitcoin-php,70,825,2808,33521017,seby2k,0
Bit-Wasp/bitcoin-php,70,825,2808,5617245,afk11,1627
Bit-Wasp/bitcoin-php,70,825,2808,5451182,joaojoyce,0
Bit-Wasp/bitcoin-php,70,825,2808,5263184,Vasiliy-Bondarenko,2
Bit-Wasp/bitcoin-php,70,825,2808,10137,ghost,0
Bit-Wasp/bitcoin-php,70,825,2808,4410388,coumineol,0
Bit-Wasp/bitcoin-php,70,825,2808,13068514,drsaluml,0
Bit-Wasp/bitcoin-php,70,825,2808,1938666,starsoccer,0
Bit-Wasp/bitcoin-php,70,825,2808,32864363,EstebanGameDevelopment,0
Bit-Wasp/bitcoin-php,70,825,2808,5016843,ftppro,0
Bit-Wasp/bitcoin-php,70,825,2808,23028748,gasparyanyur,0
Bit-Wasp/bitcoin-php,70,825,2808,3002275,DeftNerd,2
Bit-Wasp/bitcoin-php,70,825,2808,21089611,MrsBookik,0
Bit-Wasp/bitcoin-php,70,825,2808,570164,zilveer,1
Bit-Wasp/bitcoin-php,70,825,2808,3648266,se8820726,0
Bit-Wasp/bitcoin-php,70,825,2808,6097059,rawmaterials,0
Bit-Wasp/bitcoin-php,70,825,2808,2395480,vvpgrp,0
BookStackApp/BookStack,164,5267,2205,11614619,ShinyShrimp,0
CachetHQ/Cachet,304,11446,7259,1791050,mikebronner,0
CachetHQ/Cachet,304,11446,7259,271557,Mebus,0
CachetHQ/Cachet,304,11446,7259,666126,dennusb,0
CachetHQ/Cachet,304,11446,7259,131689,svenmueller,0
CachetHQ/Cachet,304,11446,7259,10137,ghost,0
CachetHQ/Cachet,304,11446,7259,1193933,langemeijer,2
CachetHQ/Cachet,304,11446,7259,24831213,jonyking,0
Codeception/Codeception,154,4128,6888,1909762,etki,2
Codiad/Codiad,218,2696,1670,3989440,daeks,154
Codiad/Codiad,218,2696,1670,10949560,dgramop,0
Codiad/Codiad,218,2696,1670,35496882,peng-hui,0
Codiad/Codiad,218,2696,1670,1153376,Fluidbyte,412
Codiad/Codiad,218,2696,1670,827205,DanielRuf,1
Dolibarr/dolibarr,248,2035,88908,168744,marcosgdf,1210
Dolibarr/dolibarr,248,2035,88908,454387,hregis,7811
Dolibarr/dolibarr,248,2035,88908,3273204,andrelec1,22
Dolibarr/dolibarr,248,2035,88908,6835111,Alabate,2
Dolibarr/dolibarr,248,2035,88908,202334,ygini,0
Dolibarr/dolibarr,248,2035,88908,6020995,scith,0
Dolibarr/dolibarr,248,2035,88908,1591706,Prosouth,0
Dolibarr/dolibarr,248,2035,88908,30635693,AXeL-dev,17
EasyCorp/EasyAdminBundle,116,3030,4257,19672303,ahmed-bhs,0
EasyEngine/easyengine,118,1730,4963,25586785,mrrobot47,531
EasyEngine/easyengine,118,1730,4963,8839850,fartbagxp,0
Elgg/Elgg,128,1407,17788,3541971,elgg-gitbot,0
Elgg/Elgg,128,1407,17788,170687,mrclay,1880
Elgg/Elgg,128,1407,17788,10436679,samsch,0
Froxlor/Froxlor,102,1177,4497,10137,ghost,0
Froxlor/Froxlor,102,1177,4497,781926,MatthiasLohr,0
Gregwar/Image,42,869,308,1702638,garygreen,2
HDInnovations/UNIT3D-Community-Edition,54,1197,5628,12850699,HDVinnie,3139
KnpLabs/snappy,142,3625,428,56869722,nisharg007,0
MISP/MISP,257,2847,16044,8812009,github-germ,0
MISP/MISP,257,2847,16044,3668672,iglocska,7354
MISP/MISP,257,2847,16044,3309,adulau,957
MISP/MISP,257,2847,16044,1461970,RichieB2B,218
MISP/MISP,257,2847,16044,178521,elhoim,21
MISP/MISP,257,2847,16044,1073662,cvandeplas,418
MISP/MISP,257,2847,16044,10197869,stevengoossensB,0
MISP/MISP,257,2847,16044,749226,droe,2
MISP/MISP,257,2847,16044,3811612,clausing,0
