repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Atlantic18/DoctrineExtensions,97,3355,2145,132389,l3pp4rd,916
Attendize/Attendize,191,2947,1138,5497998,publicarray,47
Automattic/jetpack,220,1227,22337,426388,jeherve,1849
Automattic/jetpack,220,1227,22337,746152,oskosk,581
Automattic/jetpack,220,1227,22337,1041600,eliorivero,1167
Automattic/jetpack,220,1227,22337,1126811,ebinnion,684
Automattic/jetpack,220,1227,22337,7129409,dereksmart,2033
Automattic/jetpack,220,1227,22337,374293,zinigor,793
Automattic/jetpack,220,1227,22337,574752,samhotchkiss,743
Automattic/jetpack,220,1227,22337,1398304,obenland,33
BOINC/boinc,107,1219,34101,985729,davidpanderson,10229
BOINC/boinc,107,1219,34101,10869587,Ageless93,6
BOINC/boinc,107,1219,34101,10470356,CharlieFenton,18
BOINC/boinc,107,1219,34101,3234209,AenBleidd,470
BOINC/boinc,107,1219,34101,1663476,tristanolive,972
BOINC/boinc,107,1219,34101,14886436,RichardHaselgrove,36
BOINC/boinc,107,1219,34101,1257854,lfield,87
BOINC/boinc,107,1219,34101,15806192,JuhaSointusalo,104
BOINC/boinc,107,1219,34101,13287984,mohe2015,0
BookStackApp/BookStack,166,5222,2205,8343178,ssddanbrown,1623
CMB2/CMB2,156,2470,2672,1098900,jtsternberg,2060
CMB2/CMB2,156,2470,2672,484075,tw2113,15
CMB2/CMB2,156,2470,2672,1966613,AlchemyUnited,1
CMB2/CMB2,156,2470,2672,66798,bradp,84
CachetHQ/Cachet,306,11381,7259,246103,jbrooksuk,4432
Codeception/Codeception,153,4121,6873,220264,DavertMik,2864
Codeception/Codeception,153,4121,6873,47294,samdark,66
Codeception/Codeception,153,4121,6873,395992,Naktibalda,956
Codeception/Codeception,153,4121,6873,5033161,aewing,0
Codeception/Codeception,153,4121,6873,1492714,gureedo,1
Codeception/Codeception,153,4121,6873,8580008,quanengineering,0
Codeception/Codeception,153,4121,6873,10371286,chetanakambad,0
Dolibarr/dolibarr,248,2009,88569,883887,eldy,51273
EasyCorp/EasyAdminBundle,117,3015,4243,73419,javiereguiluz,3360
EasyCorp/EasyAdminBundle,117,3015,4243,1957048,xabbuh,63
EasyCorp/EasyAdminBundle,117,3015,4243,3856199,ddfire,0
EasyCorp/EasyAdminBundle,117,3015,4243,260329,dincho,0
EasyCorp/EasyAdminBundle,117,3015,4243,36010799,fredmorgan,0
EasyCorp/EasyAdminBundle,117,3015,4243,5578402,bette,0
EasyCorp/EasyAdminBundle,117,3015,4243,31816829,luigifab,0
EasyCorp/EasyAdminBundle,117,3015,4243,20499453,jolio007,0
EasyCorp/EasyAdminBundle,117,3015,4243,4757725,kprokopenko,0
EasyCorp/EasyAdminBundle,117,3015,4243,16663028,gustawdaniel,0
EasyCorp/EasyAdminBundle,117,3015,4243,8067967,Naskalin,0
Elgg/Elgg,129,1405,17781,861833,jdalsem,2378
Elgg/Elgg,129,1405,17781,170687,mrclay,1880
Elgg/Elgg,129,1405,17781,1202761,hypeJunction,866
Elgg/Elgg,129,1405,17781,738363,beck24,139
Elgg/Elgg,129,1405,17781,356564,ewinslow,1263
Elgg/Elgg,129,1405,17781,199558,cash,3232
Elgg/Elgg,129,1405,17781,2772844,rohit1290,13
Elgg/Elgg,129,1405,17781,864520,Wouter0100,5
FreshRSS/FreshRSS,82,2504,4550,1008324,Alkarex,2552
FriendsOfSymfony/FOSRestBundle,92,2506,3236,6871899,GuilhemN,17
FriendsOfSymfony/FOSRestBundle,92,2506,3236,439401,stof,56
FriendsOfSymfony/FOSRestBundle,92,2506,3236,1957048,xabbuh,554
FriendsOfSymfony/FOSRestBundle,92,2506,3236,300279,lsmith77,1255
FriendsOfSymfony/FOSRestBundle,92,2506,3236,610876,00dani,0
FriendsOfSymfony/FOSRestBundle,92,2506,3236,2741956,johndodev,0
FriendsOfSymfony/FOSRestBundle,92,2506,3236,10844031,luxilio,0
FriendsOfSymfony/FOSRestBundle,92,2506,3236,1586668,florianv,17
FriendsOfSymfony/FOSRestBundle,92,2506,3236,594384,cve,0
Froxlor/Froxlor,102,1178,4497,1757229,d00p,2877
Froxlor/Froxlor,102,1178,4497,10137,ghost,0
Froxlor/Froxlor,102,1178,4497,4646401,BNoiZe,138
FrozenNode/Laravel-Administrator,129,1967,1026,4215945,davemathews,85
FrozenNode/Laravel-Administrator,129,1967,1026,580052,janhartigan,733
FrozenNode/Laravel-Administrator,129,1967,1026,1283833,liucf,0
FrozenNode/Laravel-Administrator,129,1967,1026,1294438,BenjaminRH,0
FrozenNode/Laravel-Administrator,129,1967,1026,1887699,anothergituser,0
InfyOmLabs/laravel-generator,139,2943,585,1908535,mitulgolakiya,357
Intervention/image,292,11090,650,884642,olivervogel,491
Intervention/image,292,11090,650,1144415,CLOUGH,0
J7mbo/twitter-api-php,103,1763,116,2657310,J7mbo,67
KnpLabs/KnpMenu,66,1129,445,121793,marfillaster,0
Kunena/Kunena-Forum,61,1482,14347,854915,mahagr,4809
LaravelCollective/html,105,3454,494,611068,adamgoose,38
LaravelCollective/html,105,3454,494,299464,tshafer,27
LaravelCollective/html,105,3454,494,13957614,lonewolfffffff,0
LiveHelperChat/livehelperchat,173,1322,4954,1146085,remdex,4694
MISP/MISP,255,2831,15945,3668672,iglocska,7341
MISP/MISP,255,2831,15945,3309,adulau,950
MISP/MISP,255,2831,15945,248875,Rafiot,359
MISP/MISP,255,2831,15945,5100014,colbyprior,0
MPOS/php-mpos,216,1465,4049,2376835,TheSerapher,644
Maatwebsite/Laravel-Excel,218,8891,1276,7728097,patrickbrouwers,883
Maatwebsite/Laravel-Excel,218,8891,1276,2078684,eepawan,0
Maatwebsite/Laravel-Excel,218,8891,1276,52294675,bakbai2000,0
Nexmo/nexmo-php,1,2,355,125074,tjlytle,81
PHPGangsta/GoogleAuthenticator,127,1780,63,607888,RobThree,0
PHPGangsta/GoogleAuthenticator,127,1780,63,608408,PHPGangsta,27
PHPGangsta/GoogleAuthenticator,127,1780,63,1917879,JN-Jones,0
PHPOffice/PHPExcel,778,11316,1274,770298,MarkBaker,970
Payum/Payum,73,1563,2475,143206,makasim,2077
Payum/Payum,73,1563,2475,450008,mvrhov,0
PrestaShop/PrestaShop,471,5081,63584,16067358,khouloudbelguith,16
PrestaShop/PrestaShop,471,5081,63584,63418741,prestashop-issue-bot[bot],0
PrestaShop/PrestaShop,471,5081,63584,3099551,gRoussac,50
PrestaShop/PrestaShop,471,5081,63584,13801017,jolelievre,1097
