user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
770298,MarkBaker,2011-05-05T14:57:44Z,1,970,1274,1,1,592.3547880690738
1106849,serbanghita,2011-10-06T07:24:12Z,1,552,777,1,1,471.72200772200773
81561,Synchro,2009-05-06T09:20:39Z,1,1182,1624,22,33,436.6995073891626
6073368,walkor,2013-11-30T15:11:03Z,2,1312,1651,6,7,409.368521242537
5390120,mgp25,2013-09-05T09:53:23Z,1,832,1365,1,1,352.3047619047619
1058011,narfbg,2011-09-17T10:43:22Z,1,3946,10156,36,79,298.33877585613794
1288217,mevdschee,2011-12-27T12:48:46Z,1,1564,1760,1,1,171.5068181818182
6244570,jeremykenedy,2013-12-23T03:47:04Z,1,435,576,1,1,155.57291666666666
5079756,danielkerr,2013-07-24T08:44:47Z,1,4550,10027,10,20,147.70370000997306
884642,olivervogel,2011-06-29T18:09:44Z,1,491,650,2,3,147.0482051282051
47313,fabpot,2009-01-17T13:42:51Z,7,29096,62287,42,293,140.75060031207514
3341,abraham,2008-03-18T05:00:44Z,1,393,493,5,6,139.50304259634888
477975,mikecao,2010-11-11T21:54:01Z,1,214,285,1,1,138.91228070175438
185976,gsherwood,2010-01-20T05:22:11Z,1,5193,6425,5,6,135.3817120622568
197404,snipe,2010-02-05T06:13:25Z,1,3967,4477,8,18,127.20234283870647
2080552,mike42,2012-08-01T23:53:32Z,1,472,499,1,1,124.85771543086172
1083146,zachborboa,2011-09-27T08:17:29Z,1,1131,1279,4,5,123.79984362783426
190930,mtdowling,2010-01-27T14:45:45Z,4,3928,9209,23,90,120.77695973745489
444165,pmeenan,2010-10-18T15:32:53Z,1,4588,5953,1,1,120.22980010078952
829059,jasonlewis,2011-06-04T07:54:46Z,1,866,1359,1,2,117.25091979396616
1058150,cydrobolt,2011-09-17T12:55:09Z,1,740,843,1,1,114.99406880189798
2687997,yajra,2012-10-31T02:01:23Z,1,1464,1758,2,2,112.42320819112629
4527441,alextselegidis,2013-05-25T14:51:40Z,1,992,1219,1,1,111.48810500410173
1296790,afragen,2011-12-31T19:06:00Z,1,3699,3916,1,1,111.46118488253319
1084697,rhukster,2011-09-27T18:39:55Z,1,2737,5354,5,9,109.90941352259993
156321,panique,2009-11-21T12:15:55Z,1,1265,1510,3,6,109.74503311258277
4481467,amuntner,2013-05-20T17:49:37Z,1,293,475,1,2,107.33052631578947
298045,michelf,2010-06-06T17:08:06Z,1,338,456,1,1,106.73684210526315
1551716,leo108,2012-03-19T06:08:32Z,1,50,52,1,1,105.76923076923077
546788,alecpl,2011-01-04T10:14:46Z,1,7905,11864,20,29,103.39159904201642
90977,mikejolley,2009-06-02T10:21:18Z,1,14216,35872,14,30,100.97671721677074
12533999,cytopia,2015-05-20T18:47:38Z,1,1283,1360,1,1,99.99852941176471
6147968,hootlex,2013-12-10T02:45:44Z,1,30,45,1,1,98.66666666666666
5889984,JC5,2013-11-08T16:29:14Z,1,13374,13799,4,5,96.14470613812595
103941,bshaffer,2009-07-11T16:57:37Z,2,814,2638,6,14,96.00844795841004
207887,svivian,2010-02-21T16:28:22Z,1,975,1371,1,1,93.16192560175054
193704,mvriel,2010-02-01T08:58:31Z,1,2946,4672,1,1,89.5402397260274
4629496,hillelcoren,2013-06-06T10:10:27Z,1,7384,9017,2,4,88.8503937007874
