repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Atlantic18/DoctrineExtensions,97,3361,2145,2010696,pensiero,0
Attendize/Attendize,191,2956,1138,1847770,jeremyquinton,182
Automattic/jetpack,218,1228,22422,115071,enejb,844
Automattic/jetpack,218,1228,22422,88897,kraftbj,691
Automattic/jetpack,218,1228,22422,1041600,eliorivero,1167
Automattic/jetpack,218,1228,22422,51896,gravityrail,1103
Automattic/jetpack,218,1228,22422,426388,jeherve,1861
Automattic/jetpack,218,1228,22422,435369,cfinke,256
Automattic/jetpack,218,1228,22422,1451471,WunderBart,5
Automattic/jetpack,218,1228,22422,5528445,rcoll,9
Automattic/jetpack,218,1228,22422,1394549,hereswhatidid,0
Automattic/jetpack,218,1228,22422,406254,Viper007Bond,42
Automattic/jetpack,218,1228,22422,300429,joshbetz,11
Automattic/jetpack,218,1228,22422,40177971,fresatomica,0
Automattic/jetpack,218,1228,22422,2600397,singerb,7
BOINC/boinc,106,1227,34165,985772,romw,7834
BOINC/boinc,106,1227,34165,3972144,Raventara,0
BOINC/boinc,106,1227,34165,997210,ChristianBeer,520
BOINC/boinc,106,1227,34165,1257854,lfield,87
BookStackApp/BookStack,164,5267,2205,9058265,maantje,1
CMB2/CMB2,155,2472,2672,3798783,liuzhiqiang,0
CachetHQ/Cachet,304,11446,7259,3453188,noahbass,7
CachetHQ/Cachet,304,11446,7259,9319293,peterlaws,0
Codeception/Codeception,154,4128,6888,1078584,mpgo13,3
Codeception/Codeception,154,4128,6888,822133,thinkspill,2
Codeception/Codeception,154,4128,6888,549491,davidneimeyer,1
Codeception/Codeception,154,4128,6888,15893,adimit,0
Codeception/Codeception,154,4128,6888,2269242,nkovacs,2
Codeception/Codeception,154,4128,6888,825371,Sepuka,0
Codeception/Codeception,154,4128,6888,5708635,niclopez,9
Dolibarr/dolibarr,248,2035,88908,455513,j33f,0
Dolibarr/dolibarr,248,2035,88908,8655521,glelarge,3
EasyCorp/EasyAdminBundle,116,3030,4257,4619899,kricha,0
Elgg/Elgg,128,1407,17788,3541971,elgg-gitbot,0
Elgg/Elgg,128,1407,17788,881958,jeabakker,1308
Elgg/Elgg,128,1407,17788,861833,jdalsem,2378
Elgg/Elgg,128,1407,17788,1202761,hypeJunction,866
Elgg/Elgg,128,1407,17788,170687,mrclay,1880
Elgg/Elgg,128,1407,17788,883920,juho-jaakkola,513
Elgg/Elgg,128,1407,17788,34431873,nicolesharp100,0
Elgg/Elgg,128,1407,17788,1339628,Srokap,279
Elgg/Elgg,128,1407,17788,1220345,PerJensen,68
Elgg/Elgg,128,1407,17788,41351317,zerosonesfun,0
FreshRSS/FreshRSS,82,2535,4560,533162,kevinpapst,22
FriendsOfSymfony/FOSRestBundle,92,2508,3251,485363,nail,0
FriendsOfSymfony/FOSRestBundle,92,2508,3251,1894955,sergiu-popa,0
FriendsOfSymfony/FOSRestBundle,92,2508,3251,145240,sandermarechal,1
