repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Attendize/Attendize,191,2947,1138,166798,daveearley,1
Attendize/Attendize,191,2947,1138,24897914,RandomHeroo,0
Codiad/Codiad,217,2696,1670,3989440,daeks,154
Codiad/Codiad,217,2696,1670,4168998,mitchellurgero,0
Dolibarr/dolibarr,248,2009,88569,883887,eldy,51273
Dolibarr/dolibarr,248,2009,88569,881833,simnandez,2399
Dolibarr/dolibarr,248,2009,88569,3658458,laudeco,20
Dolibarr/dolibarr,248,2009,88569,14098942,igolubic,0
Elgg/Elgg,129,1405,17781,883920,juho-jaakkola,513
FriendsOfPHP/Goutte,357,8024,314,1699735,ip512,0
HDInnovations/UNIT3D-Community-Edition,52,1189,5614,12850699,HDVinnie,3130
J7mbo/twitter-api-php,103,1763,116,2657310,J7mbo,67
MISP/MISP,255,2831,15945,3668672,iglocska,7341
MISP/MISP,255,2831,15945,362025,SteveClement,1026
MISP/MISP,255,2831,15945,741037,jaegeral,12
MISP/MISP,255,2831,15945,3309,adulau,950
MISP/MISP,255,2831,15945,248875,Rafiot,359
MISP/MISP,255,2831,15945,654617,rotanid,248
MISP/MISP,255,2831,15945,1461970,RichieB2B,218
MISP/MISP,255,2831,15945,6206165,mahesh557,0
MISP/MISP,255,2831,15945,15807090,duzvik,0
MISP/MISP,255,2831,15945,6752874,obert01,14
MPOS/php-mpos,216,1465,4049,2376835,TheSerapher,644
MPOS/php-mpos,216,1465,4049,5769465,iAmShorty,363
PHPCompatibility/PHPCompatibility,53,1429,2410,313511,wimg,1026
PHPCompatibility/PHPCompatibility,53,1429,2410,1277526,aik099,0
PHPCompatibility/PHPCompatibility,53,1429,2410,352182,pixelchutes,0
PHPCompatibility/PHPCompatibility,53,1429,2410,142006,octalmage,4
PHPMailer/PHPMailer,900,15443,1624,81561,Synchro,1182
PHPMailer/PHPMailer,900,15443,1624,2150916,SDKiller,2
PHPMailer/PHPMailer,900,15443,1624,22193152,tarak1006,0
PHPMailer/PHPMailer,900,15443,1624,8157774,Rombusevil,0
PHPMailer/PHPMailer,900,15443,1624,25314922,Lakshikasur,0
PHPMailer/PHPMailer,900,15443,1624,25196422,Cmumbi,0
PHPMailer/PHPMailer,900,15443,1624,37130402,michaelik,0
PeeHaa/OpCacheGUI,99,1434,283,1330296,PeeHaa,241
PrestaShop/PrestaShop,471,5081,63584,16067358,khouloudbelguith,16
PrestaShop/PrestaShop,471,5081,63584,2203436,maximebiloe,999
PrestaShop/PrestaShop,471,5081,63584,3099551,gRoussac,50
PrestaShop/PrestaShop,471,5081,63584,1009343,eternoendless,1138
PrestaShop/PrestaShop,471,5081,63584,3316447,antoin-m,223
PrestaShop/PrestaShop,471,5081,63584,28892681,hakeryk2,0
PrestaShop/PrestaShop,471,5081,63584,2842182,NoZTurn,0
RainLoop/rainloop-webmail,162,3304,1670,5530092,RainLoop,1373
RainLoop/rainloop-webmail,162,3304,1670,4435930,ervee,19
RainLoop/rainloop-webmail,162,3304,1670,4209778,cortexx,0
RainLoop/rainloop-webmail,162,3304,1670,2995711,cusco,0
ThinkUpLLC/ThinkUp,193,3348,2866,60632,ginatrapani,1944
