user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
1058011,narfbg,2011-09-17T10:43:22Z,1,3946,10156,5,11,297.5853951090265
5390120,mgp25,2013-09-05T09:53:23Z,1,832,1365,3,4,264.2285714285714
81561,Synchro,2009-05-06T09:20:39Z,1,1182,1624,4,10,262.01970443349757
6026504,rappasoft,2013-11-25T00:28:01Z,1,2089,2840,1,1,230.23133802816903
16605599,fancyecommerce,2016-01-08T06:38:09Z,1,1325,1758,1,1,229.87770193401593
1472352,overtrue,2012-02-25T08:17:56Z,1,948,1668,2,3,212.1822541966427
1288217,mevdschee,2011-12-27T12:48:46Z,1,1564,1760,1,1,171.5068181818182
7278743,hhxsv5,2014-04-13T07:58:46Z,1,1343,1513,1,1,154.4494382022472
463230,taylorotwell,2010-11-01T20:15:30Z,1,14416,28665,3,12,135.15785801500087
156321,panique,2009-11-21T12:15:55Z,1,1265,1510,3,5,131.69403973509932
60632,ginatrapani,2009-03-06T01:33:05Z,1,1944,2866,2,2,130.91137473831122
522870,erikdubbelboer,2010-12-14T15:39:00Z,1,123,185,2,2,123.66486486486485
47294,samdark,2009-01-17T10:59:37Z,2,4301,26058,8,20,110.25665822396194
546788,alecpl,2011-01-04T10:14:46Z,1,7905,11864,8,11,109.03114080794458
190930,mtdowling,2010-01-27T14:45:45Z,2,3760,8701,2,6,105.58479868214381
1311155,mattpass,2012-01-07T09:06:38Z,1,2682,2799,1,1,101.56913183279742
323546,fguillot,2010-07-05T18:57:55Z,1,2823,4096,2,5,94.83515625000001
600897,pitbulk,2011-02-04T18:25:03Z,1,390,589,1,1,88.72665534804754
3341,abraham,2008-03-18T05:00:44Z,1,393,493,9,17,88.62546235532753
1897962,votdev,2012-06-27T10:12:15Z,1,4457,4524,2,3,84.72634836427939
1330296,PeeHaa,2012-01-14T17:07:05Z,1,241,283,1,1,84.30742049469964
4736168,luke-,2013-06-19T07:39:42Z,1,3248,7039,1,2,81.67296490978832
77991,alexbilbie,2009-04-26T12:58:33Z,2,1758,12690,4,14,75.60013508949679
82368,Minishlink,2009-05-08T10:04:24Z,1,187,224,1,1,69.29017857142857
660654,ircmaxell,2011-03-09T21:09:35Z,1,66,93,3,4,68.66129032258065
183678,Seldaek,2010-01-16T18:28:47Z,1,5316,9771,2,10,67.57212158428001
5889984,JC5,2013-11-08T16:29:14Z,1,13374,13799,5,9,66.76715704036525
5530092,RainLoop,2013-09-24T18:25:38Z,1,1373,1670,4,8,66.59461077844311
295605,swalkinshaw,2010-06-03T15:03:54Z,1,218,2293,1,1,63.0327082424771
103941,bshaffer,2009-07-11T16:57:37Z,1,653,935,2,5,62.01754010695187
90977,mikejolley,2009-06-02T10:21:18Z,1,14216,35872,2,7,61.82247992863514
14214667,dktapps,2015-09-10T08:52:14Z,1,4683,9755,1,2,61.68790363915941
9783985,AdSchellevis,2014-11-16T14:03:50Z,1,5311,12031,2,2,60.47768265314604
2657310,J7mbo,2012-10-26T13:17:19Z,1,67,116,1,1,59.49137931034483
5079756,danielkerr,2013-07-24T08:44:47Z,1,4550,10027,3,15,59.08148000398923
24086,markstory,2008-09-11T02:52:38Z,1,15645,41842,2,8,57.02075665599158
7339644,danog,2014-04-18T17:33:04Z,1,2300,2475,2,3,55.75757575757575
993322,qiangxue,2011-08-20T20:09:30Z,1,3521,19381,1,4,55.228522780042304
