repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Attendize/Attendize,191,2956,1138,20340525,KlausGPaul,0
Automattic/jetpack,218,1228,22422,1184853,RavanH,4
BOINC/boinc,106,1227,34165,985772,romw,7834
BOINC/boinc,106,1227,34165,985729,davidpanderson,10247
Codiad/Codiad,218,2696,1670,16916670,cbaker,0
Codiad/Codiad,218,2696,1670,30044540,tegger2000,0
Dolibarr/dolibarr,248,2035,88908,2097773,atm-maxime,624
Dolibarr/dolibarr,248,2035,88908,1711332,StefAngel,0
Dolibarr/dolibarr,248,2035,88908,30891670,atm-greg,81
Dolibarr/dolibarr,248,2035,88908,25256186,glu000,12
Elgg/Elgg,128,1407,17788,3541971,elgg-gitbot,0
Elgg/Elgg,128,1407,17788,5292352,enraiser,0
FriendsOfPHP/Goutte,359,8044,314,1967790,aommiez,0
Gregwar/Captcha,55,1303,117,10529835,kong-qi,0
HDInnovations/UNIT3D-Community-Edition,54,1197,5628,20425009,tuxfrw,0
J7mbo/twitter-api-php,103,1763,116,2141868,babymaster,0
KnpLabs/Gaufrette,78,2320,1010,439401,stof,4
LiveHelperChat/livehelperchat,174,1330,4995,43356590,stgodjah,0
MISP/MISP,257,2847,16044,3668672,iglocska,7354
MISP/MISP,257,2847,16044,1461970,RichieB2B,218
MISP/MISP,257,2847,16044,8973767,advancedeng,0
MISP/MISP,257,2847,16044,2821512,makakin,0
MISP/MISP,257,2847,16044,10654963,amuehlem,0
MISP/MISP,257,2847,16044,20655523,nicksoy,0
MISP/MISP,257,2847,16044,21114341,gra55h0pp3r,0
MISP/MISP,257,2847,16044,22976862,did-this,0
MISP/MISP,257,2847,16044,19641210,briglewis,0
MPOS/php-mpos,214,1464,4049,4895133,ilya-stromberg,4
MPOS/php-mpos,214,1464,4049,2773050,Blisk,0
Open-Web-Analytics/Open-Web-Analytics,77,1269,1826,5601754,mbolis,0
Open-Web-Analytics/Open-Web-Analytics,77,1269,1826,7676540,Maaiins,35
PHPCompatibility/PHPCompatibility,55,1433,2430,663378,jrfnl,1269
PHPCompatibility/PHPCompatibility,55,1433,2430,6844145,bishopb,0
PHPMailer/PHPMailer,899,15494,1625,508538,infinitey99,0
PHPMailer/PHPMailer,899,15494,1625,36685095,Gratusfr,1
PHPMailer/PHPMailer,899,15494,1625,10511551,nghipt99,0
PHPMailer/PHPMailer,899,15494,1625,1235868,ildar-aim,0
PeeHaa/OpCacheGUI,99,1435,283,952007,szepeviktor,0
PeeHaa/OpCacheGUI,99,1435,283,3696477,inetbiz,0
PrestaShop/PrestaShop,471,5100,63691,23308427,hibatallahAouadni,8
PrestaShop/PrestaShop,471,5100,63691,15946111,MEGA911,0
PrestaShop/PrestaShop,471,5100,63691,1219817,ebuildy,0
PrestaShop/PrestaShop,471,5100,63691,10137,ghost,0
RainLoop/rainloop-webmail,162,3309,1670,231498,khimaros,0
RainLoop/rainloop-webmail,162,3309,1670,19638988,simbalion,0
RainLoop/rainloop-webmail,162,3309,1670,6691273,strobeltobias,7
RainLoop/rainloop-webmail,162,3309,1670,4953735,takenek,0
RainLoop/rainloop-webmail,162,3309,1670,18707981,darnokb,0
RainLoop/rainloop-webmail,162,3309,1670,54753042,qpqwill,0
RainLoop/rainloop-webmail,162,3309,1670,16372405,nailyk-fr,0
RainLoop/rainloop-webmail,162,3309,1670,8246931,devpuck,0
ThinkUpLLC/ThinkUp,193,3347,2866,116832,mgifford,0
ThinkUpLLC/ThinkUp,193,3347,2866,413484,mmcglynn,0
UnionOfRAD/lithium,93,1154,5088,352937,rmarscher,17
WWBN/AVideo,121,1173,9253,29496388,fablin,0
WWBN/AVideo,121,1173,9253,51969342,Skyybr12,0
WWBN/AVideo,121,1173,9253,57302746,mickeymouse690,0
WWBN/AVideo,121,1173,9253,60783153,oiganeu,0
WWBN/AVideo,121,1173,9253,42688633,cgavaller2,0
WWBN/AVideo,121,1173,9253,29139178,hrt644,0
WWBN/AVideo,121,1173,9253,31585599,ronaldod,19
WWBN/AVideo,121,1173,9253,30271757,mikweb2017,10
WWBN/AVideo,121,1173,9253,41392591,OSGAJim,0
WWBN/AVideo,121,1173,9253,59236880,SergejGrin,0
WWBN/AVideo,121,1173,9253,17507134,one1page,0
WordPress/WordPress-Coding-Standards,82,1889,2731,134745,westonruter,427
YOURLS/YOURLS,337,6427,1799,223647,ozh,1476
Zizaco/confide,74,1222,691,241907,chrisco23,0
Zizaco/confide,74,1222,691,1180089,sambenskin,0
Zizaco/confide,74,1222,691,378585,hotmeteor,1
Zizaco/entrust,265,6181,442,14072334,wimurk,0
Zizaco/entrust,265,6181,442,711186,jcloutz,0
ZoneMinder/zoneminder,261,2860,15861,12526901,LoRexxar,0
abraham/twitteroauth,211,3997,501,53564987,navbugtom,0
abraham/twitteroauth,211,3997,501,442991,royopa,0
