repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Ash258/Scoop-Ash258,5,121,4206,13260377,Ash258,4170
AtlassianPS/JiraPS,32,230,1092,11758809,replicaJunction,304
AutomatedLab/AutomatedLab,75,1012,3096,11280760,raandree,1601
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,96,482,651,16087102,TiagoBrenck,167
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,96,482,651,13203188,jmprieur,227
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,96,482,651,3172421,brentschmaltz,0
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,96,482,651,305465,kalyankrishna1,133
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,96,482,651,47952161,rishavghosh605,0
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,96,482,651,7371750,sujayvsarma,0
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,96,482,651,16720759,JosephAspey,0
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,96,482,651,19942418,jennyf19,33
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,96,482,651,9287708,msftclas,0
Azure/AzureStack-Tools,78,182,916,8030856,azurecla,0
Azure/RDS-Templates,41,206,1170,22495447,Sawal72,0
Azure/RDS-Templates,41,206,1170,54656839,viswanadham-k,0
Azure/RDS-Templates,41,206,1170,9287708,msftclas,0
Azure/RDS-Templates,41,206,1170,11985571,mmarch,37
Azure/azure-blueprints,31,156,61,2400039,kaplik,0
Azure/azure-blueprints,31,156,61,11078275,alex-frankel,48
Azure/azure-blueprints,31,156,61,8951166,brentfunk,0
Azure/azure-devtestlab,80,302,1178,8030856,azurecla,0
Azure/azure-devtestlab,80,302,1178,2327905,mithunshanbhag,73
Azure/azure-docs-powershell-samples,20,131,575,9287708,msftclas,0
Azure/azure-docs-powershell-samples,20,131,575,8670705,markgalioto,0
Azure/azure-quickstart-templates,669,7904,29378,250240,rgardler,191
Azure/azure-quickstart-templates,669,7904,29378,5118869,newtonsheikh,0
Azure/azure-quickstart-templates,669,7904,29378,11136952,al-lac,5
Azure/azure-quickstart-templates,669,7904,29378,5141735,MCKLMT,187
Azure/azure-quickstart-templates,669,7904,29378,6164178,singhkays,977
Azure/azure-quickstart-templates,669,7904,29378,556238,davidebbo,4
Azure/azure-quickstart-templates,669,7904,29378,2422592,jagodevreede,0
Azure/azure-quickstart-templates,669,7904,29378,18600808,se7enack,0
