user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
15134885,davemachado,2015-10-15T03:07:31Z,1,683,2170,1,1,952.1082949308756
710255,fchollet,2011-04-05T08:25:37Z,1,2397,5349,1,2,470.0790802019069
487433,mistercrunch,2010-11-18T18:41:37Z,1,2016,5608,1,2,229.35235378031382
160562,bdarnell,2009-12-01T22:24:44Z,1,2994,4211,2,8,187.52493469484685
6088,bitprophet,2008-04-09T19:43:48Z,1,1054,1066,6,17,175.8799249530957
776747,nicolargo,2011-05-09T12:30:38Z,1,2504,3753,1,2,174.13908872901678
7167300,MikhailKasimov,2014-04-04T14:07:39Z,1,25237,38347,17,19,122.47994696627612
1190540,bmcfee,2011-11-12T16:13:52Z,1,2480,3069,2,2,114.74747474747474
1242887,davidism,2011-12-05T21:26:18Z,1,777,4010,1,4,110.59170822942644
1078448,bryevdv,2011-09-25T16:14:40Z,1,6419,18673,3,5,96.73360466984417
37369,dangra,2008-11-30T15:44:00Z,1,1124,8449,1,3,80.61829802343472
1760209,ivankravets,2012-05-21T16:43:45Z,1,4612,5060,1,2,78.38577075098814
9599,simonw,2008-05-07T17:22:14Z,1,1214,1291,4,4,71.46707978311386
954310,techalchemy,2011-08-02T14:40:04Z,1,1971,6922,3,6,54.955648656457676
15812620,lk-geimfari,2015-11-12T07:35:49Z,1,1486,1861,1,1,53.49919398173025
23243382,christianbender,2016-11-03T17:12:47Z,3,130,4003,4,18,53.32500624531601
166333,ColdHeat,2009-12-11T20:03:18Z,1,754,943,3,5,50.853022269353126
4025227,dpgaspar,2013-04-01T08:54:13Z,1,3339,3676,1,3,48.746735582154514
843444,dpkp,2011-06-11T05:45:22Z,1,1246,2122,4,7,48.652214891611685
329822,Julian,2010-07-12T17:03:40Z,1,1364,1724,1,1,47.47099767981438
302255,roozbehp,2010-06-10T21:25:42Z,1,148,505,1,1,46.89108910891089
1444314,balloob,2012-02-16T19:21:30Z,1,6508,29195,5,30,43.505554604098876
921555,stamparm,2011-07-17T21:44:15Z,1,7449,9522,1,21,36.50703633690401
