user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
921555,stamparm,2011-07-17T21:44:15Z,1,7437,9509,4,4,766.4591439688717
10395528,xxnet,2015-01-05T03:35:48Z,1,1366,2195,5,22,251.75812797680675
23610,dcramer,2008-09-08T06:55:34Z,1,11299,31386,1,2,122.9404352258969
32132,HonzaKral,2008-11-01T13:02:27Z,1,808,1212,1,2,115.33333333333334
156128,micahflee,2009-11-20T21:25:12Z,1,1876,2981,1,1,112.01878564240187
15079146,yzhao062,2015-10-11T20:13:06Z,1,989,1185,1,1,111.00168776371308
1908898,dstftw,2012-06-30T13:49:59Z,1,6431,17726,56,356,109.51680575856957
1019198,mhils,2011-09-01T11:03:17Z,1,2762,8661,4,8,91.36508486317976
2746074,timabbott,2012-11-07T21:18:39Z,1,8798,38743,1,1,85.15731874145006
280336,strycore,2010-05-18T13:30:16Z,1,4051,6303,1,1,81.62414723147707
11024397,r0oth3x49,2015-02-16T05:00:41Z,1,147,158,6,9,80.0126582278481
22396,chrippa,2008-08-28T21:33:00Z,1,1245,1474,3,7,79.63752665245201
1418419,kalefranz,2012-02-08T04:15:47Z,1,5591,15461,1,1,71.23905310135179
29142493,SomberNight,2017-06-02T09:36:26Z,1,2568,12846,1,1,55.773937412424104
886296,redapple,2011-06-30T12:09:32Z,1,506,8407,1,2,54.59046033067682
801525,rembo10,2011-05-21T01:33:12Z,1,1356,2809,1,2,52.618013527945884
1063043,micheloosterhof,2011-09-19T19:25:34Z,1,1686,2362,1,2,49.25232853513971
1382556,Lukasa,2012-01-26T16:58:46Z,1,610,5976,2,6,48.04328424810352
779568,phihag,2011-05-10T16:28:28Z,1,3794,17726,41,356,47.3037330424299
14922,ericl,2008-06-24T23:48:23Z,1,670,5522,1,1,47.19847881202463
17700,mpdehaan,2008-07-21T18:10:30Z,1,4092,50566,2,7,46.797159017069625
13643239,ines,2015-08-04T13:15:33Z,1,3433,11596,1,5,33.03922042083477
65145,nficano,2009-03-20T05:41:48Z,1,581,1250,2,4,33.000800000000005
8059750,honnibal,2014-07-03T15:12:05Z,1,3342,11596,1,5,32.163435667471546
91121,zookos,2009-06-02T18:16:25Z,1,47,352,1,1,29.107954545454543
705211,Gallaecio,2011-04-02T10:09:11Z,1,241,8407,1,2,26.00059474247651
240830,sigmavirus24,2010-04-10T04:07:32Z,1,322,5976,2,6,25.360553324408745
9273653,gfyoung,2014-10-16T20:30:28Z,1,459,23814,1,1,21.16326530612245
1239727,jaimeMF,2011-12-04T13:42:20Z,1,1471,17726,47,356,21.024455760407804
375744,mattrobenolt,2010-08-25T14:09:54Z,1,1876,31386,1,2,20.41209456445549
9728851,adferrand,2014-11-13T21:18:51Z,1,195,9908,1,1,16.709224868792894
161495,reaperhulk,2009-12-03T17:42:24Z,1,3157,7952,1,3,15.880281690140844
8470820,SeaHOH,2014-08-17T11:52:28Z,1,202,2195,2,22,14.891696003313314
772,alex,2008-02-24T20:44:41Z,1,2837,7952,1,3,14.270623742454728
20314742,ritiek,2016-07-06T06:50:10Z,2,859,9695,2,9,13.782591255515442
10065494,richarddli,2014-12-03T19:14:07Z,1,2100,13994,1,1,12.455338002000858
1732385,AdeHub,2012-05-12T09:34:40Z,1,320,2809,1,2,12.417230331078674
18519037,sethmlarson,2016-04-17T21:13:22Z,1,85,1212,1,2,12.132838283828383
1937689,yan12125,2012-07-08T07:28:25Z,1,1388,17726,16,356,6.753418770370952
5271761,nateprewitt,2013-08-20T17:12:55Z,1,163,5976,1,6,6.418897813476126
8825439,KeyWeeUsr,2014-09-18T21:00:13Z,1,355,12229,1,3,5.834900646005396
39340,sivel,2008-12-09T14:53:12Z,1,937,50566,1,7,5.357885874754917
1869705,jctanner,2012-06-19T21:46:44Z,1,873,50566,1,7,4.991925686938146
328598,terminalmage,2010-07-11T03:47:01Z,1,4879,108741,1,8,3.2809784258007557
10879694,remitamine,2015-02-06T08:56:16Z,1,1586,17726,5,356,2.4115008487500744
9383935,twangboy,2014-10-24T16:21:05Z,1,2698,108741,1,8,1.814322564626038
12269066,fe7ch,2015-05-06T07:56:15Z,1,52,2362,1,2,1.5190516511430991
20407524,k8s-ci-robot,2016-07-11T21:15:57Z,1,109,774,1,11,1.472280949025135
702905,jfindlay,2011-04-01T03:20:10Z,1,2006,108741,1,8,1.348973708168952
732321,gtmanfred,2011-04-15T20:15:04Z,1,1483,108741,1,8,0.9972721880431483
6886822,Ch3LL,2014-03-07T20:01:29Z,1,1071,108741,1,8,0.7202147763952879
16747982,ujjwal96,2016-01-17T20:24:33Z,1,64,8661,1,8,0.5292691375129892
3139472,bantini,2012-12-28T05:26:05Z,1,2,1062,1,1,0.455743879472693
1225294,FiloSottile,2011-11-28T13:06:49Z,1,237,17726,5,356,0.3603566842079241
6326116,linhua55,2014-01-06T01:39:41Z,1,5,2195,1,22,0.18430316835783805
48491,eliasp,2009-01-22T11:55:10Z,1,159,108741,1,8,0.10692264187381025
53487,rg3,2009-02-10T22:31:34Z,1,308,17726,1,356,0.09366232804729166
3270156,Nightreaver,2013-01-14T23:49:56Z,1,1,158,1,9,0.09071729957805907
6585283,ansibot,2014-02-04T14:26:10Z,1,3,50566,2,7,0.03430876760782231
3755886,AndiEcker,2013-03-03T14:03:09Z,1,2,12229,1,3,0.032872679695805054
3696393,yasoob,2013-02-25T17:55:16Z,1,41,17726,1,356,0.012468037175126487
112322,krak3n,2009-08-05T21:22:35Z,1,18,108741,1,8,0.012104450023450217
2679378,patrickslin,2012-10-29T23:27:17Z,1,9,17726,4,356,0.010947544836696427
141546,jwilk,2009-10-19T06:59:32Z,1,14,17726,1,356,0.004257378547604167
11603778,ealgase,2015-03-22T23:04:57Z,1,9,17726,1,356,0.002736886209174107
1487879,Huarong,2012-03-01T08:05:31Z,1,5,17726,1,356,0.0015204923384300596
4866740,bitraid,2013-06-28T12:16:27Z,1,3,17726,1,356,0.0009122954030580357
815376,awojnowski,2011-05-28T03:16:15Z,1,1,17726,2,356,0.0006081969353720238
7141051,hub2git,2014-04-02T16:42:01Z,1,1,17726,1,356,0.0003040984676860119
37849,meunierd,2008-12-02T19:02:11Z,1,1,17726,1,356,0.0003040984676860119
18252705,arbarbosa1979,2016-04-04T00:57:26Z,1,0,17726,1,356,0.0
15266737,dikadk,2015-10-23T15:48:16Z,1,0,17726,1,356,0.0
1123124,jyounus,2011-10-12T17:24:04Z,1,0,17726,1,356,0.0
3491587,OldTrain,2013-02-06T12:53:23Z,1,0,17726,1,356,0.0
13622527,TCarmine,2015-08-03T09:59:08Z,1,0,17726,1,356,0.0
4421155,ewarner9,2013-05-13T20:37:18Z,1,0,17726,1,356,0.0
1806188,tedski,2012-06-01T15:06:38Z,1,0,17726,1,356,0.0
2704175,kruug,2012-11-02T03:44:45Z,1,0,17726,1,356,0.0
1504625,wbecher,2012-03-05T21:49:43Z,1,0,17726,1,356,0.0
2201318,adamstraube,2012-08-23T04:26:35Z,1,0,17726,1,356,0.0
14926781,Troyciv,2015-10-01T14:52:58Z,1,0,17726,1,356,0.0
6832106,ScttB,2014-03-02T16:29:23Z,1,0,17726,1,356,0.0
155953,saitodisse,2009-11-20T14:24:31Z,1,0,17726,1,356,0.0
37524142,farrista,2018-03-19T02:46:28Z,1,0,17726,1,356,0.0
28604497,pathamo1,2017-05-10T17:04:27Z,1,0,17726,1,356,0.0
1911892,snify,2012-07-01T21:37:28Z,1,0,17726,1,356,0.0
50568391,SYSophie,2019-05-13T06:02:05Z,1,0,17726,1,356,0.0
7715155,d3fault,2014-05-27T15:39:27Z,1,0,17726,1,356,0.0
1285303,felisucoibi,2011-12-25T23:01:56Z,1,0,17726,2,356,0.0
11507846,totobest,2015-03-16T18:17:47Z,1,0,17726,1,356,0.0
12269053,cslycord,2015-05-06T07:55:25Z,1,0,17726,1,356,0.0
9303791,giacomocerquone,2014-10-19T09:32:51Z,1,0,17726,1,356,0.0
189297,midinastasurazz,2010-01-25T10:12:23Z,1,0,17726,1,356,0.0
6372741,rowrawer,2014-01-10T21:57:21Z,1,0,17726,1,356,0.0
3836525,cinereous,2013-03-11T22:31:30Z,1,0,17726,1,356,0.0
10701621,jnpwly,2015-01-26T01:31:53Z,1,0,17726,1,356,0.0
30019781,chiragsoni2401,2017-07-09T10:45:29Z,1,0,17726,1,356,0.0
1050043,siso,2011-09-14T12:03:52Z,1,0,17726,1,356,0.0
547842,Sevyls,2011-01-05T00:11:54Z,1,0,17726,1,356,0.0
6212018,akiraaisha,2013-12-18T06:18:22Z,1,0,17726,1,356,0.0
13165660,YuvalZilber,2015-07-03T12:05:44Z,1,0,17726,1,356,0.0
13190492,NicholasGFerguson,2015-07-05T21:43:19Z,1,0,17726,1,356,0.0
3415927,johnthughes,2013-01-29T10:48:39Z,1,0,17726,1,356,0.0
1059810,strex,2011-09-18T12:51:29Z,1,0,17726,1,356,0.0
4027829,giacomolm,2013-04-01T15:21:20Z,1,0,17726,1,356,0.0
227430,radoslawg,2010-03-21T19:00:34Z,1,0,17726,2,356,0.0
37975,ldo,2008-12-03T07:28:05Z,1,0,17726,1,356,0.0
792602,MrMetric,2011-05-17T05:12:01Z,1,0,17726,1,356,0.0
71113,netllama,2009-04-06T20:23:17Z,1,0,17726,1,356,0.0
4482461,sumoanand,2013-05-20T19:54:21Z,1,0,17726,1,356,0.0
9570978,Thomas-RV,2014-11-05T13:00:15Z,1,0,17726,1,356,0.0
19317957,ArchieGu,2016-05-12T02:32:22Z,1,0,17726,1,356,0.0
12841320,nazar2sfive,2015-06-11T06:53:07Z,1,0,17726,2,356,0.0
739815,Shamus03,2011-04-19T19:24:14Z,1,0,17726,1,356,0.0
8189274,MatrixView,2014-07-17T08:33:58Z,1,0,17726,1,356,0.0
49376895,zhenyahacker,2019-04-07T21:17:34Z,1,0,17726,1,356,0.0
998681,antdude,2011-08-23T10:58:29Z,1,0,17726,1,356,0.0
58720946,donmiyamar,2019-12-10T06:14:16Z,1,0,17726,1,356,0.0
895588,bughit,2011-07-05T12:42:19Z,1,0,17726,1,356,0.0
23411641,mikhailbot,2016-11-12T02:49:50Z,1,0,17726,1,356,0.0
1110967,rmanly,2011-10-07T19:08:39Z,1,0,17726,1,356,0.0
2015460,airminer,2012-07-21T02:04:49Z,1,0,17726,1,356,0.0
4148577,stephenwade,2013-04-13T22:07:16Z,1,0,17726,1,356,0.0
10417027,rien333,2015-01-06T11:25:43Z,1,0,17726,1,356,0.0
1876931,Ajedi32,2012-06-21T13:26:57Z,1,0,17726,1,356,0.0
1494693,dglo,2012-03-02T21:57:25Z,1,0,17726,1,356,0.0
1247626,1RedOne,2011-12-07T16:23:31Z,1,0,17726,1,356,0.0
7685285,snow-frog,2014-05-24T01:16:49Z,1,0,17726,1,356,0.0
1931790,Strandtasche,2012-07-06T10:05:33Z,1,0,17726,1,356,0.0
25111343,makeworld-the-better-one,2017-01-13T22:48:58Z,1,0,17726,2,356,0.0
649929,CrimsonGlory,2011-03-03T22:59:32Z,1,0,17726,1,356,0.0
154508,swestrup,2009-11-17T19:37:52Z,1,0,17726,1,356,0.0
1618381,Sparktank,2012-04-06T11:23:13Z,1,0,17726,1,356,0.0
2943307,affinityv,2012-12-02T08:59:55Z,1,0,17726,1,356,0.0
133750,fargiolas,2009-10-01T14:59:50Z,1,0,17726,1,356,0.0
10226269,Triforcecwp,2014-12-17T22:36:44Z,1,0,17726,2,356,0.0
66988758,taslitruba,2020-06-16T05:29:34Z,1,0,17726,1,356,0.0
23700363,mshiels,2016-11-23T12:52:15Z,1,0,17726,1,356,0.0
12064918,Hrxn,2015-04-22T08:59:25Z,1,0,17726,2,356,0.0
8388844,user3587412,2014-08-07T20:43:35Z,1,0,17726,1,356,0.0
218222,tobinjt,2010-03-08T09:28:40Z,1,0,17726,1,356,0.0
44213979,Arnvidr,2018-10-16T21:30:58Z,1,0,17726,1,356,0.0
11599774,RobertusIT,2015-03-22T16:50:35Z,1,0,17726,1,356,0.0
60588009,renoir789,2020-02-03T00:54:15Z,1,0,17726,1,356,0.0
3054920,Seblor,2012-12-16T09:57:31Z,1,0,17726,1,356,0.0
8219794,ariel-co,2014-07-21T02:42:52Z,1,0,17726,1,356,0.0
12265451,BETLOG,2015-05-06T03:04:23Z,1,0,17726,1,356,0.0
62169100,cswjohnni,2020-03-14T07:24:36Z,1,0,17726,1,356,0.0
8095650,colakong,2014-07-07T21:54:02Z,1,0,17726,1,356,0.0
57920273,PolygraphMusic,2019-11-18T20:51:30Z,1,0,17726,1,356,0.0
26121163,Renzlo-D,2017-03-01T17:39:24Z,1,0,17726,1,356,0.0
10516120,reallyuniquename,2015-01-13T13:51:55Z,1,0,17726,1,356,0.0
5983788,tv21,2013-11-19T19:32:16Z,1,0,17726,1,356,0.0
31620802,vidaritos,2017-09-04T11:51:44Z,1,0,17726,1,356,0.0
44274500,srekoslav,2018-10-18T19:12:43Z,1,0,17726,1,356,0.0
2430917,jleaders,2012-09-26T18:32:12Z,1,0,17726,1,356,0.0
8237744,PaulCyberEngel,2014-07-22T17:21:08Z,1,0,17726,1,356,0.0
6908886,AlexEdimensionz,2014-03-10T15:37:00Z,1,0,17726,1,356,0.0
6352288,astaluego,2014-01-08T18:54:48Z,1,0,17726,1,356,0.0
59480337,ilike2burnthing,2020-01-03T15:26:50Z,1,0,17726,1,356,0.0
17693622,Shigeto1,2016-03-07T01:14:12Z,1,0,17726,1,356,0.0
59213215,zeegbi,2019-12-25T00:48:27Z,1,0,17726,1,356,0.0
47098477,monty124,2019-01-28T06:02:27Z,1,0,17726,1,356,0.0
