repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
ClusterHQ/flocker,175,3274,19142,4477262,msh100,102
ClusterHQ/flocker,175,3274,19142,1072151,wallnerryan,4
DistrictDataLabs/yellowbrick,97,2850,818,1000117,lwgray,32
DistrictDataLabs/yellowbrick,97,2850,818,745966,bbengfort,325
HelloZeroNet/ZeroNet,847,15993,3928,16370781,imachug,80
HelloZeroNet/ZeroNet,847,15993,3928,10350359,HelloZeroNet,377
HelloZeroNet/ZeroNet,847,15993,3928,30540412,peter-tank,0
HelloZeroNet/ZeroNet,847,15993,3928,5068843,anmol26s,0
HelloZeroNet/ZeroNet,847,15993,3928,13149763,TheNain38,23
HelloZeroNet/ZeroNet,847,15993,3928,39759,maxogden,0
HelloZeroNet/ZeroNet,847,15993,3928,10137,ghost,0
HelloZeroNet/ZeroNet,847,15993,3928,6765277,DaniellMesquita,6
Jrohy/multi-v2ray,141,4057,599,12463263,Jrohy,598
Jrohy/multi-v2ray,141,4057,599,29273553,huxc573,0
Kaggle/kaggle-api,164,3444,133,1170276,rysteboe,42
Kaggle/kaggle-api,164,3444,133,12313888,SysuJayce,0
LonamiWebs/Telethon,121,3874,2482,6297805,Lonami,2219
LonamiWebs/Telethon,121,3874,2482,9212409,Lerbytech,0
OWASP/CheatSheetSeries,427,13408,981,1573775,righettod,351
P0cL4bs/WiFi-Pumpkin-deprecated,264,2922,318,6795613,mh4x0f,287
PokemonGoF/PokemonGo-Bot,322,3631,3467,3085564,solderzzc,495
Pylons/pyramid,172,3422,11622,46775,mjpieters,4
Pylons/pyramid,172,3422,11622,125174,mcdonc,3384
Pylons/pyramid,172,3422,11622,487237,mmerickel,1529
Pylons/pyramid,172,3422,11622,1008972,nsergey,0
Pylons/pyramid,172,3422,11622,10137,ghost,0
Pylons/pyramid,172,3422,11622,59207,tomster,13
Pylons/pyramid,172,3422,11622,62399,witsch,13
RocketMap/RocketMap,284,2809,1666,23492598,pve83,0
