repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
CSAILVision/semantic-segmentation-pytorch,113,3413,305,5154235,wenqingchu,0
CouchPotato/CouchPotatoServer,288,3727,5257,750342,mano3m,123
CouchPotato/CouchPotatoServer,288,3727,5257,5441497,parberge,9
CouchPotato/CouchPotatoServer,288,3727,5257,352626,DavidDeSloovere,1
CouchPotato/CouchPotatoServer,288,3727,5257,526664,fuzeman,80
CouchPotato/CouchPotatoServer,288,3727,5257,9579470,mixednutts,2
CouchPotato/CouchPotatoServer,288,3727,5257,4738593,mvn23,1
CouchPotato/CouchPotatoServer,288,3727,5257,10392386,BillNasty,2
CouchPotato/CouchPotatoServer,288,3727,5257,1264369,fiLLLip,3
CouchPotato/CouchPotatoServer,288,3727,5257,2392266,avdleeuw,1
CouchPotato/CouchPotatoServer,288,3727,5257,586604,lewang,1
GoogleCloudPlatform/python-docs-samples,263,4431,3436,704680,djmailhot,7
HelloZeroNet/ZeroNet,848,16016,3929,1985040,adrelanos,1
Jrohy/multi-v2ray,147,4112,602,38741211,rhotov,0
LiuXingMing/SinaSpider,251,3038,70,22871145,dadahua555,0
LonamiWebs/Telethon,119,3912,2490,29269213,masoudcom,0
MongoEngine/mongoengine,136,3246,3691,1747653,dmitry-saritasa,0
MongoEngine/mongoengine,136,3246,3691,2776142,laurentpayot,1
Nuitka/Nuitka,100,3274,6814,2040218,blakdronzer,0
OWASP/CheatSheetSeries,433,13520,983,47435785,manideepkonakandla,8
OWASP/CheatSheetSeries,433,13520,983,58619,jacobrose,1
PaddlePaddle/ERNIE,177,3571,294,13331671,ares5221,0
PokemonGoF/PokemonGo-Bot,322,3633,3467,823277,rhysd,1
PokemonGoF/PokemonGo-Bot,322,3633,3467,20671192,AidanB1702,0
PokemonGoF/PokemonGo-Bot,322,3633,3467,2287663,arnogues,0
PokemonGoF/PokemonGo-Bot,322,3633,3467,13395039,alexanderrock,0
PokemonGoF/PokemonGo-Bot,322,3633,3467,20728208,ftykazaf,0
PokemonGoF/PokemonGo-Bot,322,3633,3467,3181700,MaxxLi,0
PokemonGoF/PokemonGo-Bot,322,3633,3467,5614600,starrett67,0
PokemonGoF/PokemonGo-Bot,322,3633,3467,7013039,earthchie,4
PokemonGoF/PokemonGo-Bot,322,3633,3467,10646019,GoMapur,0
PyCQA/pycodestyle,125,4139,1189,6841988,DeepSpace2,0
PyCQA/pylint,68,2985,4747,16198247,pylint-bot,0
PyCQA/pylint,68,2985,4747,9485217,rogalski,62
PyCQA/pylint,68,2985,4747,188043,clintmod,0
PyGithub/PyGithub,102,3716,1893,1867464,labrys,0
PyGithub/PyGithub,102,3716,1893,71403,jaredsmith,2
Pylons/pyramid,171,3431,11622,11489289,silum,4
Pylons/pyramid,171,3431,11622,3452736,sevillalarry,0
Pylons/pyramid,171,3431,11622,11309,ikolar,0
RocketMap/RocketMap,284,2807,1666,3249111,Dagothur,0
RocketMap/RocketMap,284,2807,1666,10329190,aididhaiqal,1
RocketMap/RocketMap,284,2807,1666,20901380,Placeto303,0
RocketMap/RocketMap,284,2807,1666,29488583,mermao1,0
RocketMap/RocketMap,284,2807,1666,4464042,houky12345,0
RocketMap/RocketMap,284,2807,1666,20799531,forsakenzombi,0
RoganDawes/P4wnP1,273,2943,245,17641547,jryd2000,0
StackStorm/st2,170,3935,18629,361167,eedgar,11
StackStorm/st2,170,3935,18629,15013863,dswebbthg,1
StackStorm/st2,170,3935,18629,24829280,guptasakshi01,0
StevenBlack/hosts,561,16008,2366,182035,ybizeul,0
StevenBlack/hosts,561,16008,2366,8383396,buzzdeee,0
StevenBlack/hosts,561,16008,2366,22809548,oznsfw,0
TheAlgorithms/Python,4572,84033,1705,48747984,Hocnonsense,2
XX-net/XX-Net,1782,30284,2212,18226036,windfantacy,0
XX-net/XX-Net,1782,30284,2212,12555398,UnclearDragon,0
XX-net/XX-Net,1782,30284,2212,13693469,sxq112358,0
XX-net/XX-Net,1782,30284,2212,39701018,daungkf,0
XX-net/XX-Net,1782,30284,2212,4383920,yrong,1
XX-net/XX-Net,1782,30284,2212,16664592,lhfly5201314,0
aaugustin/websockets,109,2915,801,8900942,yjqiang,0
adamchainz/django-cors-headers,69,3790,443,6570684,romantomjak,0
andresriancho/w3af,186,3301,16934,865200,andresriancho,5471
andresriancho/w3af,186,3301,16934,16925567,wazabee,0
andresriancho/w3af,186,3301,16934,26577305,immortalsolitude,0
ansible/ansible,2028,44594,50619,388198,dagwieers,1093
ansible/ansible,2028,44594,50619,60706,jpmens,5
ansible/ansible,2028,44594,50619,26568779,0mmariano,0
ansible/ansible,2028,44594,50619,43930,relrod,115
ansible/ansible,2028,44594,50619,1281218,axos88,1
ansible/ansible,2028,44594,50619,161965,makmanalp,1
ansible/ansible,2028,44594,50619,8340498,justintaft,0
ansible/ansible,2028,44594,50619,925383,ottuzzi,0
ansible/ansible,2028,44594,50619,1238254,jdauphant,2
ansible/ansible,2028,44594,50619,3995595,bhcopeland,5
ansible/ansible,2028,44594,50619,7396121,oddjobz,0
ansible/ansible,2028,44594,50619,4561505,isegal,0
ansible/ansible,2028,44594,50619,1834580,t2d,0
ansible/ansible,2028,44594,50619,3616750,amandolo,3
ansible/ansible,2028,44594,50619,594688,ngrilly,4
ansible/ansible,2028,44594,50619,7137,fsteinel,0
ansible/ansible,2028,44594,50619,5437711,andrefernandes,0
ansible/ansible,2028,44594,50619,54986684,greenspartan,0
ansible/ansible,2028,44594,50619,12709763,Nitesh-vaidyanath,0
ansible/ansible,2028,44594,50619,16480093,rbairi,0
ansible/ansible,2028,44594,50619,12625,drfickle,1
apache/airflow,706,18094,9808,42538694,kik-kik,2
apache/airflow,706,18094,9808,3754959,aaronfowles,0
apache/airflow,706,18094,9808,6249654,BasPH,66
apache/airflow,706,18094,9808,5757481,tmkdev,0
apache/airflow,706,18094,9808,15755637,planenutz,0
apache/incubator-superset,1276,29908,5608,33283496,tooptoop4,1
apache/incubator-superset,1276,29908,5608,5021230,rageshpillai,0
apache/incubator-superset,1276,29908,5608,4075318,pykita,0
apache/incubator-superset,1276,29908,5608,19296419,Sarrae1406,0
apache/incubator-superset,1276,29908,5608,12937160,outerlook,0
apache/incubator-superset,1276,29908,5608,5154847,auroralinan,0
apache/incubator-superset,1276,29908,5608,6050613,nabinkhadka,1
apache/incubator-superset,1276,29908,5608,19684548,zjj796,0
arc298/instagram-scraper,185,4011,297,27725951,VasiliPupkin256,15
arc298/instagram-scraper,185,4011,297,40781772,adefajar2018,0
bigchaindb/bigchaindb,234,3498,4347,6178597,diminator,196
bigchaindb/bigchaindb,234,3498,4347,14848871,lwyeluo,0
binux/pyspider,905,14544,1181,3938751,eromoe,4
brython-dev/brython,129,3812,5524,50002,wsanchez,0
byt3bl33d3r/CrackMapExec,272,3998,592,15280042,its0x08,0
byt3bl33d3r/CrackMapExec,272,3998,592,2075297,caoimhinp,0
byt3bl33d3r/CrackMapExec,272,3998,592,22718011,alisonliu,0
celery/celery,492,15687,11322,326786,wido,2
celery/celery,492,15687,11322,16233932,zhanghangorg,0
certbot/certbot,847,27132,9914,356103,ThomasWaldmann,29
certbot/certbot,847,27132,9914,10137,ghost,0
certbot/certbot,847,27132,9914,6504915,bmw,2248
certbot/certbot,847,27132,9914,12755774,pparent76,0
certbot/certbot,847,27132,9914,129439,otrosien,0
certbot/certbot,847,27132,9914,5785366,trinopoty,4
certbot/certbot,847,27132,9914,730123,sttts,0
certbot/certbot,847,27132,9914,12018713,lgg,0
certbot/certbot,847,27132,9914,3995003,JanMikes,0
certbot/certbot,847,27132,9914,24701883,BenjaminUrquhart,0
certbot/certbot,847,27132,9914,8198843,gree303,0
certbot/certbot,847,27132,9914,10212153,letsencryptclient,0
certbot/certbot,847,27132,9914,3854005,oneumyvakin,0
certbot/certbot,847,27132,9914,6366517,micwic,0
certbot/certbot,847,27132,9914,27490641,DevDaveo,0
certbot/certbot,847,27132,9914,4212965,grantwwu,0
certbot/certbot,847,27132,9914,5316950,LnxGnome,0
certbot/certbot,847,27132,9914,10333966,SkiDooGuy,0
certbot/certbot,847,27132,9914,567801,trueshanti,0
certbot/certbot,847,27132,9914,935910,CuZnDragon,0
certbot/certbot,847,27132,9914,9313706,Mythlandia,0
certbot/certbot,847,27132,9914,15244380,jackerzhou,0
certbot/certbot,847,27132,9914,54416,clarkeandrew,0
certbot/certbot,847,27132,9914,5469845,Jaggle,0
certbot/certbot,847,27132,9914,1290357,nzbtuxnews,0
certbot/certbot,847,27132,9914,5649235,lexpierce,0
certbot/certbot,847,27132,9914,331816,Xarkam,0
certbot/certbot,847,27132,9914,730588,x-yuri,0
cloud-custodian/cloud-custodian,157,3119,3337,1455650,rifelpet,1
cloud-custodian/cloud-custodian,157,3119,3337,266641,quiver,1
conan-io/conan,138,4246,4562,226224,onekiloparsec,1
conda/conda,196,3785,15465,12073123,afeblot,0
conda/conda,196,3785,15465,25988062,tstegman,0
conda/conda,196,3785,15465,2067364,pilgrim6588,0
conda/conda,196,3785,15465,7234261,cpoptic,0
conda/conda,196,3785,15465,1892917,monajalal,0
cookiecutter/cookiecutter,250,12746,2666,13526277,NathanUrwin,1
cookiecutter/cookiecutter,250,12746,2666,2691397,sp1rs,0
cookiecutter/cookiecutter,250,12746,2666,2218980,joeczucha,0
cookiecutter/cookiecutter,250,12746,2666,3721994,kevgathuku,0
cookiecutter/cookiecutter,250,12746,2666,51106548,17864219845,0
cookiecutter/cookiecutter,250,12746,2666,3979718,chrisbrake,1
cookiecutter/cookiecutter,250,12746,2666,1611883,BrainGrylls,0
cookiecutter/cookiecutter,250,12746,2666,2680980,willingc,3
cookiecutter/cookiecutter,250,12746,2666,2905530,rmedaer,0
cookiecutter/cookiecutter,250,12746,2666,904752,DerThorsten,0
cookiecutter/cookiecutter,250,12746,2666,4095465,zenzic64,0
cookiecutter/cookiecutter,250,12746,2666,3912048,christianmlong,0
cookiecutter/cookiecutter,250,12746,2666,7892024,nieltg,0
cookiecutter/cookiecutter,250,12746,2666,48054568,kaelQQQ,0
cookiecutter/cookiecutter,250,12746,2666,9206213,snoopyjc,0
cookiecutter/cookiecutter,250,12746,2666,9136990,dtunctuncer,0
cowrie/cowrie,136,3240,2363,12269066,fe7ch,52
cowrie/cowrie,136,3240,2363,13592660,f1r3walled,0
cowrie/cowrie,136,3240,2363,817059,junv,0
cowrie/cowrie,136,3240,2363,5619153,paralax,0
cowrie/cowrie,136,3240,2363,5553370,davegermiquet,26
datawire/ambassador,82,2929,14716,1126180,kflynn,4692
datawire/ambassador,82,2929,14716,40241907,juanjoku,0
datawire/ambassador,82,2929,14716,5103928,Mokto,0
datawire/ambassador,82,2929,14716,36477958,suulperi,0
datawire/ambassador,82,2929,14716,2379163,danielbryantuk,43
datawire/ambassador,82,2929,14716,16439060,knlambert,0
datawire/ambassador,82,2929,14716,1007594,klamontagne,0
django/django,2285,51740,28733,3122442,hramezani,179
django/django,2285,51740,28733,143192,claudep,1646
django/django,2285,51740,28733,82315,dyve,2
django/django,2285,51740,28733,49638033,oleh-mykytyuk,0
django/django,2285,51740,28733,53202,Tordek,0
django/django,2285,51740,28733,458560,desecho,33
doccano/doccano,97,3522,1358,1063219,kuraga,15
docker-archive/docker-registry,194,2866,1205,1086876,shin-,66
docker/compose,691,20586,5826,7367884,DemianTinkiel,0
docker/compose,691,20586,5826,649929,CrimsonGlory,0
dpgaspar/Flask-AppBuilder,161,2953,3676,9511615,yonelly,0
dpgaspar/Flask-AppBuilder,161,2953,3676,21293,metaperl,1
dpgaspar/Flask-AppBuilder,161,2953,3676,22832273,npetrusic,0
dpgaspar/Flask-AppBuilder,161,2953,3676,34314658,jsrpy,0
