repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Homebrew/homebrew-cask,305,17336,114963,1699443,vitorgalvao,14286
Homebrew/homebrew-cask,305,17336,114963,26216252,commitay,2960
Homebrew/homebrew-cask,305,17336,114963,2555394,adidalal,346
Homebrew/homebrew-cask,305,17336,114963,6127163,miccal,1315
Homebrew/homebrew-cask,305,17336,114963,17261190,ran-dall,11558
Homebrew/homebrew-cask,305,17336,114963,727482,rolandwalker,13873
Homebrew/homebrew-cask,305,17336,114963,3063022,tapeinosyne,1873
Homebrew/homebrew-cask,305,17336,114963,1261954,core-code,3086
Homebrew/homebrew-cask,305,17336,114963,863730,fanquake,1831
Homebrew/homebrew-cask,305,17336,114963,2354108,coveralls,0
Homebrew/homebrew-cask,305,17336,114963,19834496,Fischmuetze,0
Homebrew/homebrew-cask,305,17336,114963,25732197,gtmgianni,1459
Homebrew/homebrew-cask,305,17336,114963,1089486,eraserewind,0
Homebrew/homebrew-cask,305,17336,114963,2125849,citruspi,3
Homebrew/homebrew-cask,305,17336,114963,41030,cjs,0
Homebrew/homebrew-cask-versions,28,824,13293,2555394,adidalal,28
Homebrew/homebrew-core,242,7958,190433,26216252,commitay,2102
Homebrew/homebrew-core,242,7958,190433,985416,dunn,712
Homebrew/homebrew-core,242,7958,190433,1787524,Noctem,193
ManageIQ/manageiq,75,1046,44527,7806257,miq-bot,0
ManageIQ/manageiq,75,1046,44527,7808341,JPrause,98
SteveLTN/https-portal,90,3569,272,508007,SteveLTN,191
activemerchant/active_merchant,166,4220,4954,441,jduff,48
activemerchant/active_merchant,166,4220,4954,1516820,travisbot,0
aws/aws-sdk-ruby,155,3152,5950,1647391,jessethegame,0
bogdan/datagrid,29,905,900,1168689,adailey14,0
bogdan/datagrid,29,905,900,122436,bogdan,806
brooklynDev/airborne,25,1091,335,4913482,sethpollack,172
brooklynDev/airborne,25,1091,335,2354108,coveralls,0
catarse/catarse,118,1536,16814,2354108,coveralls,0
chef/chef,411,6316,27855,4381,btm,1097
chef/chef,411,6316,27855,454857,lamont-granquist,3253
chef/chef,411,6316,27855,128243,coderanger,308
chef/chef,411,6316,27855,8500,thommay,600
chef/chef,411,6316,27855,139355,timh,0
chef/chef,411,6316,27855,1619,seth,197
cloudfoundry/bosh,219,1903,18274,16127344,dpb587-pivotal,488
cloudfoundry/bosh,219,1903,18274,2256887,voelzmo,68
comfy/comfortable-mexican-sofa,78,2648,2603,78363,GBH,2098
comfy/comfortable-mexican-sofa,78,2648,2603,2354108,coveralls,0
devopsgroup-io/vagrant-digitalocean,51,1717,303,6510351,seth-reeser,59
devopsgroup-io/vagrant-digitalocean,51,1717,303,922012,voraciousdev,0
devopsgroup-io/vagrant-digitalocean,51,1717,303,1020137,Olofguard,0
devopsgroup-io/vagrant-digitalocean,51,1717,303,131174,simoniong,4
devopsgroup-io/vagrant-digitalocean,51,1717,303,1155123,EwanValentine,0
devopsgroup-io/vagrant-digitalocean,51,1717,303,1844413,qpautrat,0
devopsgroup-io/vagrant-digitalocean,51,1717,303,7338513,fullyint,1
devopsgroup-io/vagrant-digitalocean,51,1717,303,293241,erikaheidi,0
devopsgroup-io/vagrant-digitalocean,51,1717,303,1469855,stevemartingale,0
devopsgroup-io/vagrant-digitalocean,51,1717,303,1206964,dcoraboeuf,0
devopsgroup-io/vagrant-digitalocean,51,1717,303,2389047,rystaf,0
devopsgroup-io/vagrant-digitalocean,51,1717,303,629551,e1nh4nd3r,0
devopsgroup-io/vagrant-digitalocean,51,1717,303,8383666,bosunolanrewaju,0
discourse/discourse,916,31374,38926,3698800,discoursebot,0
dtan4/terraforming,132,3654,1011,2354108,coveralls,0
elastic/elasticsearch-ruby,281,1756,1868,4790,karmi,946
elastic/elasticsearch-ruby,281,1756,1868,1931678,rlanore,0
elastic/logstash,838,11598,9619,9386276,elasticsearch-bot,0
elastic/logstash,838,11598,9619,640,ph,334
elastic/logstash,838,11598,9619,2010,colinsurprenant,316
elastic/logstash,838,11598,9619,1020383,untergeek,200
errbit/errbit,95,4099,2780,133328,stevecrozz,303
errbit/errbit,95,4099,2780,833383,arthurnn,139
errbit/errbit,95,4099,2780,2354108,coveralls,0
fastlane/fastlane,722,29623,15548,17056452,fastlane-bot,0
fastlane/fastlane,722,29623,15548,401294,joshdholtz,422
fastlane/fastlane,722,29623,15548,183673,janpio,166
fastlane/fastlane,722,29623,15548,6481790,max-ott,16
fastlane/fastlane,722,29623,15548,10795657,mollyIV,33
fastlane/fastlane,722,29623,15548,48277,clarsen,0
fastlane/fastlane,722,29623,15548,2045176,wwarne,0
fastlane/fastlane,722,29623,15548,21234510,MrPovilas,0
fastlane/fastlane,722,29623,15548,2423291,naftalibeder,0
fastlane/fastlane,722,29623,15548,3586691,simonbengtsson,0
fastlane/fastlane,722,29623,15548,6376002,eirikvaa,0
fastlane/fastlane,722,29623,15548,29050800,jpghelfi,0
fastlane/fastlane,722,29623,15548,10738242,zlobotron,0
fog/fog,119,4257,12284,4138,geemus,2696
fog/fog,119,4257,12284,17162,davidx,1
fog/fog,119,4257,12284,2354108,coveralls,0
freeCodeCamp/devdocs,616,23660,3362,17579,Thibaut,2627
git/git-scm.com,203,1776,1880,512410,sxlijin,1
git/git-scm.com,203,1776,1880,45925,peff,418
github/secure_headers,183,2800,1008,2354108,coveralls,0
gitlabhq/gitlabhq,1021,22319,104291,278301,Razer6,625
gitlabhq/gitlabhq,1021,22319,104291,305940,dzaporozhets,11374
gitlabhq/gitlabhq,1021,22319,104291,2354108,coveralls,0
gitlabhq/gitlabhq,1021,22319,104291,5402,senny,36
hashicorp/vagrant,764,20459,13486,1255709,kikitux,20
hashicorp/vagrant,764,20459,13486,1299,mitchellh,5974
hashicorp/vagrant,764,20459,13486,35615658,hashibot[bot],0
