repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
Alamofire/Alamofire,1086,34239,1459,169110,cnoon,767
Alamofire/Alamofire,1086,34239,1459,51020,jshier,172
Alamofire/Alamofire,1086,34239,1459,7659,mattt,232
Automattic/simplenote-macos,39,1083,2032,8658164,rachelmcr,2
Automattic/simplenote-macos,39,1083,2032,18581859,arunsathiya,0
Automattic/simplenote-macos,39,1083,2032,1195260,jleandroperez,1609
Carthage/Carthage,393,13859,4224,1302,mdiep,739
Carthage/Carthage,393,13859,4224,909674,ikesyo,956
CosmicMind/Material,283,11586,2498,9982123,danieldahan,775
CosmicMind/Material,283,11586,2498,2993426,garrialmighty,1
GitHawkApp/GitHawk,80,2705,1908,4190298,BasThomas,126
GitHawkApp/GitHawk,80,2705,1908,739696,rnystrom,554
HearthSim/HSTracker,63,1038,2142,3716849,ifeherva,276
HearthSim/HSTracker,63,1038,2142,235510,bmichotte,1428
JadenGeller/Helium,67,3507,253,3880008,harrisrobin,0
JohnCoates/Aerial,412,18431,1193,125896,alistairmcmillan,16
JohnCoates/Aerial,412,18431,1193,967800,JohnCoates,102
JohnCoates/Aerial,412,18431,1193,226778,joshlewis,0
JohnEstropia/CoreStore,68,2557,1076,3029684,JohnEstropia,1011
LoopKit/Loop,381,786,1286,12402160,Kdisimone,22
LoopKit/Loop,381,786,1286,79466,trixing,0
Moya/Moya,256,12381,3257,498212,ashfurrow,689
Moya/Moya,256,12381,3257,14542757,aamctustwo,0
Nightonke/Gitee,19,1084,66,5523883,liqites,0
Nightonke/Gitee,19,1084,66,58962,mxcl,0
Nightonke/Gitee,19,1084,66,7379793,Nightonke,57
Nightonke/Gitee,19,1084,66,133697,songyunlu,0
Nightonke/Gitee,19,1084,66,14134195,nella17,0
Nightonke/Gitee,19,1084,66,7756581,hackjutsu,0
OAuthSwift/OAuthSwift,88,2683,719,8875768,phimage,258
OAuthSwift/OAuthSwift,88,2683,719,400794,antwerpenR,0
PerfectlySoft/Perfect,646,13785,800,1755579,kjessup,596
PopcornTimeTV/PopcornTimeTV,126,1177,24,20926198,FlaviaBondJamesBondsHusband,0
PopcornTimeTV/PopcornTimeTV,126,1177,24,19256012,mtwww,0
RNCryptor/RNCryptor,117,3213,551,429858,rnapier,477
Ranchero-Software/NetNewsWire,108,3700,6282,1297121,brentsimmons,2288
Ranchero-Software/NetNewsWire,108,3700,6282,16448027,vincode-io,3007
Ranchero-Software/NetNewsWire,108,3700,6282,567949,kielgillard,84
ReactiveCocoa/ReactiveCocoa,874,19855,8638,666807,JaviSoto,26
RocketChat/Rocket.Chat.iOS,72,1025,7210,551004,rafaelks,3260
RocketChat/Rocket.Chat.iOS,72,1025,7210,5606812,cardoso,1471
RocketChat/Rocket.Chat.iOS,72,1025,7210,38356277,VareliyK,0
RocketChat/Rocket.Chat.iOS,72,1025,7210,3925166,artrmz,123
RocketChat/Rocket.Chat.iOS,72,1025,7210,193273,soundstorm,122
RocketChat/Rocket.Chat.iOS,72,1025,7210,20956124,jogendra,0
SkrewEverything/Swift-Keylogger,34,951,27,15038803,SkrewEverything,20
SkrewEverything/Swift-Keylogger,34,951,27,7127204,moliata,0
Skyscanner/SkyFloatingLabelTextField,98,3707,494,1333960,k0nserv,120
Toxblh/MTMR,55,2434,611,2198153,Toxblh,311
artsy/eidolon,129,2615,1757,49038,orta,404
artsy/eidolon,129,2615,1757,1256382,acjay,28
aslanyanhaik/Quick-Chat,85,1700,115,37147025,goribchat,0
bennyguitar/News-YC---iPhone,54,812,200,2905799,bennyguitar,182
bizz84/SwiftyStoreKit,111,5015,803,153167,bizz84,637
bizz84/SwiftyStoreKit,111,5015,803,1104109,arslanraza,0
bizz84/SwiftyStoreKit,111,5015,803,22453986,SirComet,0
bizz84/SwiftyStoreKit,111,5015,803,8059108,quytruong1808,0
bizz84/SwiftyStoreKit,111,5015,803,2411336,zdesiree,0
bizz84/SwiftyStoreKit,111,5015,803,721399,daveluong,4
bizz84/SwiftyStoreKit,111,5015,803,12182983,R0uter,0
bizz84/SwiftyStoreKit,111,5015,803,8090436,Vaberer,0
