repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
64characters/Telephone,52,852,2349,12824479,iJasonWade,0
Alamofire/Alamofire,1086,34290,1462,1038927,jacobjennings,0
Alamofire/Alamofire,1086,34290,1462,1109961,marius-serban,0
Carthage/Carthage,392,13877,4225,124499,gfontenot,0
Carthage/Carthage,392,13877,4225,5813496,palusik86,0
Carthage/Carthage,392,13877,4225,4802,tonyarnold,1
Carthage/Carthage,392,13877,4225,552921,modocache,0
Carthage/Carthage,392,13877,4225,504184,ayanonagon,0
Carthage/Carthage,392,13877,4225,2475150,hamchapman,1
JohnSundell/SwiftPlate,29,1715,117,1902763,Brain89,0
RNCryptor/RNCryptor,117,3212,551,1404681,Red-Mak,0
RocketChat/Rocket.Chat.iOS,72,1025,7210,551004,rafaelks,3260
TakeScoop/SwiftyRSA,52,828,106,2870425,rdadkins,0
TakeScoop/SwiftyRSA,52,828,106,20265014,LvJianting,0
TakeScoop/SwiftyRSA,52,828,106,73786,hdoria,0
TakeScoop/SwiftyRSA,52,828,106,23612946,JoanaDFerreira,0
TakeScoop/SwiftyRSA,52,828,106,5070406,mozhgan,0
TakeScoop/SwiftyRSA,52,828,106,8321042,calvinsug,0
TakeScoop/SwiftyRSA,52,828,106,941453,ldiqual,78
Urinx/iOSAppHook,108,2099,18,12095976,lxxxzzz,0
airbnb/Lona,195,7206,2194,1198882,dabbott,1685
apple/swift-package-manager,388,7931,5122,4136295,aciidb0mb3r,2266
buildasaurs/Buildasaur,20,777,647,1653961,ioveracker,3
daltoniam/Starscream,135,6197,574,2707719,kevinbhayes,0
grpc/grpc-swift,67,1054,1178,5047671,glbrntt,257
grpc/grpc-swift,67,1054,1178,117466,MrMage,206
krzyzanowskim/CryptoSwift,174,8002,1272,67255,oscardemoya,2
louisdh/openterm,92,1427,470,19725742,BrianChevalier,0
malcommac/SwiftDate,112,5915,1216,316931,raven,1
marmelroy/Zip,43,1834,251,125701,pwntester,0
mssun/passforios,36,856,1261,42733008,genigenigeni,0
mssun/passforios,36,856,1261,1087718,samdmarshall,0
mssun/passforios,36,856,1261,7503258,jpnadas,0
mssun/passforios,36,856,1261,708533,Stanpol,0
mssun/passforios,36,856,1261,3445290,dongcarl,0
mssun/passforios,36,856,1261,8231917,akiroz,0
mssun/passforios,36,856,1261,399581,jmpolom,0
mssun/passforios,36,856,1261,43040671,JohanMollevik,0
mssun/passforios,36,856,1261,90894,shadyproject,0
mssun/passforios,36,856,1261,3900082,hadeshimself,0
mssun/passforios,36,856,1261,12980971,Li357,0
mssun/passforios,36,856,1261,8782728,ktleary,0
mssun/passforios,36,856,1261,894565,craigcabrey,0
mssun/passforios,36,856,1261,19832356,cavemanr,0
nicklockwood/SwiftFormat,69,4094,1318,1432582,longkai,0
shadowsocks/ShadowsocksX-NG,1000,28391,559,262977,sunyj,0
watson-developer-cloud/swift-sdk,69,873,3556,1957636,glennrfisher,839
wireapp/wire-ios,114,2914,5542,715129,mikeger,989
yanue/V2rayU,209,10370,297,22147280,dream-mo,0
yanue/V2rayU,209,10370,297,18055829,chnxan,0
64characters/Telephone,52,852,2349,188413,eofster,1891
Alamofire/Alamofire,1086,34290,1462,2613779,ilandbt,0
Alamofire/Alamofire,1086,34290,1462,48173153,vishvesh-lad,0
Alamofire/Alamofire,1086,34290,1462,594474,techxplorer,0
Alamofire/Alamofire,1086,34290,1462,4823365,2h4u,1
Alamofire/Alamofire,1086,34290,1462,526054,grantjbutler,0
Alamofire/Alamofire,1086,34290,1462,51363,0xced,5
Alamofire/AlamofireImage,73,3550,520,1260360,tranvutuan,0
Anviking/Decodable,18,1056,382,738681,Ricardo1980,0
Anviking/Decodable,18,1056,382,1766317,icanswiftabit,0
Anviking/Decodable,18,1056,382,11262771,Arcovv,0
DaveWoodCom/XCGLogger,98,3548,413,23133913,Troublebreaker,0
IBM-Swift/Kitura,268,7389,1160,1423497,ianpartridge,99
IBM-Swift/Kitura,268,7389,1160,32634907,Andrew-Lees11,19
Moya/Moya,256,12419,3257,12120835,ekramramu,0
OAuthSwift/OAuthSwift,89,2691,719,5002769,pculligan,2
OAuthSwift/OAuthSwift,89,2691,719,8026564,olivier38070,0
OAuthSwift/OAuthSwift,89,2691,719,5593189,p-salmon,0
OAuthSwift/OAuthSwift,89,2691,719,3177270,jdrevet,0
OAuthSwift/OAuthSwift,89,2691,719,1086845,ianbytchek,3
OAuthSwift/OAuthSwift,89,2691,719,6878195,likers,0
OAuthSwift/OAuthSwift,89,2691,719,42468,ktakayama,3
OAuthSwift/OAuthSwift,89,2691,719,260004,aranasaurus,5
OAuthSwift/OAuthSwift,89,2691,719,11369361,gabriel-jones,0
OAuthSwift/OAuthSwift,89,2691,719,22235536,iam-manikandan,0
OAuthSwift/OAuthSwift,89,2691,719,5204169,frogg,0
OAuthSwift/OAuthSwift,89,2691,719,35836236,Tayyab-VenD,0
OAuthSwift/OAuthSwift,89,2691,719,2145491,Michael-Place,1
OAuthSwift/OAuthSwift,89,2691,719,7026025,orkhanalizade,0
OAuthSwift/OAuthSwift,89,2691,719,11177510,robertofrontado,0
OAuthSwift/OAuthSwift,89,2691,719,11466689,dougw,0
OAuthSwift/OAuthSwift,89,2691,719,153167,bizz84,0
PerfectlySoft/Perfect,645,13795,800,7554889,groovelab,15
RNCryptor/RNCryptor,117,3212,551,3082181,Thavasidurai,0
RNCryptor/RNCryptor,117,3212,551,6426852,ReddySanthosh,0
RNCryptor/RNCryptor,117,3212,551,2333673,GabCas,0
RNCryptor/RNCryptor,117,3212,551,4926488,anhhtz,0
RNCryptor/RNCryptor,117,3212,551,1632444,ranses,0
RNCryptor/RNCryptor,117,3212,551,663605,pepibumur,0
RNCryptor/RNCryptor,117,3212,551,4579208,ElyasNaranjeeSani,0
RNCryptor/RNCryptor,117,3212,551,2426114,sicaboy,0
RNCryptor/RNCryptor,117,3212,551,1507053,certusstone,0
RNCryptor/RNCryptor,117,3212,551,1802664,jacksun1203,0
RNCryptor/RNCryptor,117,3212,551,23480599,sesdev1,0
RNCryptor/RNCryptor,117,3212,551,9285003,jasper-ch-chan,0
RNCryptor/RNCryptor,117,3212,551,6750775,maksTheAwesome,0
RNCryptor/RNCryptor,117,3212,551,3596570,JurajKub,0
RNCryptor/RNCryptor,117,3212,551,694814,anilios,0
RNCryptor/RNCryptor,117,3212,551,3817026,karishmapujara,0
RNCryptor/RNCryptor,117,3212,551,1782786,malqadi88,0
RNCryptor/RNCryptor,117,3212,551,5634693,hadwanihardik,0
RNCryptor/RNCryptor,117,3212,551,7240389,lemarian,0
RNCryptor/RNCryptor,117,3212,551,17869124,dhobaleabhijit,0
RNCryptor/RNCryptor,117,3212,551,7975067,sweetevil,0
RNCryptor/RNCryptor,117,3212,551,26718614,karlkowalskiusr,0
RNCryptor/RNCryptor,117,3212,551,9936455,SnyersK,0
RNCryptor/RNCryptor,117,3212,551,1663711,guysung,4
RNCryptor/RNCryptor,117,3212,551,15136259,imobdeveloper,0
RNCryptor/RNCryptor,117,3212,551,2116873,ilyakalinin,0
RNCryptor/RNCryptor,117,3212,551,15356399,caldwbr,0
RNCryptor/RNCryptor,117,3212,551,39456849,DavidFaraday,0
RNCryptor/RNCryptor,117,3212,551,4730,bigboxsoftware,0
RNCryptor/RNCryptor,117,3212,551,5517484,kamalupasena,0
RNCryptor/RNCryptor,117,3212,551,4422558,arthurwalasek,0
RNCryptor/RNCryptor,117,3212,551,1260360,tranvutuan,0
RNCryptor/RNCryptor,117,3212,551,14805594,ninjanpotter,0
RNCryptor/RNCryptor,117,3212,551,1326220,sbhklr,0
RNCryptor/RNCryptor,117,3212,551,429858,rnapier,477
RNCryptor/RNCryptor,117,3212,551,34852839,himanpan,0
RNCryptor/RNCryptor,117,3212,551,13518877,galinyonchev,0
RocketChat/Rocket.Chat.iOS,72,1025,7210,5606812,cardoso,1471
SwifterSwift/SwifterSwift,249,8796,858,1189879,pynixwang,0
SwiftyJSON/SwiftyJSON,657,19920,734,724373,catjia1011,0
TakeScoop/SwiftyRSA,52,828,106,13516324,rsdev-darshan,0
TakeScoop/SwiftyRSA,52,828,106,767645,scspijker,0
TakeScoop/SwiftyRSA,52,828,106,6835876,paulw11,5
TakeScoop/SwiftyRSA,52,828,106,24988480,Alwin-Lazar,0
TakeScoop/SwiftyRSA,52,828,106,28149468,TulioOParreiras,0
TakeScoop/SwiftyRSA,52,828,106,7580736,rsaarloos,0
TakeScoop/SwiftyRSA,52,828,106,6223169,suniliphone,0
TakeScoop/SwiftyRSA,52,828,106,9595654,Laban1,0
TakeScoop/SwiftyRSA,52,828,106,902317,rredpoppy,0
TakeScoop/SwiftyRSA,52,828,106,8091542,tarun9573,0
TakeScoop/SwiftyRSA,52,828,106,19732707,chili-ios,0
TakeScoop/SwiftyRSA,52,828,106,14326497,qadirsuh,0
TakeScoop/SwiftyRSA,52,828,106,10559025,taimoorsuleman,0
TakeScoop/SwiftyRSA,52,828,106,8747860,optimusbits,0
TakeScoop/SwiftyRSA,52,828,106,17951995,keyhan76,0
TakeScoop/SwiftyRSA,52,828,106,15361504,HenryGaoGH,0
alexeyxo/protobuf-swift,40,918,328,824612,Vladlex,0
apple/swift-crypto,30,893,31,8119320,Adrift001,0
apple/swift-nio,183,6057,1660,22581190,tigerpixel,16
apple/swift-nio,183,6057,1660,1130717,gwynne,9
apple/swift-numerics,46,922,190,889638,benrimmington,1
apple/swift-protobuf,97,3187,1903,21696764,tbkka,650
aschuch/AwesomeCache,27,1213,139,864248,netgfx,0
awslabs/aws-sdk-ios-samples,106,956,201,8533749,kneekey23,15
bignerdranch/Freddy,60,1106,568,5782455,mpaneghel,0
bignerdranch/Freddy,60,1106,568,952825,cbrauchli,1
danielgindi/Charts,616,23261,1713,12003060,surayashivji,0
evermeer/EVReflection,31,946,710,29370758,parkesb,0
glushchenko/fsnotes,66,2415,1655,14331216,ilearnio,0
groue/GRDB.swift,75,3186,8562,183958,haemi,0
hkellaway/Gloss,38,1662,695,1379768,dhushon,0
hkellaway/Gloss,38,1662,695,30983,mwk24,0
hkellaway/Gloss,38,1662,695,1098045,ferusinfo,8
hkellaway/Gloss,38,1662,695,5456481,hkellaway,45
httpswift/swifter,105,3050,612,4265299,kimaldis,0
httpswift/swifter,105,3050,612,3263230,payalbaldota,0
hyperoslo/Cache,46,2100,784,4554498,damianesteban,0
ikesyo/Himotoki,23,779,549,909674,ikesyo,528
ipraba/EPSignature,15,791,76,13561405,arr00,0
ishkawa/APIKit,60,1746,964,344078,novi,0
johnno1962/InjectionIII,23,1799,144,57446,zenangst,28
kasketis/netfox,51,2958,398,56289587,gerarcasKarl,0
krzyzanowskim/CryptoSwift,174,8002,1272,25843119,BKudale,0
krzyzanowskim/CryptoSwift,174,8002,1272,3803268,hamada147,0
krzyzanowskim/CryptoSwift,174,8002,1272,12607629,imrielruchi,0
krzyzanowskim/CryptoSwift,174,8002,1272,8367143,lmsmartins,0
krzyzanowskim/CryptoSwift,174,8002,1272,34276714,GaruSivhuy,0
krzyzanowskim/CryptoSwift,174,8002,1272,7099333,thehellsoul,0
krzyzanowskim/CryptoSwift,174,8002,1272,3079898,khancom1988,0
krzyzanowskim/CryptoSwift,174,8002,1272,13144830,imanuelpardosi,0
krzyzanowskim/CryptoSwift,174,8002,1272,5110729,vanhung1710,0
krzyzanowskim/CryptoSwift,174,8002,1272,20036490,ashiqsulaimanbaryons,0
krzyzanowskim/CryptoSwift,174,8002,1272,6568329,nunosilvamourao,0
krzyzanowskim/CryptoSwift,174,8002,1272,223678,ashrafulkarim,0
krzyzanowskim/CryptoSwift,174,8002,1272,34279128,ferdinandharmaputra,0
krzyzanowskim/CryptoSwift,174,8002,1272,11460453,guns28,0
krzyzanowskim/CryptoSwift,174,8002,1272,26707650,LBarranco,0
krzyzanowskim/CryptoSwift,174,8002,1272,15274326,UnsignedInt8,0
krzyzanowskim/CryptoSwift,174,8002,1272,13313783,ptmjanish,0
krzyzanowskim/CryptoSwift,174,8002,1272,33824653,nzhuda,0
krzyzanowskim/CryptoSwift,174,8002,1272,9253071,jimidobson,0
krzyzanowskim/CryptoSwift,174,8002,1272,16809714,MEnnabah,0
krzyzanowskim/CryptoSwift,174,8002,1272,31770645,yoursnasir,0
krzyzanowskim/CryptoSwift,174,8002,1272,42728623,c1812841,0
krzyzanowskim/CryptoSwift,174,8002,1272,12869892,ekahoo,0
