repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
GitHawkApp/GitHawk,81,2714,1908,47518559,janay33jm,0
RNCryptor/RNCryptor,117,3212,551,10137,ghost,0
ReactiveCocoa/ReactiveCocoa,874,19861,8638,11806295,andersio,622
RocketChat/Rocket.Chat.iOS,72,1025,7210,15136847,Nemental,0
TakeScoop/SwiftyRSA,52,828,106,6876979,4taras4,0
TakeScoop/SwiftyRSA,52,828,106,4531495,ashishguru1986,0
TelegramMessenger/Telegram-iOS,94,1794,16817,355984,ispyropoulos,0
apple/swift-protobuf,97,3187,1903,5279928,thomasvl,1052
benjaminmayo/merchantkit,26,922,385,368193,peterwarbo,0
glushchenko/fsnotes,66,2415,1655,295816,erikrose,0
iglance/iGlance,13,954,585,36657497,D0miH,507
krzyzanowskim/CryptoSwift,174,8002,1272,22565328,keba76,0
mozilla-mobile/firefox-ios,463,9547,8378,434322,sleroux,0
mssun/passforios,36,856,1261,19832356,cavemanr,0
mssun/passforios,36,856,1261,1002811,davidjb,4
mssun/passforios,36,856,1261,4486119,ttyz,9
mssun/passforios,36,856,1261,4255,ismail,0
mssun/passforios,36,856,1261,6374032,a-feld,1
mssun/passforios,36,856,1261,26622971,kraem,0
mssun/passforios,36,856,1261,939104,devalentino,0
mssun/passforios,36,856,1261,1256849,rnkn,0
mssun/passforios,36,856,1261,1894476,Shinzu,0
mssun/passforios,36,856,1261,25171915,dmunao,0
mssun/passforios,36,856,1261,33403134,nicholashanoian,0
mssun/passforios,36,856,1261,344719,opposablebrain,0
mssun/passforios,36,856,1261,3168273,dl7tny,0
mssun/passforios,36,856,1261,18043413,echarlie,0
mssun/passforios,36,856,1261,37265833,Peter4825,0
mssun/passforios,36,856,1261,3009327,wxcafe,0
mssun/passforios,36,856,1261,79913,tsibley,0
mssun/passforios,36,856,1261,2266830,clarkb7,0
mssun/passforios,36,856,1261,9821544,Hans-Maulwurf,0
mssun/passforios,36,856,1261,761605,adelsz,0
mssun/passforios,36,856,1261,14617699,532910,0
p0deje/Maccy,19,1416,234,2568945,adeekshith,0
signalapp/Signal-iOS,287,5089,19327,10137,ghost,0
signalapp/Signal-iOS,287,5089,19327,452417,alexschomb,0
signalapp/Signal-iOS,287,5089,19327,2179579,tbrixen,0
square/Valet,81,3474,521,127924,nicwise,0
trustwallet/trust-wallet-ios,95,1204,2272,10137,ghost,0
wireapp/wire-ios,114,2914,5542,1250795,IpsmLorem,0
wordpress-mobile/WordPress-iOS,171,3003,51678,1773641,jtreanor,296
wordpress-mobile/WordPress-iOS,171,3003,51678,8739,koke,3761
wordpress-mobile/WordPress-iOS,171,3003,51678,373903,astralbodies,1856
