user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
432536,jspahrsummers,2010-10-08T15:39:49Z,1,2495,8638,1,1,252.44616809446632
1198882,dabbott,2011-11-16T08:39:09Z,1,1685,2194,1,1,149.76071103008204
1641148,kzaher,2012-04-13T17:53:24Z,1,1711,3416,2,5,111.19496487119439
1342803,tanner0101,2012-01-18T04:24:17Z,1,2757,5463,5,16,87.05518945634267
4136295,aciidb0mb3r,2013-04-12T11:30:15Z,1,2266,5122,2,4,85.8266302225693
926276,amitburst,2011-07-19T20:00:53Z,1,64,72,1,1,58.666666666666664
498212,ashfurrow,2010-11-26T18:46:10Z,2,1874,5014,2,5,57.7075388911049
3672477,vpeschenkov,2013-02-22T19:00:00Z,2,270,8321,2,3,49.234467011176534
139364,dfed,2009-10-13T20:14:05Z,1,302,521,1,1,46.952015355086374
624238,weissi,2011-02-17T22:55:00Z,1,665,1660,5,8,45.81890060240964
212270,ianyh,2010-02-28T01:35:51Z,1,965,1196,1,2,41.55309364548495
641446,stephentyrone,2011-02-27T23:28:05Z,1,165,190,1,1,39.94736842105263
28851,phatblat,2008-10-14T03:38:32Z,1,596,819,1,2,35.65811965811966
464574,ZevEisenberg,2010-11-02T17:59:22Z,1,698,1282,1,1,33.212168486739465
75067,dduan,2009-04-18T05:20:10Z,1,318,347,1,1,32.99135446685879
1447498,C4Framework,2012-02-17T18:47:15Z,1,648,1053,1,1,31.384615384615383
8223362,jdisho,2014-07-21T11:00:58Z,1,377,415,1,1,29.978313253012047
16309982,broadwaylamb,2015-12-15T18:11:35Z,1,258,328,3,3,23.597560975609756
663605,pepibumur,2011-03-11T07:58:23Z,2,1478,4028,4,6,22.01588877855015
153167,bizz84,2009-11-14T09:11:40Z,1,637,803,1,4,22.013387297633873
4675020,JeremyChiang,2013-06-11T23:53:10Z,1,244,274,1,1,18.7007299270073
4723115,dkhamsing,2013-06-17T23:20:58Z,1,513,6151,1,9,17.199154609006666
169110,cnoon,2009-12-17T20:09:04Z,2,767,5687,2,24,16.61136510169392
741327,joewalsh,2011-04-20T12:52:03Z,1,11417,30988,1,2,16.579482380276236
1957636,glennrfisher,2012-07-11T16:15:40Z,1,839,3556,4,4,16.279808773903262
58962,mxcl,2009-02-28T22:54:13Z,1,155,203,1,1,15.270935960591133
474794,jpsim,2010-11-09T22:03:40Z,1,1772,5023,1,6,14.875439644302874
27570,colinta,2008-10-04T17:51:46Z,1,4805,7722,2,2,13.067210567210568
309420,danthorpe,2010-06-19T13:37:53Z,1,1510,1669,1,3,11.45995606151388
965994,yoichitgy,2011-08-08T09:58:01Z,1,624,902,1,6,11.299334811529933
36657497,D0miH,2018-02-20T07:25:48Z,1,507,585,1,1,11.266666666666667
833072,marcelofabri,2011-06-06T16:14:29Z,1,1256,5023,1,6,10.543765346074723
3218401,Maryom,2013-01-08T18:19:13Z,1,101,259,1,1,10.138996138996138
216089,AliSoftware,2010-03-04T21:27:14Z,1,632,2300,2,6,9.617391304347827
1488293,ilyapuchka,2012-03-01T10:51:53Z,1,438,552,1,2,9.521739130434783
8138981,Janglinator,2014-07-11T21:04:12Z,1,71,398,1,1,9.097989949748744
4329185,AvdLee,2013-05-03T07:42:53Z,1,96,671,1,1,8.727272727272727
57446,zenangst,2009-02-24T11:23:48Z,2,352,478,2,7,8.205618649133294
605076,freak4pc,2011-02-07T17:04:46Z,1,84,475,1,1,8.134736842105264
5191832,dfirsht,2013-08-08T17:37:25Z,1,166,1160,1,5,7.670344827586208
