repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
3lvis/Networking,26,1237,792,2223015,porter707,0
3lvis/Networking,26,1237,792,1088217,3lvis,770
52inc/Pulley,36,1805,172,396122,Vortec4800,1
64characters/Telephone,52,852,2349,188413,eofster,1891
64characters/Telephone,52,852,2349,12018713,lgg,0
64characters/Telephone,52,852,2349,86784,paulschreiber,0
Alamofire/Alamofire,1086,34290,1462,5338685,StephaneGarnier,0
Alamofire/Alamofire,1086,34290,1462,43604043,sanderdekoning,0
Alamofire/Alamofire,1086,34290,1462,13914693,KarrePrakash,0
Alamofire/Alamofire,1086,34290,1462,13529631,unusuallyreticent,0
Alamofire/Alamofire,1086,34290,1462,4208695,dickwu,0
Alamofire/Alamofire,1086,34290,1462,23733661,Pumpkin-SweetPotato,0
Alamofire/Alamofire,1086,34290,1462,20637153,PhoenixLeeSin,0
Alamofire/Alamofire,1086,34290,1462,3865335,sallyahmed,0
Alamofire/Alamofire,1086,34290,1462,11722240,a5978445,0
Alamofire/Alamofire,1086,34290,1462,353037,psankar,0
Alamofire/Alamofire,1086,34290,1462,10137,ghost,0
Alamofire/Alamofire,1086,34290,1462,16459058,wuaschtikus,0
Alamofire/Alamofire,1086,34290,1462,1401242,mrdepth,0
Alamofire/Alamofire,1086,34290,1462,315966,grosch,0
Alamofire/Alamofire,1086,34290,1462,10776592,sagarpatkar,0
Alamofire/Alamofire,1086,34290,1462,2093033,starkite,0
Alamofire/Alamofire,1086,34290,1462,9546330,liuwin7,1
Alamofire/Alamofire,1086,34290,1462,17446425,wm219,0
Alamofire/Alamofire,1086,34290,1462,44452509,jsuske1985,0
Alamofire/Alamofire,1086,34290,1462,10276689,WataruSuzuki,3
Alamofire/Alamofire,1086,34290,1462,9291649,FlyingNoob,0
Alamofire/Alamofire,1086,34290,1462,6766779,ihornet,0
Alamofire/Alamofire,1086,34290,1462,269860,ened,0
Alamofire/Alamofire,1086,34290,1462,10343664,mruvim,0
Alamofire/Alamofire,1086,34290,1462,20050977,vladlo,0
Alamofire/Alamofire,1086,34290,1462,38920,tkareine,0
Alamofire/Alamofire,1086,34290,1462,19584425,sanjuraj85,0
Alamofire/Alamofire,1086,34290,1462,8332399,mikecole20,0
Alamofire/Alamofire,1086,34290,1462,5219641,gensmusic,0
Alamofire/Alamofire,1086,34290,1462,9281646,sosng,0
Alamofire/Alamofire,1086,34290,1462,957980,rsaeks,0
Alamofire/Alamofire,1086,34290,1462,11671055,avanarden,0
Alamofire/Alamofire,1086,34290,1462,1941000,ArturFriesen,0
Alamofire/Alamofire,1086,34290,1462,782627,dcunited001,0
Alamofire/Alamofire,1086,34290,1462,1594953,Kirow,0
Alamofire/Alamofire,1086,34290,1462,248861,nvh,1
Alamofire/Alamofire,1086,34290,1462,4995193,emrekilic,0
Alamofire/Alamofire,1086,34290,1462,1105813,guidev,0
Alamofire/Alamofire,1086,34290,1462,7301171,Pe-te,0
Alamofire/Alamofire,1086,34290,1462,7079771,andrey-lisovskiy,0
Alamofire/Alamofire,1086,34290,1462,20762068,GTMYang,0
Alamofire/Alamofire,1086,34290,1462,1145989,LordZardeck,0
Alamofire/Alamofire,1086,34290,1462,34956,chebur,0
Alamofire/Alamofire,1086,34290,1462,13009279,aluco100,0
Alamofire/Alamofire,1086,34290,1462,978632,isoiphone,0
