user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
1144197,btoews,2011-10-21T22:26:39Z,1,133,194,1,1,126.82989690721651
1165044,1024jp,2011-11-01T14:42:19Z,1,9613,10060,1,1,111.80129224652087
4136295,aciidb0mb3r,2013-04-12T11:30:15Z,1,2266,5122,3,5,102.99195626708317
1342803,tanner0101,2012-01-18T04:24:17Z,1,2757,5463,9,31,80.8770792368603
432536,jspahrsummers,2010-10-08T15:39:49Z,2,3434,12863,5,34,49.70302417787452
5126193,paulofaria,2013-07-31T04:02:56Z,1,345,460,1,1,48.74999999999999
899487,SCENEE,2011-07-07T01:03:34Z,1,549,598,1,1,47.73913043478261
112699,davedelong,2009-08-06T21:53:15Z,1,194,214,1,1,45.32710280373832
3412956,benlangmuir,2013-01-29T04:19:46Z,1,519,811,1,2,44.79654747225648
1917632,matthewpalmer,2012-07-03T10:05:08Z,1,184,243,1,1,42.40329218106996
909674,ikesyo,2011-07-12T07:56:48Z,2,1129,5189,2,6,32.78139654397122
474794,jpsim,2010-11-09T22:03:40Z,1,1130,1659,1,1,29.288728149487643
498212,ashfurrow,2010-11-26T18:46:10Z,1,1185,1757,1,3,29.225953329538985
810189,shogo4405,2011-05-25T16:00:59Z,1,1149,1327,2,5,27.014920874152224
7347118,ra1028,2014-04-19T14:51:29Z,1,162,166,1,1,20.493975903614455
10529867,vadymmarkov,2015-01-14T10:42:53Z,1,342,784,1,1,20.066326530612248
1194497,jrendel,2011-11-14T19:36:05Z,1,113,219,1,1,17.027397260273972
35251519,tachyonics,2018-01-09T06:34:51Z,1,92,166,1,1,16.072289156626507
3735375,justinswart,2013-03-01T07:16:40Z,1,292,2029,2,4,15.686545096106457
188413,eofster,2010-01-23T17:49:31Z,1,1891,2349,1,3,13.95373917979282
741327,joewalsh,2011-04-20T12:52:03Z,1,11417,30988,2,5,13.263585904220989
625803,charlesmchen,2011-02-18T19:13:26Z,1,3302,19327,5,19,12.903600907375283
1088217,3lvis,2011-09-28T21:57:47Z,1,770,792,1,2,12.63888888888889
167236,alejandro-isaza,2009-12-14T06:27:18Z,2,43,2864,2,4,12.5741969273743
5495083,garvankeeley,2013-09-19T15:05:23Z,1,592,8378,14,37,12.37908808784913
11806295,andersio,2015-04-05T12:45:33Z,3,1381,17548,6,38,12.127841829328277
624238,weissi,2011-02-17T22:55:00Z,2,665,7123,7,43,11.170577461155968
21696764,tbkka,2016-09-01T23:54:31Z,1,650,1903,1,3,11.043965668243125
3143487,montehurd,2012-12-28T17:58:53Z,1,5426,30988,3,5,9.45540209113205
14981341,lucdion,2015-10-05T15:44:42Z,1,133,907,1,1,7.918412348401323
6010341,Kacper20,2013-11-22T13:05:57Z,1,222,627,1,2,7.789473684210526
3670378,yohannes,2013-02-22T14:33:44Z,1,25,6151,1,1,7.543488863599415
217057,michaelkirk,2010-03-06T09:56:12Z,1,2362,19327,4,19,7.384204807564002
7742344,zhangao0086,2014-05-30T03:26:52Z,1,944,1081,1,5,7.335430157261794
551004,rafaelks,2011-01-06T21:45:43Z,1,3260,7210,2,9,7.234396671289875
36971147,charlesmchen-signal,2018-03-01T21:10:09Z,1,7626,19327,1,19,5.9601974875617145
1195260,jleandroperez,2011-11-15T01:34:09Z,2,6981,53744,7,35,5.481508633521882
5191832,dfirsht,2013-08-08T17:37:25Z,1,166,1160,3,22,5.229780564263323
12499390,christoff-1992,2015-05-18T16:11:13Z,1,99,294,1,1,5.051020408163265
1641795,vikmeup,2012-04-13T22:56:55Z,1,701,2272,1,6,4.885196596244131
739696,rnystrom,2011-04-19T18:25:31Z,1,554,1908,1,5,4.703773584905661
64848654,EisvogelSAP,2020-05-05T13:45:21Z,1,521,3722,1,3,4.619290703922622
11852044,billypchan,2015-04-08T10:42:52Z,1,1322,5542,1,6,4.53229880909419
8962264,chashmeetsingh,2014-09-29T17:52:02Z,1,94,262,1,2,4.125954198473282
1382556,Lukasa,2012-01-26T16:58:46Z,1,219,1660,2,12,4.0237951807228916
4400286,sblatz,2013-05-10T22:45:34Z,1,113,964,1,2,3.809647302904564
6033733,MatyasKriz,2013-11-25T18:34:33Z,1,107,445,1,2,3.726966292134831
1957636,glennrfisher,2012-07-11T16:15:40Z,1,839,3556,2,9,3.6177352830896137
1093266,thebnich,2011-09-30T17:12:57Z,1,796,8378,3,37,3.566754627628345
7554889,groovelab,2014-05-12T07:28:13Z,1,15,800,1,4,3.0234375
3758731,OlegGordiichuk,2013-03-03T22:05:50Z,1,211,2272,2,6,2.94087441314554
782837,jdhealy,2011-05-12T01:33:29Z,1,153,4225,1,5,2.8391005917159764
7156,typfel,2008-04-14T01:22:41Z,1,822,5542,1,6,2.8181162035366296
147247,tomerd,2009-10-31T22:01:06Z,3,71,1843,4,15,2.671007415445831
387596,dusi,2010-09-04T15:32:16Z,1,99,2029,1,4,2.6591917200591424
1951674,Joannis,2012-07-10T18:13:47Z,1,800,5463,1,31,2.607571167915537
5047671,glbrntt,2013-07-19T14:12:09Z,1,257,1178,2,12,2.436191284663271
4603353,daehn,2013-06-03T17:47:14Z,1,694,5542,1,6,2.3792854565138937
3974977,martinbonnin,2013-03-26T13:19:49Z,1,150,2142,1,2,2.2058823529411766
4372861,califrench,2013-05-08T05:32:47Z,1,3,108,1,1,2.083333333333333
16784982,vadimeisenbergibm,2016-01-19T20:06:46Z,1,194,1160,1,22,2.0373040752351095
10384072,Ollstar,2015-01-03T21:08:33Z,1,40,1053,1,1,1.9373219373219372
5242291,WilliamParks,2013-08-16T05:28:20Z,1,8,144,2,3,1.8148148148148149
1816888,ScoutHarris,2012-06-04T20:57:23Z,1,3350,51678,5,33,1.6795436074432941
5606812,cardoso,2013-10-03T21:05:56Z,1,1471,7210,1,9,1.6321775312066573
15066374,melloskitten,2015-10-10T16:38:01Z,1,181,3722,1,3,1.6047823750671681
18540905,swiftlyfalling,2016-04-18T22:55:53Z,1,91,1669,3,4,1.553924505692031
567949,kielgillard,2011-01-16T22:38:03Z,1,84,6298,1,1,1.4271197205462052
800728,mkistler,2011-05-20T15:45:36Z,1,329,3556,2,9,1.4186351706036746
16192914,alexaubry,2015-12-07T15:35:17Z,1,206,5542,2,6,1.41248646697943
1435271,aerych,2012-02-14T01:35:02Z,1,4588,51678,3,33,1.3801336246477314
1062427,allevato,2011-09-19T15:33:18Z,1,76,1903,1,3,1.2912944473638115
2375962,inflation,2012-09-19T05:39:51Z,1,20,2840,1,3,1.2417840375586855
2954549,rymcol,2012-12-03T18:53:18Z,1,6,800,1,4,1.209375
5515849,fruitcoder,2013-09-23T03:34:09Z,1,1,47,1,1,1.1063829787234043
4190298,BasThomas,2013-04-18T10:16:49Z,1,126,1908,1,5,1.069811320754717
6609246,rolivieri,2014-02-06T20:44:50Z,1,100,1160,1,22,1.0501567398119123
1423497,ianpartridge,2012-02-09T16:09:56Z,1,99,1160,1,22,1.039655172413793
715695,dibas,2011-04-07T16:26:33Z,1,5,184,1,1,1.0326086956521738
3234826,amarekano,2013-01-10T12:16:03Z,1,9,144,1,3,1.0208333333333333
8875768,phimage,2014-09-23T12:32:01Z,1,258,719,1,32,0.998000695410292
30331733,ryanbloom,2017-07-21T02:16:55Z,1,16,1047,1,1,0.9933142311365807
207595,justindarc,2010-02-21T01:31:57Z,1,332,8378,2,37,0.991760918235017
7107815,AndriyGo,2014-03-30T15:17:10Z,1,3,455,2,2,0.9230769230769231
6117280,filipealva,2013-12-05T20:01:08Z,1,821,7210,1,9,0.9109570041608877
