user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
2598660,t4t5,2012-10-19T11:27:40Z,1,233,359,1,1,314.7771587743733
786952,msmathers,2011-05-13T21:30:30Z,1,151,155,1,1,246.47096774193548
2987467,cipchk,2012-12-07T08:07:21Z,1,514,620,2,2,202.28387096774193
80,ry,2008-01-29T08:50:34Z,1,1237,4117,2,6,175.87013197311958
3975738,RomanHotsiy,2013-03-26T14:41:48Z,1,1891,2110,1,1,167.5909952606635
5206843,kuitos,2013-08-11T09:29:12Z,1,369,459,1,1,155.15686274509804
972891,DanielRosenwasser,2011-08-11T02:09:39Z,1,2234,30903,1,1,154.26838818237712
853712,sebmck,2011-06-16T09:33:55Z,1,1111,1872,1,1,141.2489316239316
8926560,pubkey,2014-09-26T08:56:27Z,1,2464,4450,1,1,135.65842696629213
130494,endel,2009-09-23T18:32:47Z,1,663,709,1,1,135.59238363892806
230527,nnixaa,2010-03-25T21:28:13Z,3,1172,2871,19,76,123.69070010449322
8186664,chenshuai2144,2014-07-17T03:17:57Z,1,757,2196,18,40,118.82418032786885
1190944,kspearrin,2011-11-12T21:39:55Z,3,4983,5469,59,111,115.74704106190669
1388706,shprink,2012-01-29T07:31:07Z,1,724,825,1,1,112.32969696969697
6249596,janober,2013-12-23T19:53:35Z,1,1809,2620,2,2,103.56870229007633
10999,torkelo,2008-05-21T07:56:22Z,1,9035,26152,167,706,102.39673060824624
746130,aslushnikov,2011-04-22T16:40:25Z,1,914,1940,4,24,99.25223367697595
438848,adieuadieu,2010-10-14T04:14:29Z,1,229,559,1,1,97.08944543828265
124075,dsyer,2009-09-07T08:52:49Z,1,256,299,28,53,94.53600050482741
777712,EvanHahn,2011-05-09T20:30:13Z,1,592,710,1,1,90.0507042253521
1402241,fregante,2012-02-02T16:11:17Z,1,905,2038,1,1,88.8125613346418
2053478,christopherthielen,2012-07-27T18:21:47Z,1,1240,2109,3,11,84.82607008922798
12655596,emonney,2015-05-29T06:56:22Z,1,109,112,2,3,84.3452380952381
1456265,johannesjo,2012-02-21T06:03:54Z,1,6143,6316,1,1,83.6443951868271
5180488,Chocobozzz,2013-08-07T08:11:31Z,1,2905,5404,24,42,82.63138415988158
4175913,pelikhan,2013-04-16T23:36:56Z,1,2260,4297,1,1,80.4700954154061
13607728,brookshi,2015-08-02T06:15:07Z,1,897,931,2,3,80.29001074113856
544954,sahat,2011-01-03T05:41:55Z,1,1774,2116,29,73,79.9326721392133
36491,beeman,2008-11-25T03:21:10Z,1,899,1023,5,7,77.83549783549783
1249777,uggrock,2011-12-08T13:04:31Z,1,4451,5726,1,1,77.73314704855048
1706381,thetutlage,2012-05-04T16:10:31Z,1,1465,1608,6,18,73.18926202321724
23244943,kamilmysliwiec,2016-11-03T18:46:00Z,1,3454,5867,2,10,73.00085222430543
4932851,alexanderzobnin,2013-07-03T18:48:17Z,1,1540,1633,8,15,71.92324964278424
507615,afc163,2010-12-03T06:35:28Z,2,9573,21417,3,45,70.23567259653547
10582082,githubsaturn,2015-01-18T09:34:13Z,1,1186,1304,5,9,67.70790729379686
303226,evantahler,2010-06-11T23:58:37Z,2,3072,5026,4,5,66.98989255869479
593151,sinedied,2011-01-31T17:21:19Z,1,1069,1254,1,1,63.93540669856459
634063,niik,2011-02-23T14:39:58Z,1,6754,27311,5,23,63.38396855543156
170270,sindresorhus,2009-12-20T22:57:02Z,3,951,2253,6,16,62.68242343541944
2734923,yasserf,2012-11-06T12:36:43Z,1,840,1705,6,9,61.41935483870967
38435,legastero,2008-12-05T01:34:29Z,1,1231,1326,2,2,61.27149321266968
419663,kiswa,2010-09-28T19:18:55Z,1,1013,1067,6,10,59.24198687910028
16421948,KaelWD,2015-12-24T04:59:50Z,1,985,9956,1,1,59.064383286460426
161476,Eugeny,2009-12-03T17:12:54Z,1,2018,2815,6,20,58.06678507992895
810438,gaearon,2011-05-25T18:18:31Z,1,1057,3041,3,27,56.54017318864408
22350,joaomoreno,2008-08-28T15:00:17Z,1,7337,69699,10,56,55.71628410327674
635902,luin,2011-02-24T12:36:28Z,1,829,1028,6,13,54.34031727027836
3382565,chentsulin,2013-01-25T15:12:23Z,1,1510,2426,1,1,52.90601813685078
3665990,onury,2013-02-22T04:11:37Z,1,246,247,1,1,51.78947368421052
3586691,simonbengtsson,2013-02-13T18:00:02Z,1,862,932,1,1,50.86909871244635
1767249,DanWahlin,2012-05-22T21:51:38Z,1,178,410,1,1,50.79512195121951
1892986,Bosn,2012-06-26T07:22:20Z,1,118,214,1,3,50.72897196261682
236501,dwieeb,2010-04-04T02:06:09Z,1,2161,2828,7,18,49.03259075907591
6577830,brandyscarney,2014-02-03T18:56:59Z,1,471,1161,1,2,48.68217054263565
446986,elisee,2010-10-20T14:24:47Z,1,843,1244,3,3,48.113344051446944
413395,dcousens,2010-09-23T19:12:37Z,1,1585,2812,3,7,47.83021743548059
3282725,afrokick,2013-01-16T06:10:13Z,1,97,270,1,1,47.42222222222222
359239,shiftkey,2010-08-10T00:33:01Z,1,6234,27311,4,23,46.80315782938233
