repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
0xProject/0x-monorepo,82,1252,16111,27389,dekz,633
0xProject/0x-monorepo,82,1252,16111,561465,amaurer,10
2fd/graphdoc,16,1076,201,9698107,troowala,0
Automattic/simplenote-electron,145,3128,1761,6817400,belcherj,265
Automattic/simplenote-electron,145,3128,1761,5431237,dmsnell,193
Automattic/simplenote-electron,145,3128,1761,52152,codebykat,53
Automattic/simplenote-electron,145,3128,1761,4823391,milendimo,0
Automattic/simplenote-electron,145,3128,1761,789137,roundhill,240
Automattic/simplenote-electron,145,3128,1761,2273783,cpasternack,0
Automattic/simplenote-electron,145,3128,1761,8658164,rachelmcr,4
Automattic/simplenote-electron,145,3128,1761,2026368,bgi,0
Automattic/simplenote-electron,145,3128,1761,2031017,kristarella,0
Azure/autorest,896,3013,5060,1054056,markcowl,91
Azure/autorest,896,3013,5060,4521223,amarzavery,553
Azure/autorest,896,3013,5060,16953692,dennisfrostlander,0
BoostIO/BoostNote.next,50,1745,1685,19530989,ButteryCrumpet,124
Chocobozzz/PeerTube,271,7758,5502,6329880,rigelk,449
Chocobozzz/PeerTube,271,7758,5502,21209717,mkoppmann,1
Chocobozzz/PeerTube,271,7758,5502,37103353,conferences-gesticulees,0
Chocobozzz/PeerTube,271,7758,5502,18243414,regar42,0
Chocobozzz/PeerTube,271,7758,5502,14030913,FirePowi,0
Chocobozzz/PeerTube,271,7758,5502,371705,fflorent,0
Chocobozzz/PeerTube,271,7758,5502,30171182,stom79,0
Chocobozzz/PeerTube,271,7758,5502,7755000,LecygneNoir,5
Chocobozzz/PeerTube,271,7758,5502,5008396,UnR34L,0
Chocobozzz/PeerTube,271,7758,5502,4410431,Dryusdan,0
Chocobozzz/PeerTube,271,7758,5502,1232812,lsde,1
Chocobozzz/PeerTube,271,7758,5502,146023,yohanboniface,3
Chocobozzz/PeerTube,271,7758,5502,787675,jadjay,0
Chocobozzz/PeerTube,271,7758,5502,510202,immae,1
Chocobozzz/PeerTube,271,7758,5502,10546720,joshmorel,16
Chocobozzz/PeerTube,271,7758,5502,53026767,takking168,0
Chocobozzz/PeerTube,271,7758,5502,8910652,realityfabric,1
Chocobozzz/PeerTube,271,7758,5502,5852233,MikaXII,0
Chocobozzz/PeerTube,271,7758,5502,40436741,WingsLikeEagles,0
Chocobozzz/PeerTube,271,7758,5502,43896676,McFlat,5
Chocobozzz/PeerTube,271,7758,5502,10957157,Green-Star,5
Chocobozzz/PeerTube,271,7758,5502,2827553,darnuria,2
Chocobozzz/PeerTube,271,7758,5502,922350,ldidry,6
Chocobozzz/PeerTube,271,7758,5502,6234196,KRtekTM,0
DanWahlin/Angular-JumpStart,117,1227,410,12582455,kolomu,0
DavideViolante/Angular-Full-Stack,109,1218,335,6844116,DavideViolante,179
DavideViolante/Angular-Full-Stack,109,1218,335,619959,GarettRogers,0
DefinitelyTyped/DefinitelyTyped,646,29657,70946,4059210,bmrobin,0
DefinitelyTyped/DefinitelyTyped,646,29657,70946,19437,ligaz,18
DefinitelyTyped/DefinitelyTyped,646,29657,70946,1153371,eschwartz,0
DestinyItemManager/DIM,72,1224,14405,313208,bhollis,7217
DestinyItemManager/DIM,72,1224,14405,34521,robxu9,0
DestinyItemManager/DIM,72,1224,14405,23445748,colindashots,0
DivanteLtd/vue-storefront,291,7217,11617,238568,carlokok,6
DivanteLtd/vue-storefront,291,7217,11617,211899,pkarw,2992
DivanteLtd/vue-storefront,291,7217,11617,7126345,Aekal,214
DivanteLtd/vue-storefront,291,7217,11617,18116406,karolbzik,15
DivanteLtd/vue-storefront,291,7217,11617,30155292,Fifciu,2
DivanteLtd/vue-storefront,291,7217,11617,49188852,GabiDivante,0
DivanteLtd/vue-storefront,291,7217,11617,35350235,wubuyun,0
DivanteLtd/vue-storefront,291,7217,11617,42430550,vue-kacper,13
EOSIO/eosjs,128,1288,694,58295025,jsdev630,0
EOSIO/eosjs,128,1288,694,44386019,jinjin08021,0
EOSIO/eosjs,128,1288,694,25406908,sehgal12,0
EOSIO/eosjs,128,1288,694,1531750,thekevinbrown,1
EOSIO/eosjs,128,1288,694,20232539,kristieguo,0
EOSIO/eosjs,128,1288,694,15372383,LexLv,0
EOSIO/eosjs,128,1288,694,3095510,Aluman,0
EOSIO/eosjs,128,1288,694,6972299,zshchou,0
EddyVerbruggen/nativescript-plugin-firebase,55,946,1712,20954692,NikolayBa,0
