repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
0xProject/0x-monorepo,83,1245,16096,2151492,fabioberger,3501
0xProject/0x-monorepo,83,1245,16096,2354108,coveralls,0
0xProject/0x-monorepo,83,1245,16096,26384082,stale[bot],0
0xProject/0x-monorepo,83,1245,16096,18060168,abandeali1,1172
0xProject/0x-monorepo,83,1245,16096,31582688,buildsize[bot],0
0xProject/0x-monorepo,83,1245,16096,8582774,xianny,128
0xProject/0x-monorepo,83,1245,16096,7883777,feuGeneA,358
BabylonJS/Babylon.js,541,12114,25643,247092,FreakTheMighty,0
Caligatio/jsSHA,76,1961,350,2017685,Caligatio,334
Cookie-AutoDelete/Cookie-AutoDelete,40,838,779,17077613,ke-d,404
Cookie-AutoDelete/Cookie-AutoDelete,40,838,779,50256176,laurent7465,0
Cookie-AutoDelete/Cookie-AutoDelete,40,838,779,16722053,lrvl,0
DefinitelyTyped/DefinitelyTyped,643,29462,70681,125332,vvakame,4297
DefinitelyTyped/DefinitelyTyped,643,29462,70681,7585416,dt-bot,0
DefinitelyTyped/DefinitelyTyped,643,29462,70681,16175304,CaselIT,46
EddyVerbruggen/nativescript-plugin-firebase,56,945,1708,8848080,MitchTalmadge,0
FormidableLabs/urql,79,4834,1778,49419645,changeset-bot[bot],0
Hopding/pdf-lib,28,1544,318,10351828,Hopding,231
Hopding/pdf-lib,28,1544,318,492052,FilipeAraujo,0
Hopding/pdf-lib,28,1544,318,6888420,mgyugcha,0
Hopding/pdf-lib,28,1544,318,24413078,scottie-schneider,0
Hopding/pdf-lib,28,1544,318,57124141,hmpvillegas,0
LiskHQ/lisk-sdk,235,2698,27732,8068,karmacoma,3316
NG-ZORRO/ng-zorro-antd,246,6752,1608,51913036,zorro-bot[bot],0
NathanWalker/angular-seed-advanced,191,2296,2261,457187,NathanWalker,294
NativeScript/NativeScript,694,18908,6115,18008302,NickIliev,39
ParabolInc/parabol,39,979,8743,103000,jordanh,1175
PowerShell/vscode-powershell,119,994,1258,5177512,rkeithhill,158
PowerShell/vscode-powershell,119,994,1258,2644648,TylerLeonhardt,163
Tencent/TSW,96,1655,889,19383298,tencent-adm,0
Tencent/TSW,96,1655,889,4194287,mapleeit,158
Tencent/TSW,96,1655,889,41898282,github-actions[bot],0
TypeStrong/fork-ts-checker-webpack-plugin,21,1117,488,8374473,piotr-oles,171
TypeStrong/fork-ts-checker-webpack-plugin,21,1117,488,4616705,IanVS,0
actions/starter-workflows,148,3086,412,578543,webknjaz,0
actions/starter-workflows,148,3086,412,62821847,1Uno,0
akveo/ngx-admin,924,21157,523,40002343,MHKarami97,0
akveo/ngx-admin,924,21157,523,21039970,lichkovskyi,0
akveo/ngx-admin,924,21157,523,889383,Gelio,0
algolia/algoliasearch-client-javascript,75,832,2323,123822,vvo,213
algolia/algoliasearch-client-javascript,75,832,2323,393765,bobylito,2
alibaba/ice,468,15457,536,2505411,imsobear,24
alibaba/ice,468,15457,536,14076373,gooddaddy,0
alibaba/ice,468,15457,536,4392234,alvinhui,10
angular-ui/ui-router,529,13818,2109,127535,eddiemonge,3
angular/angular,3219,65169,18611,54863671,angular-automatic-lock-bot[bot],0
angular/angular,3219,65169,18611,248818,vicb,916
angular/angular,3219,65169,18611,216296,IgorMinar,944
angular/angular,3219,65169,18611,13039652,ericmartinezr,4
angular/angular,3219,65169,18611,2392216,Airblader,1
angular/angular,3219,65169,18611,3506071,Splaktar,12
angular/angular,3219,65169,18611,15655,petebacondarwin,1437
angular/angular,3219,65169,18611,3850197,sarunint,8
angular/angular,3219,65169,18611,2286589,naomiblack,42
angular/angular,3219,65169,18611,8366455,djleonskennedy,0
angular/angular,3219,65169,18611,1849725,osahner,0
angular/angular,3219,65169,18611,33324,nelix,0
