id,ParentId,owneruserid,score
"669","657","117","32"
"691","657","34","15"
"1684","657","115","1"
"3052","3027","285","4"
"3204","3027","482","4"
"3207","3027","383","2"
"3241","3027","377","1"
"3290","3027","377","1"
"6850","6847","106","0"
"6857","6847","380","0"
"6861","6847","657","0"
"6862","6847","573","12"
"6866","6847","20","4"
"6975","6847","358","0"
"7092","6847","888","0"
"7097","6847","13","0"
"7130","6847","842","1"
"7162","6847","891","0"
"8322","8318","1054","8"
"10115","6847","1236","0"
"10150","6847","1043","1"
"14629","14617","1769","23"
"15937","14617","1820","200"
"16175","16003","296","1"
"16851","14617","1996","23"
"20907","20841","1120","1"
"20930","20841","1120","2"
"22595","22519","2453","1"
"22887","22880","2148","0"
"22913","22880","2527","140"
"23022","19956","2525","2"
"23972","23961","699","0"
"24097","23961","1600","2"
"24100","23961","1534","1"
"24401","22519","2614","0"
"24445","22880","","42"
"24446","22880","1862","4"
"24477","24468","536","5"
"24480","24468","205","0"
"24484","24468","2626","2"
"24845","23961","2580","1"
"26376","24468","616","3"
"27705","24723","86","0"
"28436","28369","72","2"
"29390","28369","3119","1"
"31964","28369","2774","0"
"32028","28369","2603","2"
"32378","32369","1790","7"
"32386","32369","2114","324"
"32388","32369","792","-1"
"32390","32369","1830","0"
"32408","32369","792","1"
"32409","32369","3043","16"
"32997","32991","338","0"
"33020","32991","3043","1"
"34722","34708","3619","3"
"34727","34708","820","3"
"34736","34708","3055","8"
"34757","34708","3046","0"
"34936","34708","1865","0"
"40865","40853","1233","2"
"40867","40853","3146","24"
"45096","45093","4203","40"
"45098","45093","4310","0"
"45099","45093","740","18"
"45119","45093","4657","4"
"45275","6847","2789","0"
"46428","46415","1902010","0"
"46436","46415","3474","2"
"46461","46415","4767","3"
"46465","46415","3498","1"
"47324","47323","1583","4"
"47325","47323","2257","10"
"47331","47323","1762","6"
"47469","47323","4615","0"
"47581","47323","4890","1"
"48762","40853","4337","4"
"49485","49455","3148","1"
"49821","22519","5083","3"
"51131","51124","369","6"
"51247","51124","5023","2"
"52244","52239","5330","21"
"52843","52830","1862","0"
"52846","52830","380","1"
"52849","52830","5342","2"
"53739","53728","383","-1"
"53741","53728","3320","3"
"53755","53728","238","9"
"53816","53728","5539","1"
"55875","55862","184","1"
"55881","55862","3569","1"
"55882","55862","4918","2"
"55904","55862","3474","24"
"55927","55862","5468","0"
"57434","53728","5674","1"
"57815","57800","2208","1"
"58330","57800","535","3"
"68820","47323","8609","1"
"68823","68792","9806","1"
"70222","53728","10080","91"
"70470","70450","5473","0"
"70484","70450","5806","10"
"70518","70450","11098","6"
"70536","70450","716","55"
"70578","70450","936","1"
"70943","70450","11673","2"
"70971","70450","10661","4"
"71762","32991","11924","0"
"74043","73947","7154","25"
"74063","73947","12870","3"
"74069","73947","12471","2"
"74128","73947","7122","2"
"74242","73947","7068","1"
"74448","73947","12657","19"
"74505","73947","8815","2"
"74841","73947","5674","415"
"75082","75057","7548","-1"
"75096","75057","2065014","1"
"75108","75057","12881","-1"
"75109","75057","9360","-1"
"75149","75057","13281","16"
"75173","75057","3171","3"
"75477","75057","5806","0"
"75498","75057","9116","10"
"77635","22519","14094","0"
"78036","77686","5113","-1"
"78224","77686","6770","1"
"79423","73947","14253","11"
"85951","657","12597","8"
"86061","657","9816","7"
"87413","87365","1591","0"
"87441","87365","13279","0"
"87454","87365","8435","2"
"87463","87365","16509","0"
"87473","87365","15614","3"
"87493","87365","9440","1"
"87494","87365","8427","0"
"87529","87365","15809","2"
"87553","87365","8003","0"
"91509","53728","13113","0"
"93350","77686","15241","1"
"94086","53728","9573","1"
"95877","95852","13136","0"
"95906","95852","15948","1"
"95944","95852","12582","3"
"95978","95852","","0"
"99050","87365","6144","0"
"99111","87365","6456","0"
"100022","99999","14860","2"
"100039","99999","4615","1"
"100060","99999","16549","6"
"100073","99999","5542","1"
"100912","53728","11421","0"
"102520","102496","","0"
"102643","102496","2926","2"
"103117","102496","12267","4"
"103658","102496","9573","3"
"107050","51124","14728","1"
"107838","49455","5822","1"
"108546","108518","18901","13"
"108551","108518","15955","25"
"108559","108518","8206","6"
"108575","108518","17037","7"
"108664","102496","10853","1"
"108754","102496","9360","1"
"108757","102496","14107","2"
"109304","109293","5190","1"
"109307","109293","15950","6"
"109309","109293","10157","0"
"109328","109293","18893","1"
"109353","109293","2147","1"
"109636","108518","12868","18"
"110110","49455","9042","0"
"111583","111576","5","2"
"111584","111576","18246","12"
"111589","111576","12702","4"
"111593","111576","1862","1"
"111598","111576","16417","23"
"111601","111576","16509","4"
"111604","111576","19290","1"
"111606","111576","5","1"
"111614","111576","16398","2"
"111669","111576","10676","2"
"111730","111576","11834","5"
"111764","111576","11236","2"
"111914","111576","","7"
"112067","111576","10080","19"
"112199","111576","5552","2"
"112242","111576","8985","10"
"117388","117352","9530","0"
"117390","117352","10396","0"
"117435","117352","18255","4"
"117460","117352","20055","0"
"117473","117352","","1"
"117957","117920","2525","0"
"118481","118463","12892","9"
"118488","118463","361","2"
"118502","118463","13005","4"
"118503","118463","14955","28"
"118777","118463","16513","0"
"118807","111576","15369","1"
"120387","120380","1196","1"
"120401","120380","2603","19"
"120459","120380","11614","3"
"120603","120380","21063","2"
"120615","120380","11795","0"
"120737","120380","11002","2"
"120757","120380","6770","1"
"121039","111576","","-2"
"121530","121490","3050","1"
"121562","121490","383","1"
"121598","117920","20486","1"
"121620","120380","1163802","1"
"121627","120380","16724","1"
"121629","121490","","1"
"121798","120380","3474","9"
"123522","123159","18636","1"
"124248","118463","5674","26"
"124971","111576","2541","1"
"124974","111576","2541","3"
"124997","111576","7545","3"
"131064","131017","4193","4"
"131074","131017","14897","1"
"131084","131017","6441","0"
"131101","131017","","0"
"132086","131017","15487","0"
"138372","138311","15046","28"
"138465","138432","8844","3"
"138469","138432","3050","0"
"138488","138432","22108","1"
"138504","138432","13744","1"
"139104","139046","11485","1"
"139141","139046","29503","1"
"139147","139046","12424","3"
"139204","139046","15296","1"
"139413","138432","10080","2"
"139500","139046","21363","5"
"141466","141427","9128","2"
"142744","141427","","0"
"143779","141427","22802","0"
"144087","143632","22351","3"
"144956","144696","2321","14"
"145930","117352","","1"
"146356","144696","20772","1"
"148070","148059","3050","9"
"148073","148059","22012","0"
"148090","148059","22680","1"
"148103","148059","2199","18"
"148106","148059","20900","4"
"148107","148059","15296","0"
"155356","40853","23897","11"
"156060","111576","23998","7"
"157974","157938","14028","-1"
"157975","157938","3171","118"
"158180","157938","19533","2"
"158221","157938","13831","18"
"158248","157938","10897","52"
"158387","157938","20486","19"
"158450","157938","","4"
"160042","157938","6899","15"
"160053","157938","1965","1"
"162466","162296","312","0"
"166685","166639","5645","1"
"166686","166639","3765","1"
"166689","166639","7921","1"
"166690","166639","10703","1"
"166694","166639","15329","0"
"166719","166639","3839","5"
"171009","170844","23354","2"
"171235","170844","10080","3"
"171303","166639","10080","3"
"172398","172392","13051","1"
"172420","172392","2150","3"
"172430","172392","12950","1"
"172437","172392","21234","4"
"172449","172392","14577","1"
"172458","172392","10080","7"
"174253","174225","3535708","0"
"174278","174225","6414","9"
"174301","174225","6309","2"
"174485","174348","2287","134"
"174510","174348","13724","192"
"177395","177331","21336","2"
"177403","177331","21963","1"
"177580","177560","23354","5"
"177622","177560","24472","2"
"179023","172392","20789","8"
"180348","177560","2291","1"
"180883","108518","14069","4"
"184350","184328","18255","0"
"184356","184328","13611","2"
"184366","184328","8435","10"
"184369","184328","7210","33"
"184374","184328","13327","0"
"184378","184328","47366","3"
"184382","184328","17826","2"
"184387","184328","14690","0"
"184403","184328","9266","0"
"184700","184328","16314","1"
"184919","184328","","8"
"186815","186789","2759376","1"
"186823","186789","","4"
"186832","186789","12870","5"
"186986","186789","35439","4"
"187160","186789","14262","2"
"187242","186789","3208","0"
"188097","117920","343","0"
"188125","188114","13279","4"
"188132","188114","8529","0"
"188852","188835","2486915","6"
"188871","188835","21384","2"
"188927","188835","3043","2"
"194377","194358","12950","2"
"194425","194358","17349","2"
"194435","194358","26829","0"
"194905","194869","15534","1"
"194947","194869","26240","1"
"195032","194869","4761","1"
"195034","194869","11649","1"
"196158","196150","3146","25"
"197246","188114","2663","0"
"197409","197388","1288","2"
"197418","197388","26792","2"
"197422","197388","22114","5"
"197431","197388","16724","7"
"197437","197388","6521","1"
"197534","197388","16724","1"
"197850","197835","","2"
"197949","197835","1529","0"
"198092","198071","","1"
"198162","198071","12416","4"
"198317","198071","26240","1"
"198815","198803","19087","3"
"198816","198803","16997","4"
"198828","198803","1980","2"
"199072","199017","2025","5"
"199115","199017","23102","-1"
"199123","199017","27009","9"
"199181","199017","15008","1"
"202075","202011","8954","110"
"205146","205070","20986","51"
"205175","205070","6899","6"
"205484","205468","4853","2"
"205490","205468","71","4"
"205493","205468","1821","1"
"205665","205468","6475","0"
"205902","205887","24181","2"
"206671","205668","3853","2"
"206851","205668","10897","1"
"208011","208007","13","23"
"208025","208007","1994377","4"
"208040","208007","3171","0"
"208044","208007","14838","0"
"210860","210832","27294","1"
"210862","210832","2862","0"
"210926","210832","12950","4"
"211107","210832","27975","0"
"211351","210832","15354","1"
"211903","211895","16076","2"
"211912","211895","1288","29"
"211914","211895","19799","0"
"211922","211895","28606","2"
"211952","211941","24181","1"
"212024","211941","15307","0"
"212374","208007","13566","3"
"212524","212510","23795","10"
"212526","212510","12870","129"
"212530","212510","28567","-1"
"212535","212510","19762","9"
"212536","212510","2357","0"
"212560","212510","23795","1"
"212589","212510","27637","26"
"212864","212858","8435","2"
"212877","212858","18907","2"
"213036","208007","3208","1"
"213037","212510","13087","5"
"213076","208007","23512","1"
"213132","208007","28400","1"
"213420","213380","19512","3"
"213424","213380","11649","1"
"213447","213380","14092","45"
"213457","213380","1288","3"
"213489","213380","17560","2"
"213497","213380","6726","-1"
"215135","211895","22674","36"
"215165","213380","3474","100"
"215186","211895","28278","13"
"215305","215302","28258","8"
"215307","215302","28558","2"
"215311","215306","13913","1"
"215312","215306","18642","4"
"215318","215302","15168","3"
"215330","215302","28855","1"
"215336","215306","24243","1"
"215343","215306","4089","2"
"215373","215306","413049","1"
"215469","215306","27637","9"
"215503","215302","24243","2"
"215669","215306","4058","4"
"215711","215306","26595","2"
"216336","216324","67959","-2"
"216339","216324","24181","2"
"216457","216324","619","9"
"217031","208007","14768","6"
"217078","205070","27898","4"
"223494","223480","4853","29"
"223499","223480","7714","6"
"223509","223480","8454","6"
"223518","223480","27009","6"
"224293","224272","20862","12"
"228167","228138","30594","-2"
"228729","228138","9403","5"
"230013","228138","7211","3"
"232501","232484","28832","3"
"233000","232990","6848","-1"
"233008","232990","28258","3"
"233218","232990","15459","0"
"233558","232484","7679","1"
"233748","232990","11633","4"
"235829","232990","14783","0"
"235847","235759","16957","-3"
"239272","239262","4021","-1"
"239274","239262","31395","-1"
"240044","232990","363015","1"
"240730","240713","736","0"
"240751","240713","30492","6"
"240769","240713","3275","-1"
"240858","240713","13473","0"
"240889","240713","29115","0"
"240897","239262","13532","7"
"241068","241040","31486","4"
"241161","241040","31486","1"
"242311","241040","7625","2"
"242663","242648","13552","13"
"244402","243744","25911","1"
"244480","243744","31233","1"
"245623","243744","13813","4"
"246878","246822","28591","0"
"247019","246822","13087","1"
"247070","246822","2610","7"
"247195","246822","3509","1"
"248054","243744","","0"
"248813","248789","25035","3"
"249007","248789","31307","0"
"252612","252180","26000","26"
"252814","252180","33006","10"
"253112","252974","1855","2"
"255073","254980","5645","5"
"255739","255723","25122","18"
"255746","255723","15310","7"
"255750","255723","3474","2"
"255751","255723","25066","2"
"256903","252974","28305","2"
"258743","258721","572","0"
"258790","258721","5542","20"
"259512","259372","33006","3"
"260619","259897","15609","14"
"261208","261202","6536","1"
"261590","261202","12915","1"
"262153","262145","2603","1"
"262161","262145","25416","1"
"262163","262145","9516","0"
"262170","262145","9516","0"
"262177","262145","14048","6"
"262178","262145","10661","18"
"262188","262145","4418","0"
"262310","262145","5551","3"
"262429","262145","33977","2"
"262447","262145","1529","1"
"263388","263367","24970","1"
"263393","263367","34116","1"
"263433","263367","30913","0"
"263441","263367","20178","5"
"263450","263367","8609","2"
"263501","263367","14343","19"
"263709","261202","32336","0"
"263841","263818","34479","-2"
"263871","263818","9353","0"
"263878","263818","","2"
"263929","263818","1865","5"
"263949","262145","31351","1"
"264159","263818","14606","0"
"265043","263818","33910","0"
"265229","263818","15985","0"
"265317","265305","16076","8"
"265352","265305","3312","0"
"265435","265305","29157","1"
"267653","267607","10786","-2"
"267655","267607","14860","1"
"267656","267607","30214","4"
"267713","267451","7625","8"
"267714","267451","23354","0"
"269888","269713","34329","0"
"270496","270453","35116","4"
"270670","269713","35296","8"
"272235","212510","2779","12"
"273399","273396","33006","24"
"273709","273396","13118","92"
"273712","273396","13491","3"
"273921","111576","5822","1"
"276270","276177","3055","1"
"276480","276177","35955","0"
"277238","262145","761503","11"
"277708","277695","12915","6"
"278283","278273","3153","4"
"278285","278273","34509","1"
"278300","278273","2298","4"
"278303","278273","8435","0"
"278347","278273","1288","7"
"278353","278273","32030","5"
"278374","278273","14065","1"
"278446","278273","31325","1"
"278652","278273","15168","2"
"279474","278273","10593","1"
"279700","279693","29157","5"
"279702","279693","4958","12"
"279934","274533","29345","2"
"281107","281068","5542","3"
"281110","281068","419","0"
"281115","281068","28294","0"
"281131","281068","30884","0"
"283370","278273","23420","0"
"285262","278273","14148","0"
"288661","270453","8305","10"
"290473","290460","33226","1"
"291257","291102","7714","2"
"291782","291744","5618","1"
"292008","291744","12915","0"
"292670","278273","35223","0"
"293065","291294","31385","5"
"295442","295156","37548","4"
"295454","295156","11172","0"
"295526","295156","35496","12"
"295921","295910","31345","3"
"295933","295910","37710","2"
"296007","295910","2199","3"
"296050","295910","26227","0"
"296213","296193","2208","0"
"296865","296193","25737","0"
"297722","295156","","0"
"297877","296193","9345","1"
"298851","295156","28243","4"
"299299","295910","37379","0"
"299848","299826","23029","14"
"299871","295910","335036","0"
"299894","299826","11649","6"
"303110","303096","12707","0"
"303118","303096","13652","0"
"303159","303096","10968","7"
"304334","304284","15124","4"
"307455","307448","15852","1"
"307459","307448","3474","3"
"307464","307448","38317","0"
"308333","306489","39392","3"
"309369","307448","27461","1"
"309536","309497","4083","2"
"309781","309497","","1"
"309973","307448","10026","0"
"311083","311064","7193","0"
"311084","311064","4615","4"
"311144","311064","3892","2"
"311173","311064","3892","8"
"311251","310476","39443","2"
"312117","310476","29157","1"
"312260","312254","13724","1"
"312261","312254","82262","0"
"313873","22880","29525","9"
"317804","317788","5812","11"
"317805","317788","22656","7"
"317808","317788","18192","1"
"317812","317788","40093","1"
"317820","317788","636","2"
"317845","317788","5618","6"
"317856","317788","27461","1"
"317872","317788","1862","1"
"318041","317788","15880","0"
"319515","319508","4421","2"
"319517","319508","8014","3"
"319655","319508","27414","7"
"321508","68792","4418","2"
"321539","68792","21807","1"
"325632","117920","2084","2"
"327103","327097","36384","10"
"327109","102496","14431","0"
"327177","327097","5958","2"
"327206","327097","","16"
"327846","315240","26787","3"
"330118","315240","15168","4"
"330152","295156","31444","1"
"333848","333812","6491","3"
"334079","333812","26042","1"
"337710","337663","2194","3"
"340579","340568","10771","6"
"340581","340568","33987","6"
"341394","340568","3312","1"
"341945","341585","39057","2"
"342282","310476","33977","1"
"342387","342378","40650","8"
"342478","342378","3474","6"
"342498","342378","13663","130"
"344023","343995","35296","2"
"344027","343995","32671","1"
"344133","343995","15031","1"
"344328","344314","39057","3"
"344528","344314","12823","1"
"344865","344774","29650","0"
"347962","347948","41860","1"
"347964","347948","16511","3"
"347972","347948","23283","2"
"347984","347948","27637","5"
"348000","347948","1288","5"
"348011","347948","43281","1"
"348041","347948","21336","1"
"348054","347948","36093","17"
"348072","347948","43994","1"
"348106","347948","40620","1"
"348134","348090","6479","6"
"348137","348090","3540161","0"
"349287","348090","41292","4"
"349334","348090","23704","0"
"349462","143632","44289","5"
"349673","347948","5551","0"
"350187","350177","3043","4"
"350194","350177","23691","5"
"350201","350177","26004","0"
"350288","350177","5551","2"
"350342","350177","8026","0"
"350364","350177","8753","0"
"351016","350588","636","5"
"354100","354021","37568","0"
"355214","123159","","0"
"355587","354323","44562","1"
"356369","354323","38207","1"
"358155","311064","4958","14"
"359786","358967","2811","6"
"360035","358967","20520","5"
"360545","360520","22436","2"
"365189","365158","5416","3"
"365207","365158","22704","1"
"365529","362948","5542","1"
"365535","350177","3916","0"
"366143","365158","39851","0"
"367194","367180","25737","8"
"370392","341585","","1"
"371241","108518","","1"
"372384","360520","41754","48"
"372690","372268","45108","2"
"372890","372268","42404","1"
"373085","372980","25222","67"
"373099","362948","5542","2"
"373805","372268","20029","11"
"373911","372980","15168","30"
"375537","375524","5445","0"
"375539","375524","8360","0"
"375541","375524","46204","18"
"375638","337663","46669","2"
"380339","380336","33708","1"
"380343","380336","39106","1"
"380647","32369","4918","15"
"382339","380336","23276","6"
"382528","139046","18518","3"
"382604","382464","43029","12"
"382650","382464","6144","7"
"383100","139046","47961","3"
"383753","307448","33236","0"
"383774","307448","31341","0"
"384490","384489","3225","3"
"384495","384489","22656","9"
"384498","384489","1288","15"
"384512","384489","47707","1"
"384567","384489","4100","2"
"384600","384489","238948","3"
"384629","384489","1615","2"
"384666","384489","18914","1"
"384734","384725","1200558","2"
"387111","387104","1891","0"
"387127","387104","34502","1"
"387133","387104","15689","2"
"387249","387104","37020","6"
"387254","387104","33686","1"
"387673","387104","44330","4"
"387701","372268","10165","0"
"390760","390677","6258","2"
"396029","360520","48340","29"
"399820","347948","17542","0"
"399827","347948","17542","3"
"399875","347948","40322","-1"
"402913","402705","13118","2"
"402971","52830","50111","0"
"403423","403394","33226","0"
"403436","403394","42404","8"
"403612","403394","10558","1"
"404420","403394","20029","5"
"404816","404806","46100","9"
"404820","404806","49246","0"
"404849","404806","42404","0"
"404858","404806","9634","8"
"404909","404806","13005","2"
"404929","404806","47707","0"
"404945","404806","352728","4"
"406120","404806","29157","4"
"406146","404806","","0"
"406968","402705","","1"
"408466","408431","35092","0"
"408470","408431","39443","5"
"410446","340568","48082","11"
"410994","390908","273","1"
"411907","409725","17131","1"
"413336","73947","47901","2"
"413794","73947","10837","3"
"413835","413677","7824","6"
"414320","413677","22970","5"
"419303","419288","40933","2"
"419319","419288","2329","1"
"421471","421458","42404","0"
"430559","421458","14971","4"
"431743","421458","50276","0"
"432759","432753","23354","7"
"432775","432753","","1"
"433052","14617","53495","0"
"434798","434776","51017","3"
"435030","434776","54108","4"
"436020","75057","33229","0"
"436216","413677","54249","0"
"436516","434776","25416","1"
"437982","437962","50312","0"
"437989","437962","813","12"
"438113","437962","44639","0"
"438168","437962","46264","0"
"438186","437962","25411","2"
"438793","344774","36590","0"
"442318","435408","54920","0"
"442457","442443","54574","4"
"442461","442443","15667","3"
"442484","442443","1143","-5"
"442508","442443","15118","0"
"442509","442443","18936","22"
"442551","442443","54415","-4"
"442559","442443","19762","5"
"442657","442594","45664","2"
"442917","442898","4918","2"
"442920","442898","7837","0"
"442936","442898","46991","4"
"442943","442898","6461","6"
"443037","442898","33051","0"
"444715","444698","4918","5"
"444720","444698","29","16"
"444732","444698","17109","-1"
"444776","20841","9169","0"
"445183","445177","5976","3"
"445194","445177","44041","1"
"445231","445177","40322","1"
"445242","445177","106","0"
"445243","445177","25191","1"
"446317","442898","8741","0"
"446531","446467","5976","0"
"446545","446467","43965","1"
"446547","446467","53114","1"
"447141","445177","5551","8"
"449239","445177","20394","2"
"449657","449650","50388","8"
"449659","449650","29173","1"
"449660","449650","22489","11"
"449674","449650","27727","2"
"449691","449650","","3"
"450452","344774","55120","0"
"450974","111576","42604","1"
"454777","454771","48839","2"
"454778","454771","","2"
"454889","454771","23354","1"
"456188","456109","48383","15"
"456268","455234","19411","3"
"456558","456546","56338","10"
"456629","456546","49701","6"
"456791","456109","10080","4"
"457477","457471","22459","2"
"457490","457471","6583","3"
"457512","457471","16883","5"
"457541","457471","30297","0"
"457547","457471","7856","1"
"457548","457471","6521","1"
"457864","457471","44330","2"
"458022","457471","14148","2"
"458670","455234","56791","1"
"460526","460519","4977","16"
"460527","460519","16143","8"
"460535","460519","36472","1"
"460704","460519","11432","5"
"461132","461120","28882","1"
"461326","461120","41956","0"
"461433","460519","44330","7"
"463286","461886","13447","0"
"464309","461120","44715","0"
"466012","465997","1902010","0"
"466019","465997","20528","9"
"466051","465997","1971","5"
"466056","465997","18936","5"
"466216","404806","10165","1"
"466319","465997","19746","2"
"470965","461886","14930","0"
"475246","475216","47773","13"
"475269","475216","58477","3"
"475394","475216","20860","8"
"476094","475216","56495","5"
"476732","476701","12950","3"
"476766","476701","38053","2"
"476801","476701","2199","1"
"477660","477649","91","11"
"478256","478251","41860","1"
"478260","478251","49701","0"
"478264","478251","55283","0"
"478275","478251","20471","0"
"478304","478251","46782","1"
"478318","478251","53114","0"
"478373","478251","58670","1"
"478393","478251","39992","7"
"478412","478251","39992","2"
"478452","478251","28144","2"
"478625","478455","16076","1"
"480027","461886","27628","1"
"481105","481098","3043","6"
"481118","481098","13279","0"
"481126","481098","58099","1"
"481233","481098","59115","0"
"481857","481845","42019","8"
"481872","481845","48383","4"
"482744","384489","","-2"
"483205","483197","44389","6"
"483571","483197","37055","1"
"483948","483197","14072","0"
"484677","355418","59459","3"
"486082","485866","38053","8"
"487329","483197","44389","1"
"487916","477649","8047","1"
"489124","489119","41665","14"
"489502","489119","56541","89"
"491273","491109","33889","1"
"495495","495392","17499","0"
"495793","495392","5542","5"
"498527","498521","10583","1"
"498540","498521","57068","16"
"498553","498521","6521","7"
"498563","498521","53114","4"
"498566","498521","20267","0"
"501499","500586","59631","1"
"503683","503666","21398","0"
"503840","503666","18275","0"
"503850","503666","27916","4"
"506163","500586","60892","0"
"507272","507124","23283","7"
"510222","311064","37840","-1"
"512188","512174","3201","4"
"512191","512174","43965","2"
"512197","512174","22164","1"
"512200","512174","21434","26"
"512203","512174","61523","4"
"512209","512174","5287","4"
"512210","512174","59494","3"
"512227","512174","48478","0"
"512234","512174","8954","20"
"513286","512174","794","19"
"513836","270453","62675","1"
"514586","512174","9787","0"
"515150","512174","15354","0"
"518153","507753","52566","1"
"519303","491109","1691","0"
"519923","519872","6088","2"
"519956","519872","854","1"
"521112","521101","57510","4"
"521411","521101","37416","52"
"522382","512174","9787","8"
"522567","512174","18914","0"
"522795","522778","","1"
"522796","522778","1977","1"
"522801","522778","813","2"
"522802","522778","34824","1"
"522806","522778","268","6"
"522976","522967","13663","8"
"522977","522967","62488","48"
"522990","522967","44873","0"
"522991","522967","40002","2"
"523149","522967","26180","25"
"523404","512174","10527","0"
"523638","523629","6521","23"
"524934","228138","10080","26"
"525091","525056","10661","4"
"525157","525156","5193","11"
"525472","525056","22176","2"
"526629","526576","33345","17"
"526662","523629","3779","16"
"526994","526576","15245","2"
"527771","522778","64122","5"
"529082","528938","44355","1"
"529101","528938","21925","3"
"529987","529971","48478","0"
"529995","529971","740","0"
"530251","529971","1952","3"
"531424","304658","1996","1"
"532102","532070","23354","1"
"533444","144696","3207","16"
"533695","24723","59223","4"
"533974","533965","38264","12"
"533992","533965","34880","2"
"533997","533965","15667","36"
"534006","533965","67","113"
"534050","533965","9634","3"
"534052","347948","39461","1"
"534074","533965","25188","7"
"534161","311064","58668","4"
"534249","533965","9908","6"
"534309","533965","18393","15"
"534314","475216","48486","1"
"534484","533965","10887","4"
"534538","533965","30000","1"
"534589","533965","33264","1"
"534770","534742","33345","0"
"534771","534742","11995","3"
"534777","534742","56913","1"
"534779","534742","22459","19"
"534790","534742","55151","1"
"534805","534742","58110","19"
"535022","24723","7679","70"
"535077","534742","18936","5"
"535324","534742","4668","1"
"536602","536584","39233","-1"
"536620","536584","40581","3"
"536671","536584","57477","1"
"536725","536584","27233","3"
"536756","536584","18914","156"
"536778","536584","15825","7"
"536806","536584","24587","29"
"536852","536584","1862","3"
"537260","533965","18893","3"
"537693","533965","14148","4"
"537875","409725","14281","0"
"537953","533965","18914","1"
"538379","24723","18192","0"
"539383","539348","54838","6"
"540555","540524","40581","5"
"541648","540496","5343","2"
"542441","540496","65635","0"
"543991","543947","12711","2"
"544055","543947","48759","0"
"544246","544239","65502","1"
"544254","544239","4833","15"
"544261","544239","65763","1"
"544262","544239","65388","0"
"544302","544239","20801","-1"
"544334","544239","49529","8"
"544335","544239","25411","1"
"545199","545172","39648","2"
"545200","545172","31150","3"
"548977","14617","","1"
"550008","549987","64381","3"
"550017","549987","65952","0"
"550074","549987","56541","6"
"550091","549987","66502","2"
"550770","550742","11525","0"
"550798","550742","2525","1"
"551062","473531","7888","2"
"553357","553353","1122","2"
"553399","553353","28896","3"
"553835","553353","49241","0"
"555082","555076","6898","3"
"555090","555076","66270","5"
"555092","555076","67052","3"
"555168","555076","25615","3"
"555230","555222","2509","3"
"555238","555222","66270","11"
"555278","555222","","2"
"555388","555222","3811","2"
"555392","555076","3811","6"
"558896","558877","67568","1"
"558902","558877","66420","0"
"558924","558877","52051","1"
"558928","558877","16587","0"
"558961","558877","60117","0"
"560000","559995","17174","1"
"561557","558877","27609","0"
"564640","564632","960","7"
"564689","564684","42142","4"
"564696","564684","23704","2"
"564715","564632","4727","8"
"564749","564684","61164","1"
"568976","568970","466531","1"
"575866","575817","4965","23"
"575886","575817","20840","7"
"575950","575817","2635","5"
"575980","575817","33611","10"
"579280","579224","4725","4"
"580551","580534","18275","7"
"580553","580534","56940","4"
"580554","580534","66692","2"
"580556","580534","17028","1"
"580558","580534","31671","18"
"580575","580534","65412","1"
"583742","583592","70519","0"
"584932","583592","20267","2"
"587804","587638","21960","3"
"587870","587638","56604","0"
"588957","540496","","0"
"589850","589834","24587","102"
"590563","587638","31278","3"
"590596","580534","71371","2"
"590732","590708","60234","7"
"590961","590708","3030","5"
"595150","595114","59753","6"
"596178","589834","3474","12"
"596302","587638","35886","1"
"599513","599509","41665","3"
"599518","599509","70348","0"
"599525","599509","46201","5"
"601275","601209","13986","0"
"601306","601300","41665","4"
"601310","601300","24215","1"
"601317","601209","10659","0"
"601390","601300","53212","0"
"601413","601209","3146","4"
"601457","601300","38458","27"
"601524","601300","20860","87"
"602887","601209","26837","2"
"606125","606099","60655","0"
"606132","606099","18180","15"
"606702","595114","36330","14"
"606843","606830","34211","14"
"606849","606830","57625","5"
"606860","606830","1900","0"
"606868","606830","60647","2"
"606877","606830","28045","7"
"606883","606830","40322","1"
"606886","606830","35322","0"
"606893","606830","66420","0"
"606905","606830","1898","2"
"606922","606830","27800","0"
"606928","606830","72840","0"
"606934","606830","1254","1"
"606974","606830","66372","0"
"606985","606830","52201","0"
"607010","606830","72824","0"
"607038","606830","65756","0"
