owneruserid,reputation,userviews,creationdate
"1","59629","567544","2008-07-31 14:22:31"
"39","14214","1707","2008-08-01 12:44:55"
"83","51790","3028","2008-08-01 16:31:56"
"86","6569","583","2008-08-01 16:45:58"
"95","15656","2856","2008-08-01 18:28:24"
"105","3695","414","2008-08-01 23:29:32"
"106","15932","2649","2008-08-02 00:12:12"
"146","6098","624","2008-08-02 14:49:20"
"159","1579","221","2008-08-02 18:20:52"
"195","2028","170","2008-08-03 11:02:15"
"208","64302","1498","2008-08-03 13:52:08"
"231","9350","349","2008-08-03 19:35:19"
"311","2244","713","2008-08-04 14:57:09"
"318","12825","611","2008-08-04 15:47:15"
"357","61625","1392","2008-08-05 01:29:23"
"379","1191","5609","2008-08-05 10:03:38"
"380","10947","1250","2008-08-05 10:39:18"
"422","77801","2466","2008-08-05 15:11:55"
"482","1030","473","2008-08-06 08:54:09"
"493","100223","3299","2008-08-06 10:25:05"
"572","104669","14728","2008-08-06 20:56:54"
"716","6227","473","2008-08-08 06:57:38"
"720","44220","3038","2008-08-08 08:47:12"
"894","1926","293","2008-08-10 08:39:34"
"986","63039","3407","2008-08-11 12:13:30"
"999","26082","1512","2008-08-11 12:32:21"
"1103","6609","794","2008-08-12 12:00:50"
"1108","13749","612","2008-08-12 12:16:28"
"1174","7324","546","2008-08-13 10:17:21"
"1284","31065","1181","2008-08-14 11:34:29"
"1450","103691","8487","2008-08-15 16:26:21"
"1467","6741","293","2008-08-15 17:35:39"
"1551","31248","4688","2008-08-16 15:31:11"
"1581","927","49","2008-08-16 20:39:26"
"1644","11881","1244","2008-08-17 18:23:42"
"1762","14812","755","2008-08-18 13:12:06"
"1763","1987","242","2008-08-18 13:15:11"
"1782","71047","3830","2008-08-18 14:30:58"
"1821","49835","5125","2008-08-18 18:11:48"
"2016","1203","186","2008-08-19 19:49:14"
"2174","2978","424","2008-08-20 18:11:16"
"2183","33858","1319","2008-08-20 19:42:13"
"2227","580","49","2008-08-21 02:50:19"
"2492","2308","307","2008-08-22 14:03:41"
"2577","12415","1356","2008-08-23 03:18:09"
"2644","16429","1090","2008-08-23 21:56:47"
"2695","45869","2267","2008-08-24 15:29:59"
"2932","1445","126","2008-08-26 08:03:53"
"3047","9578","1096","2008-08-26 13:36:37"
"3081","667","89","2008-08-26 14:51:58"
"3118","7083","422","2008-08-26 18:41:09"
"3189","14619","754","2008-08-27 11:59:18"
"3193","10749","1003","2008-08-27 12:43:55"
"3229","495","52","2008-08-27 13:47:19"
"3259","1827","355","2008-08-27 15:24:02"
"3331","581","73","2008-08-28 00:25:47"
"3397","2363","884","2008-08-28 12:49:13"
"3528","1622","390","2008-08-28 23:36:12"
"3797","17639","2138","2008-08-30 21:52:47"
"3856","3865","259","2008-08-31 12:18:42"
"4273","6140","699","2008-09-02 15:47:30"
"4276","7576","756","2008-09-02 16:01:16"
"4540","10758","770","2008-09-04 17:35:05"
"4886","3609","385","2008-09-06 10:50:04"
"4893","56916","1618","2008-09-06 12:55:06"
"4906","10804","1298","2008-09-06 14:21:25"
"4913","13079","592","2008-09-06 15:10:57"
"5146","369","60","2008-09-08 07:15:16"
"5321","6293","1110","2008-09-09 05:40:33"
"5380","160790","18290","2008-09-09 11:49:46"
"5471","6256","277","2008-09-09 21:13:23"
"5722","1074","109","2008-09-11 04:36:11"
"5815","209","134","2008-09-11 13:10:28"
"6161","23072","813","2008-09-12 17:53:07"
"6260","21517","1855","2008-09-13 11:43:24"
"6345","22816","2014","2008-09-14 14:40:17"
"6531","1422","215","2008-09-15 12:06:47"
"6540","11038","998","2008-09-15 12:12:24"
"6701","1314","232","2008-09-15 12:30:29"
"6822","4370","607","2008-09-15 12:41:09"
"6833","9666","556","2008-09-15 12:41:43"
"7021","25696","1492","2008-09-15 13:01:34"
"7106","992","132","2008-09-15 13:10:41"
"7292","1461","223","2008-09-15 13:28:39"
"7298","11690","432","2008-09-15 13:29:17"
"7301","7849","390","2008-09-15 13:29:50"
"7495","6456","1263","2008-09-15 13:51:38"
"7556","320","100","2008-09-15 13:57:47"
"7634","4735","1179","2008-09-15 14:06:07"
"7816","9458","483","2008-09-15 14:28:14"
"7829","8637","438","2008-09-15 14:30:22"
"7867","13451","2749","2008-09-15 14:34:34"
"7979","12967","865","2008-09-15 14:49:25"
"8123","57641","3825","2008-09-15 15:13:32"
"8220","20150","1302","2008-09-15 15:27:27"
"8435","92480","3824","2008-09-15 16:01:38"
"8611","10228","1113","2008-09-15 16:27:11"
"8724","2975","373","2008-09-15 16:41:45"
"9290","378","51","2008-09-15 18:18:26"
"9406","2056","277","2008-09-15 18:43:26"
"9539","8899","776","2008-09-15 19:06:08"
"9702","16890","2520","2008-09-15 19:42:26"
"10026","13749","971","2008-09-15 20:53:19"
"10157","6146","405","2008-09-15 21:28:57"
"10186","638","92","2008-09-15 21:36:49"
"10693","7703","223","2008-09-16 01:03:35"
"10696","7591","278","2008-09-16 01:06:21"
"11256","31193","2363","2008-09-16 06:37:37"
"11438","10421","332","2008-09-16 07:58:12"
"11850","1185","63","2008-09-16 11:46:20"
"11926","54315","2571","2008-09-16 12:22:52"
"11995","38146","5570","2008-09-16 12:47:26"
"12002","953","102","2008-09-16 12:48:58"
"12082","6753","453","2008-09-16 13:09:05"
"12405","3470","573","2008-09-16 14:16:24"
"12529","1333","78","2008-09-16 14:40:00"
"12553","746","71","2008-09-16 14:44:27"
"12747","632","122","2008-09-16 15:31:41"
"12756","43","50","2008-09-16 15:36:15"
"13018","68314","11890","2008-09-16 16:40:38"
"13100","9465","982","2008-09-16 17:04:32"
"13116","1703","188","2008-09-16 17:09:07"
