owneruserid,reputation,userviews,creationdate
"26","17939","3669","2008-08-01 12:18:14"
"59","5767","293","2008-08-01 14:02:13"
"64","9552","927","2008-08-01 14:27:12"
"113","2282","329","2008-08-02 05:39:54"
"116","253978","21453","2008-08-02 05:51:57"
"181","3174","326","2008-08-03 03:43:40"
"227","13248","755","2008-08-03 17:53:19"
"245","23047","5371","2008-08-04 00:38:47"
"273","80","82","2008-08-04 10:36:45"
"343","40810","1560","2008-08-04 20:13:06"
"356","47058","3503","2008-08-05 01:13:09"
"432","25492","2530","2008-08-05 17:18:46"
"445","22478","917","2008-08-05 19:37:25"
"466","1470","201","2008-08-06 00:59:59"
"518","4563","600","2008-08-06 14:07:17"
"536","54037","4195","2008-08-06 15:30:22"
"580","31343","1072","2008-08-06 22:30:28"
"648","10089","854","2008-08-07 13:22:00"
"672","51927","4360","2008-08-07 16:18:07"
"698","17965","790","2008-08-07 23:31:56"
"700","12709","1109","2008-08-08 00:32:27"
"816","2033","171","2008-08-09 04:15:12"
"861","4717","883","2008-08-09 19:00:40"
"959","3616","280","2008-08-11 05:23:02"
"974","43556","1589","2008-08-11 09:02:40"
"984","2432","506","2008-08-11 12:12:31"
"996","4041","361","2008-08-11 12:29:14"
"1067","1092","136","2008-08-12 07:05:05"
"1154","4931","890","2008-08-12 23:39:07"
"1175","72593","5654","2008-08-13 10:21:54"
"1288","356255","162233","2008-08-14 12:14:17"
"1304","10959","584","2008-08-14 13:19:08"
"1344","20636","1612","2008-08-14 16:03:00"
"1354","34669","940","2008-08-14 17:42:32"
"1380","8935","615","2008-08-14 23:07:58"
"1409","32427","1198","2008-08-15 13:18:51"
"1486","4963","525","2008-08-15 20:42:23"
"1489","3152","223","2008-08-15 21:12:55"
"1600","17537","1323","2008-08-17 13:46:47"
"1612","6294","333","2008-08-17 14:52:15"
"1615","13530","879","2008-08-17 15:19:59"
"1622","1902","649","2008-08-17 16:06:03"
"1679","11104","413","2008-08-17 23:32:44"
"1683","7365","577","2008-08-18 00:30:32"
"1771","2442","100","2008-08-18 13:45:11"
"1858","1622","173","2008-08-18 22:50:18"
"1862","61774","3504","2008-08-18 23:53:20"
"1869","18450","3030","2008-08-19 00:37:02"
"1874","5032","595","2008-08-19 02:05:31"
"1898","62003","3086","2008-08-19 08:26:46"
"1959","12736","630","2008-08-19 15:39:58"
"2034","5681","483","2008-08-19 21:29:30"
"2138","69019","3297","2008-08-20 14:23:45"
"2172","64617","2078","2008-08-20 18:04:58"
"2312","3461","266","2008-08-21 15:19:59"
"2506","14603","652","2008-08-22 15:26:15"
"2592","12315","1187","2008-08-23 12:32:00"
"2628","21492","1133","2008-08-23 18:34:26"
"2656","8528","447","2008-08-24 02:05:05"
"2684","21765","5732","2008-08-24 14:38:27"
"2890","10100","707","2008-08-25 19:09:03"
"2984","1720","144","2008-08-26 10:16:45"
"3101","6575","656","2008-08-26 16:37:25"
"3150","5919","352","2008-08-27 01:43:38"
"3171","173976","8874","2008-08-27 06:27:02"
"3241","47766","1267","2008-08-27 14:23:16"
"3295","46521","3767","2008-08-27 17:52:45"
"3347","20285","1887","2008-08-28 03:11:14"
"3847","1964","997","2008-08-31 11:18:23"
"3885","7739","1027","2008-08-31 16:43:36"
"3916","71013","7912","2008-08-31 21:38:56"
"4035","30075","3905","2008-09-01 13:56:45"
"4037","4432","277","2008-09-01 13:58:54"
"4061","8060","643","2008-09-01 15:48:37"
"4120","110586","3655","2008-09-01 20:58:46"
"4231","5551","245","2008-09-02 13:21:16"
"4233","1630","272","2008-09-02 13:24:50"
"4239","7551","304","2008-09-02 13:46:59"
"4257","31269","1305","2008-09-02 14:39:35"
"4316","45321","795","2008-09-02 20:12:00"
"4321","46298","1226","2008-09-02 20:27:30"
"4490","33575","1168","2008-09-04 06:24:00"
"4525","35650","2593","2008-09-04 15:36:18"
"4539","728","112","2008-09-04 17:34:26"
"4544","2493","408","2008-09-04 17:42:09"
"4668","154329","16837","2008-09-05 04:08:05"
"4764","1510","249","2008-09-05 14:05:10"
"4841","2000","224","2008-09-05 22:14:12"
"4872","162350","6978","2008-09-06 09:14:55"
"4880","4164","494","2008-09-06 10:12:37"
"4883","290526","3948","2008-09-06 10:24:59"
"5114","5160","372","2008-09-08 00:02:38"
"5144","7396","766","2008-09-08 06:36:53"
"5169","6873","713","2008-09-08 10:18:38"
"5197","474","99","2008-09-08 12:42:51"
"5433","2408","157","2008-09-09 15:02:32"
"5509","1413","163","2008-09-10 05:08:20"
"5551","2781","239","2008-09-10 13:22:28"
"5609","1504","147","2008-09-10 14:43:11"
"5651","63993","2463","2008-09-10 16:13:26"
"5664","350","55","2008-09-10 18:23:46"
"5791","24087","1330","2008-09-11 11:41:05"
"5836","16084","907","2008-09-11 13:41:27"
"6151","2933","390","2008-09-12 16:58:53"
"6164","1954","915","2008-09-12 18:11:51"
"6850","2834","693","2008-09-15 12:43:07"
"6944","7442","699","2008-09-15 12:52:31"
"7018","2721","208","2008-09-15 13:00:52"
"7581","26553","1710","2008-09-15 14:00:21"
"7595","90808","5754","2008-09-15 14:01:51"
"7596","4981","159","2008-09-15 14:01:57"
"7617","4364","320","2008-09-15 14:04:30"
"8020","5039","273","2008-09-15 14:56:06"
"8047","62779","4824","2008-09-15 15:01:43"
"8061","2465","637","2008-09-15 15:04:40"
"8376","15463","640","2008-09-15 15:50:26"
"8683","19632","842","2008-09-15 16:35:46"
"8768","3539","743","2008-09-15 16:50:17"
"9106","4614","256","2008-09-15 17:44:26"
"9249","4421","960","2008-09-15 18:11:36"
"9296","7774","875","2008-09-15 18:19:56"
"9604","9657","1421","2008-09-15 19:19:07"
"9859","79544","3915","2008-09-15 20:13:55"
"9947","1861","169","2008-09-15 20:32:53"
"9950","10112","743","2008-09-15 20:33:58"
"9970","3232","390","2008-09-15 20:39:04"
"10116","7996","980","2008-09-15 21:17:16"
"10522","10782","2425","2008-09-15 23:42:06"
"10973","15033","1598","2008-09-16 03:36:05"
"11042","2714","75","2008-09-16 04:16:21"
"11063","2892","430","2008-09-16 04:28:20"
"11212","11214","370","2008-09-16 06:14:43"
"11234","10990","298","2008-09-16 06:27:05"
"11464","6904","726","2008-09-16 08:13:57"
"11618","4067","221","2008-09-16 09:32:12"
"11688","3535","753","2008-09-16 10:13:56"
"11708","39145","1556","2008-09-16 10:28:42"
"11827","5694","1332","2008-09-16 11:36:33"
"11916","1141","153","2008-09-16 12:16:26"
"12085","4383","401","2008-09-16 13:09:42"
"12744","42156","3244","2008-09-16 15:31:30"
"12958","10476","1533","2008-09-16 16:24:04"
"13227","43880","2420","2008-09-16 17:43:51"
"13295","20907","6944","2008-09-16 18:07:53"
"13405","930","106","2008-09-16 18:49:48"
"13897","903","100","2008-09-16 21:14:00"
"13986","14779","1665","2008-09-16 21:37:02"
"14026","1980","956","2008-09-16 21:44:46"
"14027","4521","367","2008-09-16 21:45:15"
"14069","127171","3207","2008-09-16 21:52:24"
"14101","26906","899","2008-09-16 21:59:19"
"14167","20238","2020","2008-09-16 22:19:19"
"14396","454","52","2008-09-16 23:42:38"
"14648","37126","3806","2008-09-17 01:45:09"
"14673","14212","2660","2008-09-17 01:55:17"
"14966","27952","1071","2008-09-17 04:29:11"
"15004","10809","573","2008-09-17 04:58:39"
"15141","565","161","2008-09-17 06:31:36"
"15161","6583","1059","2008-09-17 06:42:07"
"15355","11043","486","2008-09-17 08:36:39"
"15360","5925","376","2008-09-17 08:41:04"
"15369","31654","2619","2008-09-17 08:43:27"
"15395","1111","198","2008-09-17 08:56:37"
"15816","5298","202","2008-09-17 12:58:45"
"15852","10320","1307","2008-09-17 13:11:19"
"15947","9943","1277","2008-09-17 13:40:35"
"16003","51","43","2008-09-17 14:00:29"
"16143","13753","988","2008-09-17 15:01:21"
"16185","13221","682","2008-09-17 15:15:35"
"16204","11224","1091","2008-09-17 15:22:39"
"16454","3557","595","2008-09-17 17:24:03"
"16460","6530","765","2008-09-17 17:26:24"
"16475","174","44","2008-09-17 17:30:33"
"16485","2092","428","2008-09-17 17:35:56"
"16519","1674","69","2008-09-17 17:54:09"
"16584","12174","396","2008-09-17 18:42:46"
"16668","9319","1048","2008-09-17 19:35:07"
"16685","1940","282","2008-09-17 19:44:50"
"16786","1487","224","2008-09-17 20:42:42"
"16838","2196","373","2008-09-17 21:19:54"
"16909","4515","432","2008-09-17 22:14:57"
"17152","2806","191","2008-09-18 03:15:53"
"17172","147614","4614","2008-09-18 03:41:31"
"17328","6483","608","2008-09-18 06:49:26"
"17360","15519","1674","2008-09-18 07:35:48"
"17492","1042","210","2008-09-18 10:06:15"
"17713","11882","1041","2008-09-18 14:03:40"
"18023","427","185","2008-09-18 17:48:00"
"18198","115","46","2008-09-18 20:11:20"
"18434","3725","381","2008-09-19 01:33:35"
"18484","4619","1003","2008-09-19 03:04:49"
"18615","9709","718","2008-09-19 07:30:12"
"18657","809","206","2008-09-19 08:47:58"
"18706","35525","2368","2008-09-19 10:01:06"
"18811","13500","1337","2008-09-19 12:52:18"
"18831","2614","219","2008-09-19 13:19:41"
"18941","31634","5143","2008-09-19 15:08:30"
"19207","5635","214","2008-09-19 19:15:16"
"19708","453","80","2008-09-20 17:21:28"
"19746","85903","10298","2008-09-20 19:31:13"
"19789","494","18","2008-09-20 22:34:46"
"19998","1909","312","2008-09-21 16:45:17"
"20037","1652","169","2008-09-21 19:22:27"
"20089","24037","1375","2008-09-21 21:36:55"
"20208","1109","150","2008-09-22 05:14:09"
"20409","8256","512","2008-09-22 12:44:19"
"20417","7485","360","2008-09-22 13:00:21"
"20479","30681","750","2008-09-22 14:29:31"
"20654","179153","15607","2008-09-22 18:43:12"
"20774","43499","5137","2008-09-22 22:01:32"
"20875","1230","211","2008-09-23 03:06:41"
"21011","2023","210","2008-09-23 09:56:06"
"21200","2723","372","2008-09-23 15:52:15"
"21410","2751","371","2008-09-23 22:14:10"
"21709","117035","3749","2008-09-24 14:52:25"
"21816","652","229","2008-09-24 18:42:51"
"21832","1051","155","2008-09-24 19:02:33"
"21966","22842","955","2008-09-25 01:55:29"
"22033","8600","685","2008-09-25 07:47:12"
"22162","13076","794","2008-09-25 13:28:13"
"22227","8583","780","2008-09-25 15:40:21"
"22627","61","10","2008-09-26 10:38:27"
"22927","42319","2276","2008-09-27 04:40:32"
"22996","62325","4436","2008-09-27 15:12:31"
"23109","6842","441","2008-09-28 01:15:01"
"23402","819","107","2008-09-29 10:38:37"
"23458","4360","462","2008-09-29 14:16:16"
"23465","642","96","2008-09-29 14:37:49"
"23911","83","10","2008-09-30 20:07:27"
"24028","5719","497","2008-10-01 05:59:53"
"24039","65920","2179","2008-10-01 07:42:25"
"24279","9446","421","2008-10-01 19:29:48"
"24522","3040","265","2008-10-02 14:54:09"
"24727","513","49","2008-10-03 03:21:55"
"24793","1346","135","2008-10-03 11:33:12"
"24874","250834","11721","2008-10-03 15:02:28"
"24975","12956","1591","2008-10-03 20:02:48"
