id,acceptedanswerid,answer_date
"7551","7618","2008-08-11 08:45:13"
"14656","14681","2008-08-18 14:24:39"
"18448","18484","2008-08-20 18:15:46"
"19721","19736","2008-08-21 12:33:33"
"29677","29692","2008-08-27 07:55:52"
"33086","33100","2008-08-28 18:58:09"
"33288","33295","2008-08-28 20:14:55"
"33529","33541","2008-08-28 22:19:38"
"33829","33838","2008-08-29 02:18:20"
"36877","36885","2008-08-31 14:38:41"
"47526","47543","2008-09-06 15:13:24"
"49663","49679","2008-09-08 13:15:14"
"50037","50081","2008-09-08 16:22:02"
"55643","55647","2008-09-11 01:35:45"
"60174","60496","2008-09-13 12:30:26"
"71077","71099","2008-09-16 10:40:07"
"98768","98786","2008-09-19 01:52:13"
"112396","112409","2008-09-21 22:42:09"
"118599","118613","2008-09-23 01:22:56"
"120131","120146","2008-09-23 09:58:51"
"134148","134164","2008-09-25 15:54:12"
"142573","142592","2008-09-27 00:20:35"
"143692","143700","2008-09-27 14:27:11"
"147747","147759","2008-09-29 06:57:52"
"156563","158238","2008-10-01 15:31:50"
"163900","165154","2008-10-03 00:06:05"
"166023","166891","2008-10-03 13:36:57"
"168303","168341","2008-10-03 18:53:28"
"172951","172971","2008-10-06 01:25:08"
"170689","182722","2008-10-08 13:24:21"
"184028","184189","2008-10-08 18:33:12"
"188043","188112","2008-10-09 16:40:08"
"189925","189961","2008-10-10 02:46:13"
"189623","197916","2008-10-13 15:08:36"
"199459","199519","2008-10-14 00:09:23"
"199613","199694","2008-10-14 01:17:03"
"84847","201277","2008-10-14 14:03:13"
"195454","215100","2008-10-18 14:26:12"
"224453","224524","2008-10-22 04:56:13"
"224541","224546","2008-10-22 05:18:20"
"225496","228254","2008-10-23 01:53:02"
"229571","229737","2008-10-23 13:35:32"
"230845","230986","2008-10-23 18:58:34"
"234589","234735","2008-10-24 18:23:05"
"238404","238454","2008-10-26 19:00:45"
"238728","238769","2008-10-26 23:09:34"
"242749","243145","2008-10-28 12:48:11"
"244903","244919","2008-10-28 21:25:16"
"245569","245586","2008-10-29 02:11:45"
"254610","254711","2008-10-31 19:47:32"
"256899","256911","2008-11-02 14:21:03"
"264702","264739","2008-11-05 10:03:08"
"266188","266984","2008-11-05 22:31:35"
"268682","268731","2008-11-06 13:43:25"
"274274","274282","2008-11-08 03:08:03"
"279682","279703","2008-11-11 00:51:34"
"211169","285377","2008-11-12 21:03:22"
"295163","295396","2008-11-17 11:50:39"
"295538","295703","2008-11-17 14:39:18"
"295345","297792","2008-11-18 03:42:05"
"311243","312001","2008-11-23 01:46:00"
"317967","317992","2008-11-25 16:30:58"
"325323","326323","2008-11-28 17:55:54"
"328023","328028","2008-11-29 21:22:05"
"332284","332317","2008-12-01 21:30:52"
"332794","332931","2008-12-02 03:16:26"
"332697","333064","2008-12-02 04:36:00"
"338579","338588","2008-12-03 20:32:27"
"339004","339075","2008-12-03 23:09:07"
"345217","349761","2008-12-08 14:49:22"
"348128","350297","2008-12-08 17:52:45"
"351873","352263","2008-12-09 09:52:52"
"360694","360717","2008-12-11 20:08:49"
"362461","362594","2008-12-12 12:16:44"
"354644","368740","2008-12-15 15:40:14"
"369248","369477","2008-12-15 19:40:04"
"372465","372482","2008-12-16 19:54:29"
"318781","374357","2008-12-17 12:07:46"
"379387","379455","2008-12-18 21:58:02"
"382383","382468","2008-12-19 22:49:28"
"388800","388858","2008-12-23 13:21:11"
"391066","391148","2008-12-24 10:01:54"
"394836","394958","2008-12-27 12:37:25"
"395592","395843","2008-12-28 04:48:43"
"397612","397615","2008-12-29 12:10:50"
"398463","398493","2008-12-29 19:50:50"
"410085","410135","2009-01-04 00:10:30"
"421893","422147","2009-01-07 21:21:38"
"424373","424714","2009-01-08 15:41:30"
"428478","428519","2009-01-09 15:36:56"
"429005","429072","2009-01-09 18:04:17"
"438508","438805","2009-01-13 12:35:14"
"440762","440874","2009-01-13 21:33:00"
"446986","447061","2009-01-15 15:00:42"
"451167","451209","2009-01-16 17:07:42"
"451601","452340","2009-01-16 22:54:42"
"452415","452465","2009-01-16 23:53:39"
"451583","453461","2009-01-17 15:38:12"
"450089","453735","2009-01-17 18:06:12"
"454391","454402","2009-01-18 00:43:06"
"461137","461153","2009-01-20 12:47:16"
"467885","467919","2009-01-22 03:03:46"
"471732","471766","2009-01-23 03:16:28"
"472724","474532","2009-01-23 21:07:26"
"474785","474793","2009-01-23 22:03:08"
"476821","476837","2009-01-24 22:58:35"
"482213","482222","2009-01-27 03:13:43"
"484261","484283","2009-01-27 17:11:35"
"486000","486243","2009-01-28 02:12:02"
"487889","487915","2009-01-28 14:58:52"
"504272","504424","2009-02-02 18:59:19"
"509306","509473","2009-02-03 23:31:49"
"509519","509528","2009-02-03 23:56:27"
"509449","509633","2009-02-04 00:35:25"
"514303","514547","2009-02-05 04:15:53"
"518313","518399","2009-02-05 23:03:08"
"490627","534878","2009-02-11 00:04:10"
"544595","544616","2009-02-13 03:37:05"
"546788","546853","2009-02-13 17:27:06"
"390944","554927","2009-02-16 22:57:11"
"556670","557046","2009-02-17 14:27:26"
"569327","569333","2009-02-20 11:57:36"
"573878","573897","2009-02-21 23:16:49"
"570042","574500","2009-02-22 07:03:01"
