id,view_count
"2447","549"
"7551","309180"
"14656","22428"
"18448","11010"
"19721","627"
"29677","610"
"33086","2268"
"33288","1447"
"33412","168427"
"33529","101419"
"33829","246"
"36877","111233"
"47526","7361"
"49211","3571"
"49663","577"
"50037","541"
"50684","1958"
"55643","10007"
"59204","938"
"60174","1779766"
"71077","4062"
"84847","162167"
"93100","7375"
"98768","74976"
"103184","8471"
"110458","1967"
"112396","425611"
"118599","3692"
"120131","1456"
"130264","1406"
"134099","212263"
"134148","1662"
"142573","1753"
"143692","579"
"147747","570"
"156563","9400"
"163900","646"
"166023","913"
"168303","4155"
"169951","467"
"170689","7340"
"172951","616"
"173567","192"
"180239","1299"
"184028","965"
"184112","66212"
"188043","1169"
"189623","19510"
"189925","8353"
"195454","7013"
"198625","5079"
"199459","2652"
"199613","932"
"211169","8995"
"212763","12044"
"224453","19102"
"224541","1193"
"225496","2729"
"229571","535"
"230845","13137"
"232231","4960"
"233240","460"
"234589","295"
"238404","1477"
"238728","6524"
"242118","1151"
"242749","4399"
"244903","14268"
"245569","8606"
"253002","262"
"254610","264"
"256899","605"
"264702","535"
"266188","2719"
"268682","4123"
"274274","33523"
"279682","778"
"284538","101703"
"287597","3230"
"295163","2322"
"295345","5266"
"295538","278941"
"311243","5892"
"317967","3314"
"318781","839"
"325323","4279"
"328023","2409"
"332284","192"
"332697","781"
"332794","232"
"338579","1445"
"340272","1403"
"345217","3374"
"348128","87"
"351873","2636"
"354644","2126"
"358449","2738"
"360694","7303"
"362461","5332"
"367530","2812"
"368792","420"
"369248","7035"
"372465","268"
"379387","630"
"382383","3732"
"388800","119526"
"390944","864"
"391066","7059"
"394836","655"
"395592","68800"
"397612","8465"
"398463","520"
"410085","9270"
"421553","6417"
"421893","1588"
"424373","501"
"428478","5516"
"429005","8716"
"429006","532"
"431013","29587"
"438508","213"
"440200","2429"
"440568","6935"
"440762","7656"
"446986","5710"
"450089","1584"
"451167","1133"
"451583","8759"
"451601","423"
"452415","9611"
"454391","1755"
"461137","143"
"467885","208"
"469267","628"
"471732","730"
"472724","512"
"474785","505"
"476821","2478"
"482213","1152"
"484261","1055"
"486000","553"
"487889","2712"
"488310","1684"
"490627","18674"
"504272","7374"
"509306","631"
"509449","2314"
"509519","86"
"514303","462"
"518313","4495"
"521912","1603"
"538894","2900"
"541620","495"
"544595","159"
"546788","890"
"556670","7483"
"559223","295"
"567300","535"
"569327","193"
"570042","12724"
"573878","1681"
"577507","2393"
"582684","512"
"583280","2814"
"593092","1404"
"600868","19979"
"608111","1303"
"612121","2881"
"623536","545"
"623788","621"
"623955","358"
"624425","11095"
"624898","1250"
"630247","1065"
"630787","3703"
"640838","16393"
"646224","4765"
"650101","1921"
"651291","5743"
"651590","1030"
"652275","460"
"654688","3620"
"658771","184"
"659384","1781"
"667177","12977"
"679270","137"
"681385","316"
"681583","43718"
"683865","1737"
"692767","189"
"693288","26198"
"700514","156"
"704275","488"
"707503","224"
"709085","58166"
"722973","2922"
"734611","1204"
"741653","7733"
"743058","1300"
"746377","799"
"747096","6627"
"749631","2295"
"754096","3372"
"754205","139"
"756133","348"
"759149","288"
"762029","352"
"767276","15446"
"767408","6230"
"768677","2498"
"772596","5052"
"784608","12649"
"786656","496"
"787683","2375"
"788569","14295"
"791551","1459"
"791737","181"
"793964","1984"
"795867","116"
"797275","782"
"797445","872"
"797626","3725"
"801737","1102"
"805153","606"
"806169","4702"
"808536","2497"
"809137","4247"
"812639","965"
"818704","111038"
"821815","2587"
"826981","4275"
"828400","586"
"829375","18595"
"831968","1249"
"834918","13842"
"839213","5889"
"841130","274"
"843900","1368"
"847240","1299"
"858149","863"
"861255","643"
"864331","4154"
"869072","6115"
"872386","309"
"872570","1369"
"872877","426"
"882512","2461"
"890492","1283"
"890603","278"
"891227","247"
"892193","4042"
"897405","974"
"899190","671"
"900610","1574"
"901369","12965"
"902438","1709"
"906091","785"
"910006","308"
"912419","446"
"915178","266"
"916770","5697"
"917500","7562"
"920751","2382"
"921943","508"
"922892","2003"
"926172","25951"
"927816","1049"
"929351","6476"
"929714","228"
"934990","1888"
"940529","916"
"941656","2943"
"945703","250"
"951334","481"
"956894","469"
"957388","25478"
"967593","166"
"967773","41631"
"968666","540"
"970262","8006"
"970612","4302"
"975329","2219"
"981188","235"
"981828","489"
"982027","5201"
"990958","266"
"991703","2249"
"992282","897"
"1001810","274"
"1005256","129"
"1008539","5316"
"1012724","40668"
"1017659","195"
"1018284","256"
"1025720","256"
"1030905","234"
"1031588","1227"
"1033296","2554"
"1036704","377"
"1039200","1350"
"1040353","5809"
"1044121","87"
"1048726","1982"
"1049159","1320"
"1049238","409"
"1050524","525"
"1054394","4115"
"1069008","890"
"1071263","978"
"1075258","1395"
"1077413","140"
"1078156","36447"
"1079077","3192"
"1088144","2974"
"1090392","91"
"1093181","6787"
"1093817","740"
"1094693","1198"
"1098754","2329"
"1099391","7489"
"1104565","3472"
"1107007","895"
"1109675","94"
"1111494","3663"
"1113292","1469"
"1118932","1500"
"1123690","872"
"1128368","2904"
"1137874","26017"
"1147985","485"
"1149118","4843"
"1149137","189"
"1152555","28849"
"1153216","853"
"1154628","130"
"1161294","243"
"1163074","229"
"1165040","14710"
"1167777","2692"
"1177337","9024"
"1178874","1122"
"1191112","19655"
"1192835","168"
"1193761","362"
"1195290","1129"
"1199761","2704"
"1210824","86"
"1211333","2417"
"1213246","2735"
"1216428","4223"
"1216593","114"
"1216755","6587"
"1217302","2110"
"1217926","6271"
"1219955","3027"
