id,ParentId,owneruserid,score
"5080","5078","673","0"
"5090","5078","547","1"
"5092","5078","676","0"
"5108","5078","50","5"
"5110","5078","59","1"
"5149","5078","86","1"
"5316","5078","204","1"
"8474","8472","1","4"
"8476","8451","116","2"
"8478","8472","157","26"
"8481","8472","1061","15"
"8482","8451","342","5"
"8484","8472","832","42"
"8486","8451","872","20"
"8489","8472","493","37"
"8490","8451","872","1"
"8514","8472","1061","1"
"8530","8451","13","-1"
"8540","8451","872","-1"
"8543","8472","571","3"
"8544","8451","872","-1"
"8548","8472","872","1"
"8554","8472","872","1"
"8556","8472","713","2"
"8565","8472","341","1"
"8600","8451","342","-1"
"8637","8472","383","205"
"9195","5078","1063","2"
"9218","5078","1135","5"
"10104","8472","439","12"
"10995","8472","1304","1"
"12469","8472","5","2"
"12490","8472","245","2"
"12527","8472","432","27"
"12610","8472","795","1"
"12695","8472","1398","1"
"12726","8472","363","-3"
"12845","5078","1347","1"
"12856","5078","1500","2"
"16757","8472","744","2"
"17683","17670","611","3"
"17699","17670","379","0"
"17720","17670","893","1"
"17750","17670","379","0"
"18344","18290","1190","12"
"19585","8472","3180","57"
"19705","8472","497","9"
"21963","8472","115","1"
"22755","8472","2363","10"
"24676","5078","2506","2"
"26703","8472","1874","5"
"26722","8472","1902010","211"
"26724","8472","1921","2"
"26737","8472","2025","5"
"27194","8451","257","5"
"29349","29346","392","0"
"29352","29346","1117","0"
"29354","29346","1293","3"
"29493","8472","257","30"
"29522","8472","1366","2"
"29548","8472","3166","6"
"32417","32412","2131","5"
"32422","32412","740","0"
"32456","32412","3043","1"
"32973","32964","572","4"
"32976","32964","2527","15"
"32978","32964","2114","3"
"32985","32964","2547","1"
"32987","32964","648","2"
"32988","32964","3394","2"
"32992","32964","572","0"
"32998","32964","2697","1"
"33000","32964","3022","1"
"33005","32964","2600","1"
"33012","32964","672","0"
"33016","32964","572","0"
"33120","33104","238","3"
"33123","33104","1975282","5"
"33340","8472","3407","2"
"33354","8472","2535","1"
"33444","33104","1456","0"
"33526","8472","2029","2"
"33593","33104","1842864","0"
"34177","30800","2562","1"
"34881","8472","2108","1"
"36384","30800","3546","3"
"38708","8451","954","7"
"38884","38875","2859","4"
"38885","38875","658","5"
"38886","38875","813","40"
"39035","38875","999","14"
"39128","38875","2169","3"
"39148","38875","1820","5"
"39164","38875","1820","1"
"40458","38875","1902010","0"
"40647","8472","2621","1"
"40677","8472","3043","2"
"40686","8472","3485","2"
"42838","42833","2148","17"
"42841","42833","1196","1"
"42842","42833","372","5"
"42862","42833","2985","1"
"42872","42833","4394","1"
"49124","8472","2653","17"
"50775","50769","422","5"
"50777","50769","2600","0"
"50783","50769","1790","1"
"50785","50769","5287","0"
"50797","50769","4913","0"
"50802","50769","3446","1"
"50907","50769","1175","2"
"50949","50769","2131","2"
"50958","50769","2391","1"
"50967","50769","1799","0"
"50969","50769","2915","3"
"50972","50769","3408","0"
"50974","50769","3408","0"
"50978","50769","3408","3"
"50988","50769","1000","14"
"51000","50769","744","0"
"51287","51283","2975","20"
"51291","51283","968","0"
"52257","52256","2257","1"
"52265","52256","3501","2"
"52267","52256","3631","2"
"52339","8472","4906","1"
"52436","8472","4666","5"
"52475","8472","2991","1"
"52518","8472","4376","1"
"52529","8472","3347","2"
"52654","52646","1790","2"
"52768","52646","302","14"
"54137","54096","3909","11"
"54906","54889","","4"
"54907","54889","2757","6"
"54921","54889","372","4"
"54994","54991","5640","20"
"54997","54991","3263","115"
"55023","54991","1200","6"
"55028","54991","1117","1"
"55224","55218","1444","0"
"55226","55218","2257","0"
"55227","55218","338","0"
"55233","55218","305","0"
"55241","55218","673","-1"
"55245","55218","3002","0"
"55247","55218","4926","1"
"55249","55218","5056","0"
"55298","55218","4913","0"
"55318","55296","4337","1"
"55324","55218","255","19"
"55389","55296","3909","12"
"55447","54991","5409","574"
"57423","55296","5674","-3"
"57672","55218","5961","0"
"60071","59926","5235","0"
"60104","59926","5745","3"
"60374","59926","5642","1"
"64079","64059","2257","3"
"64081","64059","1975282","0"
"64086","64059","4926","0"
"64091","64059","115","0"
"64093","64059","7548","0"
"64173","64059","6414","0"
"64196","64059","8421","0"
"64234","64208","2257","0"
"64300","64059","8427","1"
"64322","64059","8427","1"
"65026","52646","9096","0"
"65307","64059","3221","0"
"67248","64208","10082","0"
"67252","64208","9551","12"
"71370","64208","4550","0"
"72028","64208","4230","8"
"72371","72304","1870","0"
"72722","72304","12092","1"
"73220","72304","4893","0"
"73242","50769","12597","-1"
"74359","8472","","4"
"74569","8472","","16"
"75371","72304","13229","1"
"78642","78599","4203","1"
"78688","78599","115","0"
"78710","78599","12089","1"
"80365","8472","10080","28"
"86101","86090","4913","2"
"86109","86090","","3"
"86114","86090","14253","2"
"86198","86090","8427","13"
"86231","86090","2354","9"
"86518","86090","9654","2"
"86527","86513","1942","37"
"86530","86513","15901","16"
"86535","86513","305","20"
"86542","86513","1450","5"
"86555","86513","2214","2"
"86580","86513","5628","390"
"86613","86513","2831","2"
"86616","86513","6610","27"
"86645","86513","8559","12"
"86694","86513","11577","21"
"86783","86513","9618","6"
"87074","86513","16709","4"
"87099","86513","13724","5"
"87260","86513","18936","347"
"87409","87371","12624","1"
"87809","86513","14026","13"
"88338","88311","10906","0"
"88341","88311","15614","979"
"88347","88311","13757","-11"
"88371","88311","4615","-1"
"88422","88311","","11"
"88467","64059","15555","13"
"88470","88311","16944","1"
"88726","50769","16970","0"
"89042","88311","15245","2"
"89514","88311","6349","3"
"90420","90413","4869","10"
"90438","90413","","7"
"90455","90413","6043","4"
"90843","78599","10947","0"
"90959","90413","15625","6"
"91680","90413","15109","0"
"92547","92456","4223","0"
"92926","92456","16724","1"
"93140","92456","1432","1"
"97469","96945","16206","2"
"100713","96945","16724","1"
"102493","102425","18308","1"
"102545","102425","12754","3"
"102746","102425","6770","0"
"102827","102425","2598","2"
"102920","102425","3171","0"
"102936","102425","2443","0"
"103228","103177","1278","1"
"104631","104592","2688","1"
"104632","104592","17121","3"
"104639","104592","18893","3"
"104643","104592","1220","2"
"104646","104592","2600","19"
"104648","104592","13744","1"
"104663","104592","13676","2"
"104667","104592","14092","2"
"104696","104592","18914","4"
"104751","104592","2635","1"
"104863","104592","12479","5"
"104871","104592","1921","5"
"104894","104592","4281","3"
"104915","104592","15614","9"
"105497","87371","16398","0"
"107330","64059","8454","0"
"109228","104592","10080","17"
"109999","109997","10157","3"
"110004","109997","10853","6"
"110009","109997","7819","0"
"110012","109997","4977","15"
"110023","109997","14680","1"
"110033","109997","6276","4"
"110035","109997","4007","28"
"110044","109997","2915","74"
"110049","109997","16855","2"
"110056","109997","30","22"
"110063","109997","2387","3"
"110146","110123","14637","1"
"110196","109997","9780","9"
"110201","109997","18210","24"
"110219","109997","2274","3"
"110233","110123","3055","3"
"110260","110123","12887","0"
"110373","110123","10080","0"
"111274","111248","7028","8"
"111313","111248","17232","3"
"111317","111248","2961","3"
"111323","111248","7598","2"
"111333","109997","14889","0"
"111346","111248","8090","2"
"111367","109997","19974","15"
"111427","109997","20003","2"
"111684","111248","10080","2"
"112356","109997","4777","1"
"112374","109997","15464","1"
"113291","96945","6329","0"
"115900","109997","7946","0"
"116695","116684","9853","-2"
"116699","116684","3937","16"
"116705","116684","7883","2"
"116707","116684","9530","6"
"116721","116684","16050","0"
"116739","116684","17832","43"
"116753","116684","332","6"
"116767","116684","905","5"
"116860","116684","19998","8"
"118613","118599","4977","8"
"118628","118599","4615","3"
"119973","111248","7211","0"
"120020","111248","15259","0"
"120034","111248","15259","1"
"123034","116684","255","32"
"127658","127638","3333","2"
"127694","127638","2859","0"
"127738","127638","14897","-1"
"127835","127638","11181","0"
"128044","128028","21699","4"
"128078","128028","18413","1"
"128206","128028","10080","0"
"128703","128028","20394","8"
"128711","128028","19379","0"
"129713","129677","7548","79"
"129736","129677","2859","0"
"129760","129677","15099","22"
"129767","129677","8815","43"
"130323","129677","18180","1194"
"130534","129677","18077","54"
"135924","135600","9490","20"
"136078","136065","3153","1"
"136809","136798","1942","10"
"136811","136798","6521","1"
"136812","136798","4337","4"
"136817","136798","19113","0"
"136819","136798","4977","5"
"136821","136798","68336","1"
"136822","136798","22465","2"
"136824","136798","13776","1"
"136826","136798","11539","0"
"136828","136798","9842","1"
"136833","136798","1676","0"
"136845","136798","22431","0"
"136865","136798","7862","0"
"136869","136798","18148","1"
"136979","136798","4926","2"
"137041","136798","20186","1"
"137072","136798","3661","0"
"137421","137392","5190","3"
"137432","137392","18914","0"
"137457","137392","","0"
"137658","137392","5114","0"
"139271","136798","10080","1"
