id,acceptedanswerid,answer_date
"43199","47149","2008-09-06 01:09:43"
"78869","78889","2008-09-17 01:19:21"
"84680","86367","2008-09-17 18:54:15"
"93911","94318","2008-09-18 16:43:57"
"96945","113291","2008-09-22 05:21:41"
"126798","126981","2008-09-24 13:01:58"
"140113","140142","2008-09-26 15:14:45"
"143523","143544","2008-09-27 12:26:28"
"150167","150181","2008-09-29 19:12:01"
"161160","162776","2008-10-02 14:55:57"
"190376","190382","2008-10-10 07:14:19"
"221149","223506","2008-10-21 21:06:36"
"304268","304350","2008-11-20 04:46:08"
"308609","308677","2008-11-21 13:00:00"
"320355","325454","2008-11-28 10:35:44"
"325637","328464","2008-11-30 05:05:48"
"338578","338603","2008-12-03 20:36:56"
"339004","339075","2008-12-03 23:09:07"
"339531","339585","2008-12-04 04:16:40"
"340820","342610","2008-12-05 01:13:05"
"353010","354565","2008-12-09 23:01:23"
"363329","363379","2008-12-12 16:54:11"
"372268","373805","2008-12-17 06:33:17"
"376561","376562","2008-12-18 00:41:17"
"390150","394193","2008-12-26 19:51:44"
"411331","411362","2009-01-04 17:42:11"
"415953","415956","2009-01-06 09:47:52"
"430755","430761","2009-01-10 08:53:02"
"437375","443866","2009-01-14 17:12:52"
"480895","487979","2009-01-28 15:12:57"
"288289","492381","2009-01-29 16:32:52"
"496651","496707","2009-01-30 18:51:15"
"567482","567662","2009-02-19 23:05:01"
"568227","568300","2009-02-20 04:45:16"
"570450","570460","2009-02-20 17:17:29"
"561938","587838","2009-02-25 21:04:10"
"622732","622829","2009-03-08 00:56:12"
"683885","683902","2009-03-25 23:15:51"
"684081","685036","2009-03-26 09:20:57"
"705728","706230","2009-04-01 16:00:27"
"719747","719952","2009-04-06 00:34:41"
"723886","723899","2009-04-07 01:48:45"
"729195","752976","2009-04-15 18:05:39"
"785973","786588","2009-04-24 16:20:35"
"800172","800183","2009-04-28 22:54:56"
"810493","810499","2009-05-01 07:22:08"
"811590","811617","2009-05-01 14:34:39"
"812275","812322","2009-05-01 17:19:58"
"808988","814286","2009-05-02 06:29:32"
"770969","828390","2009-05-06 07:12:47"
"841446","841475","2009-05-08 19:42:07"
"846957","847024","2009-05-11 07:05:10"
"848734","848765","2009-05-11 15:54:53"
"839051","851105","2009-05-12 04:16:24"
"853332","853423","2009-05-12 15:39:21"
"859111","859271","2009-05-13 17:22:48"
"373518","859817","2009-05-13 19:08:45"
"875467","882479","2009-05-19 12:34:10"
"867751","885511","2009-05-19 23:18:43"
"885005","886490","2009-05-20 06:53:12"
"889406","889545","2009-05-20 18:41:51"
"890935","891042","2009-05-21 01:36:37"
"904346","904365","2009-05-24 18:21:37"
"906402","907515","2009-05-25 17:42:02"
"908748","909249","2009-05-26 06:51:49"
"934474","934545","2009-06-01 12:02:04"
"924968","942708","2009-06-03 01:29:08"
"950885","951288","2009-06-04 15:29:48"
"951477","951782","2009-06-04 16:51:40"
"955624","955677","2009-06-05 12:54:41"
"920809","961422","2009-06-07 07:38:19"
"967194","967201","2009-06-08 21:49:48"
"968565","968612","2009-06-09 07:14:08"
"975054","975072","2009-06-10 11:38:08"
"977321","977904","2009-06-10 20:16:24"
"309202","993041","2009-06-14 15:37:55"
"995514","997495","2009-06-15 18:07:59"
"842222","1003184","2009-06-16 18:30:18"
"1010356","1010515","2009-06-18 02:43:23"
"1012363","1012381","2009-06-18 12:31:27"
"1013720","1014057","2009-06-18 17:29:35"
"1019837","1019955","2009-06-19 20:43:08"
"473566","1023356","2009-06-21 07:13:49"
"1031558","1031608","2009-06-23 09:49:03"
"1037009","1037289","2009-06-24 09:20:32"
"1037590","1037713","2009-06-24 11:11:34"
"1051953","1052018","2009-06-27 02:51:17"
"1057041","1057051","2009-06-29 07:51:18"
"1068271","1068766","2009-07-01 12:01:14"
"1075128","1075502","2009-07-02 16:51:49"
"1105913","1106756","2009-07-09 22:23:46"
"1139447","1160167","2009-07-21 16:05:24"
"1175352","1183516","2009-07-26 01:40:07"
"361231","1189250","2009-07-27 16:39:14"
"1200091","1204053","2009-07-30 01:41:24"
"1202535","1204092","2009-07-30 02:01:53"
"1205135","1211117","2009-07-31 07:17:26"
"1202910","1216902","2009-08-01 16:12:10"
"1216213","1217867","2009-08-02 00:34:07"
"1226083","1226156","2009-08-04 07:42:48"
"1234598","1235450","2009-08-05 20:05:12"
"1238628","1240259","2009-08-06 17:17:09"
"1258404","1258686","2009-08-11 06:18:07"
"1269359","1269390","2009-08-13 00:10:57"
"1269735","1269987","2009-08-13 04:09:41"
"1270703","1271148","2009-08-13 10:17:54"
"1284771","1285463","2009-08-16 22:11:22"
"1301297","1301434","2009-08-19 17:25:46"
"1303220","1304202","2009-08-20 05:53:04"
"1305243","1306701","2009-08-20 14:48:28"
"1374170","1374350","2009-09-03 16:02:29"
"1376674","1376691","2009-09-04 00:33:58"
"1384968","1385151","2009-09-06 07:49:23"
"1386978","1387001","2009-09-06 23:32:35"
"1391643","1396605","2009-09-08 22:10:31"
"1398556","1398581","2009-09-09 09:38:08"
"1315833","1399031","2009-09-09 11:11:46"
"1400023","1400173","2009-09-09 14:44:36"
"1401248","1401450","2009-09-09 18:58:01"
"1413184","1413322","2009-09-11 21:16:10"
"1418846","1419426","2009-09-14 02:11:46"
"1433336","1433460","2009-09-16 14:45:37"
"1440030","1440197","2009-09-17 17:22:48"
"1423520","1452305","2009-09-20 23:25:25"
"1455037","1455130","2009-09-21 15:31:42"
"1455856","1455967","2009-09-21 18:13:01"
"1473604","1473613","2009-09-24 19:11:39"
"1473997","1474105","2009-09-24 20:57:18"
"1454021","1475867","2009-09-25 07:18:40"
"1422977","1481966","2009-09-26 19:23:28"
"1492762","1492822","2009-09-29 14:14:19"
"545082","1495463","2009-09-29 23:31:16"
"1497297","1497401","2009-09-30 10:56:22"
"1497322","1497653","2009-09-30 11:49:21"
"1498108","1498126","2009-09-30 13:28:57"
"1502465","1503921","2009-10-01 13:21:16"
"1508314","1508588","2009-10-02 09:33:14"
"1511674","1512268","2009-10-02 23:22:01"
"545667","1523296","2009-10-06 02:11:31"
"1541585","1541628","2009-10-09 03:18:05"
"1552330","1552346","2009-10-12 01:50:04"
"1580012","1580055","2009-10-16 19:46:32"
"1581759","1581941","2009-10-17 10:47:57"
"1582537","1584739","2009-10-18 12:11:48"
"1582115","1585081","2009-10-18 14:56:36"
"1589216","1589675","2009-10-19 16:20:59"
"1589996","1590074","2009-10-19 17:42:06"
"1589164","1595243","2009-10-20 14:56:42"
"1599012","1612680","2009-10-23 10:53:00"
"1615871","1615983","2009-10-23 21:26:29"
"1623924","1624801","2009-10-26 13:30:22"
"1626549","1626616","2009-10-26 18:45:31"
"1612191","1627121","2009-10-26 20:21:50"
"1540007","1630282","2009-10-27 11:45:44"
"1644059","1644711","2009-10-29 15:53:19"
"1650596","1650620","2009-10-30 15:48:43"
"1647759","1656025","2009-11-01 00:28:45"
"1662769","1662887","2009-11-02 18:35:57"
"1665736","1667176","2009-11-03 12:55:15"
"1667215","1670099","2009-11-03 20:58:11"
"1572813","1680758","2009-11-05 13:58:34"
"1709441","1710112","2009-11-10 18:23:14"
"1666052","1710543","2009-11-10 19:27:27"
"1710423","1716755","2009-11-11 17:25:09"
"1722984","1723049","2009-11-12 15:29:15"
"1725863","1729907","2009-11-13 15:25:23"
"1734558","1734569","2009-11-14 15:31:44"
"1694466","1738709","2009-11-15 20:27:13"
"1754215","1754225","2009-11-18 07:32:55"
"1760785","1760868","2009-11-19 04:27:34"
"1761365","1761397","2009-11-19 06:59:06"
"1761482","1761523","2009-11-19 07:33:59"
"1762391","1764254","2009-11-19 15:48:25"
"848205","1769193","2009-11-20 09:00:39"
"1769015","1770350","2009-11-20 13:11:53"
"1785199","1785369","2009-11-23 19:21:34"
"1786325","1786428","2009-11-23 22:13:46"
"1798829","1798895","2009-11-25 18:11:44"
"1820995","1821148","2009-11-30 17:19:20"
"1826075","1826115","2009-12-01 13:12:05"
"1828775","1828840","2009-12-01 20:52:31"
"1819228","1831997","2009-12-02 10:25:57"
"1807432","1842014","2009-12-03 18:45:36"
"1850445","1850777","2009-12-05 01:34:49"
"1878052","1878222","2009-12-10 02:04:30"
"1880929","1880999","2009-12-10 13:33:55"
"1890542","1890561","2009-12-11 20:11:25"
"1896715","1896748","2009-12-13 14:55:07"
"1907111","1907526","2009-12-15 13:37:39"
"1912785","1912879","2009-12-16 07:12:15"
"1913244","1913971","2009-12-16 11:10:06"
"1915535","1916908","2009-12-16 19:06:11"
"1947608","1947733","2009-12-22 17:04:55"
"1955612","1955852","2009-12-23 23:10:47"
"1962823","1962981","2009-12-26 09:15:45"
"1593253","1963133","2009-12-26 11:02:52"
"1953995","1988323","2010-01-01 10:43:59"
"2018487","2018496","2010-01-07 05:54:17"
"2019199","2019392","2010-01-07 09:50:20"
"2023549","2023634","2010-01-07 21:00:21"
"949190","2033159","2010-01-09 11:19:06"
"2054687","2054774","2010-01-13 06:02:09"
"2055314","2058547","2010-01-13 16:52:35"
"2072241","2072341","2010-01-15 14:47:03"
"2059421","2081437","2010-01-17 15:27:28"
"2100433","2104815","2010-01-20 20:44:40"
"2122080","2122104","2010-01-23 04:24:46"
"2123975","2124104","2010-01-23 18:04:13"
"2133597","2133966","2010-01-25 16:57:01"
"2138574","2138670","2010-01-26 10:06:37"
"2139517","2139548","2010-01-26 13:17:01"
"2097214","2142076","2010-01-26 19:42:52"
"2150801","2157150","2010-01-28 19:05:20"
"2162830","2162956","2010-01-29 15:33:48"
"2181215","2181332","2010-02-02 01:22:42"
"2185951","2186072","2010-02-02 17:12:27"
"2186836","2186984","2010-02-02 19:27:36"
"2189010","2189024","2010-02-03 01:11:36"
"2200176","2200859","2010-02-04 15:28:28"
"2200785","2200863","2010-02-04 15:28:56"
"2200723","2200907","2010-02-04 15:35:29"
"2207402","2207482","2010-02-05 13:31:03"
"2090765","2212400","2010-02-06 07:26:49"
"2218618","2218710","2010-02-07 22:50:30"
"2221730","2221793","2010-02-08 13:17:28"
"2228441","2228596","2010-02-09 11:18:22"
"2230720","2230796","2010-02-09 16:48:39"
"2232581","2232610","2010-02-09 21:18:49"
"2234951","2235398","2010-02-10 08:40:45"
"2238135","2238153","2010-02-10 15:49:19"
"2238345","2238447","2010-02-10 16:26:41"
"2239716","2239891","2010-02-10 19:55:26"
"2255854","2255990","2010-02-13 00:29:50"
"2268703","2268933","2010-02-15 21:11:33"
"2270215","2273292","2010-02-16 13:49:55"
"2280375","2280425","2010-02-17 12:11:27"
"2285479","2285488","2010-02-18 00:27:22"
"2288683","2289196","2010-02-18 14:18:30"
"2290570","2293493","2010-02-19 01:23:17"
"2294628","2294790","2010-02-19 07:53:50"
"2295223","2295286","2010-02-19 09:45:58"
"2309074","2309251","2010-02-22 06:44:55"
"2308774","2313963","2010-02-22 20:34:40"
"2318465","2318763","2010-02-23 14:17:59"
"2327368","2327434","2010-02-24 16:02:55"
"2328757","2329375","2010-02-24 20:46:17"
"2343691","2357083","2010-03-01 16:00:51"
"2377402","2377581","2010-03-04 07:42:49"
"2391488","2391496","2010-03-06 05:51:00"
"2408564","2408607","2010-03-09 11:25:47"
"2403286","2413149","2010-03-09 22:38:54"
"2435850","2435910","2010-03-12 21:06:57"
"2419520","2439434","2010-03-13 18:16:16"
"2445686","2445990","2010-03-15 09:11:07"
"2442758","2446082","2010-03-15 09:29:38"
"2451588","2451589","2010-03-16 01:31:46"
"2463687","2464360","2010-03-17 17:19:04"
"2469197","2469728","2010-03-18 12:22:12"
"2400099","2491846","2010-03-22 11:40:03"
"2478770","2493525","2010-03-22 15:33:40"
"2498009","2498054","2010-03-23 06:44:55"
"2505742","2505764","2010-03-24 06:27:29"
"2535542","2535624","2010-03-29 03:18:33"
"2536896","2537563","2010-03-29 11:44:48"
"2130162","2541858","2010-03-29 23:08:51"
"2545058","2545332","2010-03-30 13:02:51"
"2552753","2552867","2010-03-31 12:34:31"
"2555917","2556134","2010-03-31 20:12:10"
"2569805","2590900","2010-04-07 08:17:26"
"2593817","2594910","2010-04-07 18:26:53"
"2609301","2609474","2010-04-09 17:18:49"
"2606873","2631894","2010-04-13 17:52:15"
"2632175","2632368","2010-04-13 18:58:56"
"2635155","2635179","2010-04-14 05:59:40"
"2638967","2639614","2010-04-14 17:32:57"
"2622320","2640432","2010-04-14 19:34:00"
"2653591","2654368","2010-04-16 15:54:39"
