owneruserid,reputation,userviews,creationdate
"372","87506","7410","2008-08-05 09:16:41"
"414","14633","974","2008-08-05 14:32:06"
"437","50996","4322","2008-08-05 18:13:45"
"1586","10434","249","2008-08-16 21:07:34"
"1816","40421","1091","2008-08-18 17:35:38"
"1943","5214","617","2008-08-19 14:47:06"
"2025","41604","2261","2008-08-19 20:59:50"
"2029","10533","849","2008-08-19 21:21:52"
"2115","3246","156","2008-08-20 12:30:47"
"2122","9097","1587","2008-08-20 13:13:16"
"2275","11611","314","2008-08-21 12:44:52"
"2283","13260","819","2008-08-21 13:17:05"
"2913","277","191","2008-08-25 22:32:06"
"2997","759","115","2008-08-26 10:56:31"
"3044","7864","551","2008-08-26 13:31:46"
"3273","596","148","2008-08-27 16:03:18"
"3717","2853","172","2008-08-30 09:44:24"
"3848","94835","6455","2008-08-31 11:24:27"
"4160","13757","850","2008-09-02 07:15:12"
"4597","8962","798","2008-09-04 19:25:11"
"4670","3587","299","2008-09-05 04:11:46"
"4778","1692","215","2008-09-05 15:06:23"
"5343","14509","1232","2008-09-09 09:57:56"
"5475","35374","1088","2008-09-09 21:50:17"
"5618","19435","1303","2008-09-10 14:56:27"
"5675","4810","617","2008-09-10 21:40:18"
"6827","6456","717","2008-09-15 12:41:25"
"6848","14378","853","2008-09-15 12:42:54"
"9204","146087","9469","2008-09-15 18:03:06"
"9774","1645","430","2008-09-15 19:56:20"
"10612","3771","452","2008-09-16 00:23:36"
"10932","11583","717","2008-09-16 03:05:02"
"11125","28328","1580","2008-09-16 05:20:49"
"11185","1209","163","2008-09-16 05:57:57"
"11387","15808","961","2008-09-16 07:32:15"
"11770","213","108","2008-09-16 11:04:35"
"11895","1306","319","2008-09-16 12:06:42"
"12275","10327","457","2008-09-16 13:51:01"
"12280","25891","1808","2008-09-16 13:51:28"
"12382","6736","278","2008-09-16 14:10:53"
"13992","10487","1314","2008-09-16 21:38:41"
"15371","23294","1380","2008-09-17 08:45:13"
"15416","153564","14641","2008-09-17 09:05:24"
"15908","4640","546","2008-09-17 13:27:36"
"16424","2039","246","2008-09-17 17:05:06"
"16959","26285","6095","2008-09-17 23:08:25"
"18243","45212","5187","2008-09-18 20:49:43"
"18763","984","102","2008-09-19 11:31:26"
"20038","1820","224","2008-09-21 19:31:26"
"20302","8298","411","2008-09-22 08:52:50"
"20476","1388","632","2008-09-22 14:26:25"
"21263","741","411","2008-09-23 17:22:00"
"21387","579","128","2008-09-23 21:27:25"
"21668","10293","740","2008-09-24 13:24:17"
"23093","633","73","2008-09-27 23:51:13"
"23697","2614","274","2008-09-30 07:26:06"
"24376","2166","433","2008-10-02 03:44:29"
"24395","1539","375","2008-10-02 05:29:31"
"26003","3668","521","2008-10-08 01:47:04"
"26286","19589","890","2008-10-08 20:53:44"
"26980","8995","528","2008-10-10 22:03:53"
