id,view_count
"43199","1100"
"78869","18556"
"84680","63776"
"93911","12553"
"96945","3668"
"102778","706"
"123902","7292"
"126798","53482"
"140113","2730"
"143523","7413"
"150167","123187"
"161160","2673"
"163113","2065"
"182133","3523"
"183830","4146"
"190376","570"
"221149","5554"
"232839","591"
"267738","6725"
"271031","3917"
"271518","1096"
"288289","1644"
"292362","1902"
"295436","8252"
"300334","12712"
"304268","423228"
"308609","10558"
"309202","2727"
"320355","1880"
"325637","6800"
"338578","26807"
"339004","80508"
"339531","5668"
"340820","22114"
"346225","1860"
"353010","2909"
"361231","9862"
"363329","732"
"372268","15764"
"373518","9473"
"376561","6429"
"385907","8849"
"390150","154585"
"411331","119615"
"415953","1025630"
"427046","2677"
"430755","43144"
"437375","17193"
"472739","3151"
"473566","1875"
"480895","12794"
"496651","245198"
"520255","799"
"537596","49252"
"545082","14796"
"545667","41405"
"561938","1097"
"565531","145"
"567482","5151"
"568227","3177"
"570450","30211"
"580686","6007"
"592403","10639"
"610896","1289"
"622732","5332"
"683885","2128"
"684081","73516"
"687291","1820"
"705728","31322"
"719556","5147"
"719747","3047"
"723129","5804"
"723886","3357"
"729195","584"
"759722","2982"
"770969","2336"
"785973","150592"
"800172","656"
"808988","1007"
"810493","71054"
"811590","5183"
"812275","1662"
"820261","5519"
"829522","21992"
"834932","1568"
"836007","1511"
"836281","1439"
"839051","781"
"839213","5889"
"841446","1384"
"842222","1018"
"846957","9264"
"848205","544"
"848734","1381"
"851093","1005"
"853332","11366"
"859111","181629"
"862571","2209"
"865460","17887"
"867751","9044"
"868776","24667"
"869255","3047"
"874903","19055"
"875467","405092"
"885005","2512"
"889406","16615"
"890935","206228"
"901251","5609"
"904346","1821"
"906402","444422"
"908748","60425"
"909979","864"
"920809","589"
"924968","10709"
"925377","36538"
"934474","578"
"937412","16098"
"948933","1269"
"949190","2777"
"950885","3909"
"951477","7356"
"955624","32840"
"956657","5564"
"964547","540"
"967194","320"
"968565","19422"
"975054","3616"
"977321","838"
"995514","171459"
"997304","1321"
"1000347","8674"
"1003365","4021"
"1009766","319"
"1010356","22107"
"1012363","6020"
"1013720","232"
"1016372","3530"
"1019837","4574"
"1028388","467"
"1031558","2658"
"1032721","29496"
"1037009","5851"
"1037590","48872"
"1045895","5694"
"1051953","647"
"1057041","3123"
"1061171","1374"
"1068271","15502"
"1069142","807"
"1075128","35396"
"1093202","321"
"1105913","423"
"1130904","4219"
"1139447","1711"
"1175074","1172"
"1175352","5193"
"1187949","21489"
"1199802","3156"
"1200091","1994"
"1202535","4833"
"1202910","3757"
"1205135","394815"
"1216213","1206"
"1217046","1766"
"1225633","3132"
"1226083","20825"
"1227478","1003"
"1233206","9733"
"1234598","1104"
"1236481","2423"
"1238628","9385"
"1255083","17168"
"1258404","6048"
"1269359","4255"
"1269735","1059"
"1270703","49919"
"1283982","776"
"1284771","26394"
"1291978","18492"
"1301297","3570"
"1303220","14496"
"1305243","677"
"1315833","2685"
"1354803","34058"
"1362115","589"
"1365187","1396"
"1374170","32940"
"1376674","4666"
"1384968","26046"
"1386978","1560"
"1391643","3870"
"1396375","9190"
"1398556","969"
"1400023","2799"
"1401248","3658"
"1405872","1530"
"1413184","16147"
"1418846","2489"
"1422977","15440"
"1423520","4370"
"1423741","1789"
"1433336","578"
"1440030","49629"
"1441548","9097"
"1454021","35087"
"1455037","27053"
"1455856","14340"
"1473604","1242"
"1473997","1515"
"1476963","2536"
"1488404","1507"
"1492043","1763"
"1492762","5647"
"1497297","14825"
"1497322","9799"
"1498108","3115"
"1502465","2381"
"1503241","1560"
"1508314","2881"
"1511674","110048"
"1524107","3505"
"1531740","19421"
"1540007","8358"
"1541585","2901"
"1552330","2812"
"1554970","1102"
"1555476","3283"
"1564446","373"
"1572813","2357"
"1577081","1192"
"1580012","23349"
"1581759","2137"
"1582115","1678"
"1582537","981"
"1589164","427"
"1589216","1299"
"1589996","2265"
"1593253","15070"
"1599012","149"
"1612191","447"
"1613212","99135"
"1615871","49542"
"1622492","691"
"1623924","13206"
"1624137","2888"
"1626549","180424"
"1644059","1245"
"1645747","16743"
"1647759","13504"
"1650596","18807"
"1662769","6341"
"1665736","5410"
"1666052","356501"
"1667215","3865"
"1694466","5663"
"1709441","78493"
"1710423","528"
"1722984","352"
"1725863","31352"
"1731966","54197"
"1734558","1647"
"1754144","494"
"1754215","6347"
"1760785","79962"
"1761365","866"
"1761482","1732"
"1762391","553"
"1769015","876"
"1785199","5461"
"1786325","2703"
"1798829","987"
"1803254","9346"
"1807432","3374"
"1814048","3690"
"1816141","1476"
"1819228","1166"
"1820995","17146"
"1826075","306"
"1828775","310611"
"1850445","515"
"1856552","13134"
"1878052","2408"
"1880929","23462"
"1890542","1808"
"1896715","18312"
"1900179","4431"
"1905216","160"
"1907111","2348"
"1912785","6884"
"1913068","5066"
"1913244","241"
"1915535","1604"
"1918542","3711"
"1925104","57889"
"1927246","167"
"1927380","2533"
"1935348","1228"
"1936862","535"
"1939289","8494"
"1947608","712"
"1953995","1842"
"1955612","2965"
"1956506","10967"
"1962823","4955"
"1962852","3347"
"1970195","124"
"1976022","509"
"2016190","89165"
"2018487","7843"
"2019199","742"
"2023549","15233"
"2043018","48525"
"2049363","986"
"2054687","13002"
"2055314","35408"
"2059421","542"
"2061822","539"
"2069392","2477"
"2072241","8625"
"2090765","21276"
"2097214","4965"
"2099003","701"
"2100433","3785"
"2101151","4996"
"2121047","4221"
"2122080","3771"
"2123975","461"
"2130162","829"
"2133597","1026"
"2135864","676"
"2138574","248890"
"2138686","2177"
"2138940","323114"
"2139517","778"
"2143182","157"
"2143653","2916"
"2150801","33651"
"2162797","2456"
"2162830","12612"
"2175892","2011"
"2180206","11306"
"2181215","1806"
"2185951","10163"
"2186249","1620"
"2186836","2272"
"2189010","3834"
"2200176","54402"
"2200723","1221"
"2200785","835"
"2207402","62108"
"2218618","541"
"2221730","755"
"2224030","13817"
"2228441","1352"
"2229646","4626"
"2230720","470"
"2230981","10912"
"2232581","131"
"2232618","1044"
"2234951","1581"
"2238135","17692"
"2238345","2497"
"2239716","1409"
"2240931","39808"
"2241068","21477"
"2250421","18237"
"2255854","312"
"2264038","2183"
"2268703","1963"
"2270215","3479"
"2280375","20236"
"2283577","2248"
"2285479","2234"
"2288683","2150"
"2290570","54896"
"2294628","2603"
