id,acceptedanswerid,answer_date
"17817","17822","2008-08-20 12:18:52"
"33104","33123","2008-08-28 19:02:25"
"45097","45133","2008-09-05 02:22:35"
"51283","51287","2008-09-09 06:19:47"
"52646","52768","2008-09-09 20:01:19"
"49158","55744","2008-09-11 03:18:58"
"61760","61777","2008-09-15 01:25:32"
"81410","81505","2008-09-17 09:37:40"
"86513","86580","2008-09-17 19:17:35"
"114148","115043","2008-09-22 14:09:14"
"116682","116998","2008-09-22 19:34:28"
"119818","119907","2008-09-23 08:45:26"
"120189","120204","2008-09-23 10:19:25"
"121490","121562","2008-09-23 14:58:37"
"128028","128703","2008-09-24 17:55:18"
"142573","142592","2008-09-27 00:20:35"
"153039","157949","2008-10-01 14:39:04"
"162159","162579","2008-10-02 14:26:28"
"29680","165867","2008-10-03 06:06:29"
"176255","176271","2008-10-06 21:29:11"
"179355","179514","2008-10-07 17:27:03"
"184028","184189","2008-10-08 18:33:12"
"185149","185189","2008-10-08 22:37:18"
"195509","195552","2008-10-12 14:32:27"
"198974","199085","2008-10-13 21:23:39"
"223097","223104","2008-10-21 19:13:26"
"240362","240584","2008-10-27 16:47:54"
"268320","268431","2008-11-06 12:04:54"
"272342","272357","2008-11-07 15:09:00"
"278122","278138","2008-11-10 15:27:30"
"278651","278666","2008-11-10 18:03:20"
"283774","283983","2008-11-12 13:52:42"
"286824","286858","2008-11-13 13:01:19"
"288287","288611","2008-11-13 22:43:42"
"308501","312750","2008-11-23 17:39:31"
"316390","316408","2008-11-25 05:04:38"
"319113","319412","2008-11-26 01:00:12"
"39983","322727","2008-11-27 01:41:46"
"333532","333543","2008-12-02 10:17:04"
"335019","335351","2008-12-02 20:36:54"
"343111","343147","2008-12-05 07:47:04"
"355043","355047","2008-12-10 04:04:08"
"338563","359694","2008-12-11 15:22:35"
"395045","395177","2008-12-27 17:19:25"
"395592","395843","2008-12-28 04:48:43"
"429005","429072","2009-01-09 18:04:17"
"433558","433573","2009-01-11 20:11:05"
"438886","438891","2009-01-13 13:12:52"
"443430","443473","2009-01-14 15:56:24"
"452415","452465","2009-01-16 23:53:39"
"467897","467901","2009-01-22 02:54:44"
"467885","467919","2009-01-22 03:03:46"
"468089","470058","2009-01-22 17:24:33"
"470531","470598","2009-01-22 20:03:25"
"472552","472562","2009-01-23 11:09:15"
"475840","475845","2009-01-24 10:43:30"
"476821","476837","2009-01-24 22:58:35"
"477053","477065","2009-01-25 02:26:06"
"482213","482222","2009-01-27 03:13:43"
"484261","484283","2009-01-27 17:11:35"
"491914","492004","2009-01-29 15:18:33"
"496152","496258","2009-01-30 16:49:57"
"503469","503568","2009-02-02 15:21:19"
"505235","505309","2009-02-02 22:49:46"
"507591","507627","2009-02-03 15:45:41"
"514688","514700","2009-02-05 05:31:35"
"522064","522090","2009-02-06 20:46:45"
"534051","534069","2009-02-10 20:33:44"
"526391","535949","2009-02-11 08:48:50"
"540496","541648","2009-02-12 15:02:01"
"559600","559643","2009-02-18 02:39:48"
"561039","561061","2009-02-18 13:32:31"
"579661","579713","2009-02-23 22:42:28"
"581730","581752","2009-02-24 13:35:17"
"593419","593435","2009-02-27 03:45:21"
"594443","594464","2009-02-27 12:00:12"
"595228","595251","2009-02-27 15:37:35"
"597028","597044","2009-02-27 23:14:33"
"608453","608470","2009-03-03 22:20:50"
"615144","615506","2009-03-05 16:21:31"
"625768","625827","2009-03-09 11:06:39"
"631671","633269","2009-03-11 03:53:19"
"633445","633450","2009-03-11 05:27:46"
"647696","649708","2009-03-16 09:08:15"
"651466","651474","2009-03-16 17:53:14"
"651590","651636","2009-03-16 18:36:34"
"651713","651749","2009-03-16 19:07:44"
"651819","651836","2009-03-16 19:32:34"
"671042","671054","2009-03-22 14:07:39"
"675392","675399","2009-03-23 22:00:39"
"681530","681560","2009-03-25 13:21:48"
"682260","682272","2009-03-25 16:02:53"
"688196","688208","2009-03-27 01:38:34"
"688686","689460","2009-03-27 11:49:59"
"690730","691205","2009-03-27 19:36:51"
"691276","691302","2009-03-27 20:08:08"
"701580","701639","2009-03-31 15:40:19"
"713600","713621","2009-04-03 11:53:21"
"721446","721519","2009-04-06 13:47:53"
"723886","723899","2009-04-07 01:48:45"
"733463","733479","2009-04-09 09:23:23"
"734561","734572","2009-04-09 14:51:19"
"739850","739937","2009-04-11 11:57:42"
"746347","746395","2009-04-14 04:59:30"
"747641","747700","2009-04-14 14:03:29"
"754633","754652","2009-04-16 03:29:18"
"754761","754775","2009-04-16 04:36:41"
"756800","756820","2009-04-16 16:00:08"
"768268","768287","2009-04-20 13:36:36"
"774627","775122","2009-04-21 23:34:08"
"793812","793890","2009-04-27 14:55:21"
"808748","808766","2009-04-30 20:01:17"
"808816","808850","2009-04-30 20:23:02"
"821375","821401","2009-05-04 18:57:15"
"858773","858794","2009-05-13 15:58:23"
"860246","860296","2009-05-13 20:40:05"
"863323","863342","2009-05-14 13:26:55"
"885909","885926","2009-05-20 02:40:58"
"877916","899122","2009-05-22 17:55:05"
"908283","908325","2009-05-25 23:02:01"
