id,ParentId,owneruserid,score
"17822","17817","20","1"
"17824","17817","1403","7"
"17846","17817","17","3"
"29908","29680","2199","3"
"33120","33104","238","3"
"33123","33104","1975282","5"
"33444","33104","1456","0"
"33593","33104","1842864","0"
"38845","38838","658","10"
"38850","38838","2600","34"
"38854","38838","2859","2"
"38858","38838","255","2"
"38879","38838","3474","6"
"40010","39983","115","0"
"40014","39983","4249","0"
"40024","39983","811","1"
"45102","45097","3641","5"
"45104","45097","96","1"
"45105","45097","658","0"
"45109","45097","364","2"
"45112","45097","4657","0"
"45113","45097","106","0"
"45115","45097","4310","5"
"45116","45097","658","0"
"45133","45097","","4"
"45156","45097","3354","0"
"45158","45097","1980","6"
"45357","45097","","1"
"45425","45097","1904","2"
"45436","45097","2279","0"
"49188","49158","2655","1"
"49736","49158","4257","2"
"51287","51283","2975","20"
"51291","51283","968","0"
"52347","52344","5","7"
"52372","52344","1344","0"
"52379","52344","2614","1"
"52454","52344","106","1"
"52654","52646","1790","2"
"52768","52646","302","14"
"55744","49158","3847","6"
"61773","61760","","1"
"61777","61760","1862","4"
"61778","61760","5642","3"
"65026","52646","9096","0"
"75989","75980","7548","38"
"76119","75980","8529","10"
"81505","81410","14026","8"
"86484","86477","5903","20"
"86486","86477","13279","6"
"86492","86477","3447","10"
"86527","86513","1942","37"
"86530","86513","15901","16"
"86535","86513","305","20"
"86542","86513","1450","5"
"86555","86513","2214","2"
"86580","86513","5628","390"
"86613","86513","2831","2"
"86616","86513","6610","27"
"86645","86513","8559","12"
"86694","86513","11577","21"
"86783","86513","9618","6"
"87074","86513","16709","4"
"87099","86513","13724","5"
"87260","86513","18936","347"
"87809","86513","14026","13"
"89760","81410","16248","7"
"95241","95213","4396","5"
"95348","95213","5261","7"
"95351","95213","17008","18"
"114153","114148","6899","0"
"114239","114148","19163","0"
"114791","114148","5628","1"
"115043","114148","17516","0"
"115229","114148","6726","0"
"116998","116682","811","1"
"119833","119818","10747","0"
"119834","119818","15780","1"
"119907","119818","10552","1"
"120202","120189","20261","2"
"120204","120189","12124","3"
"120205","120189","2859","0"
"120542","116682","1248","1"
"120717","119818","2932","0"
"121262","120189","20486","1"
"121530","121490","3050","1"
"121562","121490","383","1"
"121629","121490","","1"
"122066","120189","9573","2"
"125644","120189","9128","0"
"128044","128028","21699","4"
"128078","128028","18413","1"
"128204","38838","15296","1"
"128206","128028","10080","0"
"128703","128028","20394","8"
