id,owner_user_id
"17817","1912"
"29680","830"
"33104","1456"
"38838","744"
"39983","3043"
"45097",""
"49158","3847"
"51283","5321"
"52344","4906"
"52646","1581"
"61760","2017"
"75980","1341"
"81410","6478"
"86477","1414"
"86513","5471"
"95213","5619"
"114148","18793"
"116682",""
"119818","20951"
"120189","7106"
"121490","21160"
"128028","21732"
"141427","22802"
"142573","5295"
"153039","4481"
"155751","8123"
"162159","7617"
"176255","14877"
"179355","3636"
"184028",""
"185149","21832"
"195509","15031"
"198974","19753"
"205468","15815"
"223097","1348"
"240362","31662"
"250932","32834"
"268320","8741"
"271031","3700"
"272342","26155"
"278122","20178"
"278651","36263"
"283774","6615"
"286824",""
"288287","12367"
"291665",""
"292362","25778"
"295566","28150"
"308501","31569"
"316390","25645"
"319113","459"
"333532","26396"
"334259","253"
"335019","40867"
"338563","42969"
"339732","2329"
"343111","11256"
"355043","4082"
"381042","30176"
"395045","1606"
"395592","18393"
"399572","5988"
"406415","347256"
"429005","6705"
"433558",""
"438886","4741"
"443430","35247"
"447537","21613"
"452415","4112"
"454813","49226"
"467885","15124"
"467897","44984"
"468089","23501"
"470531","1965"
"472552","50851"
"475840","44984"
"476821","37610"
"477053","20386"
"479499","26039"
"482213","59107"
"484261","16417"
"491914","52963"
"496152","41662"
"503469","12318"
"505235","52256"
"507591","40410"
"512825","44683"
"514688","42024"
"516127",""
"522064","2636656"
"526391","63202"
"534051","60045"
"540496","13470"
"553485",""
"559600","2506"
"561039","22184"
"572107","59637"
"579661","50348"
"581730","68861"
"593419","29669"
"593593","62031"
"594443","13447"
"595228","44984"
"597028","63472"
"608453","28540"
"615144","1491425"
"625768",""
"631671","36680"
"633445","70774"
"641713","9106"
"647696","76590"
"651466","68507"
"651590","962474"
"651713","20126"
"651819","54844"
"671042","29291"
"675392","62871"
"681530","78026"
"682260","78026"
"686455",""
"688196","52745"
"688686","415865"
"690730","81946"
"691276","25068"
"701580","80363"
"713600","430254"
"718611","63051"
"721446","31317"
"723886","14955"
"724950","50851"
"733463","86713"
"734561","82098"
"739850","36537"
"746347","23341"
"747641","343"
"754633","64489"
"754761","52745"
"756800","88898"
"768268","36532"
"770830","43923"
"774627","91857"
"779959","26349"
"793812","21011"
"798785","97208"
"801506","97208"
"805887","47754"
"808748","67814"
"808816","59499"
"810043","8946"
"821375","33918"
"824040","5742"
"834988","5449"
"839983",""
"841984",""
"844719",""
"846797","45261"
"856047","70195"
"858773",""
"859306",""
"860246","86191"
"863323","4003"
"877727","26004"
"877916","7442"
"884209","29653"
"885909","105136"
"897157",""
"900115","111311"
"904442",""
"906900",""
"908283","325418"
"921486","2737"
"923948","1275364"
"926137","20133"
"942518","116281"
"945015","35454"
"945981","116725"
"946170","21475"
"948172","14648"
"948192","104184"
"948507","325418"
"957884",""
"977686","4937"
"983977",""
"991542","83819"
"999010","4937"
"1000351","51958"
"1006674","106281"
"1013720",""
"1020368",""
"1022112","126245"
"1040724",""
"1043996","57698"
"1046722","764272"
"1053556","21677"
"1058338",""
"1062254","109826"
"1063876",""
"1068271","80389"
"1070835","1341"
"1071837","125222"
"1081449","19493"
"1084410","126741"
"1085236","133055"
"1085756","29669"
"1086801","82062"
"1088000","110186"
"1091665","130479"
"1097427","106122"
"1097923","20400"
"1099697","6488"
"1103200","107036"
"1105434","120330"
"1110758","108869"
"1113902","3314"
"1125772","130015"
"1130296","122422"
"1135398","123577"
"1139632","107074"
"1143417","17091"
"1149611",""
"1150111","63051"
"1157775","130015"
"1161378",""
"1162521",""
"1163985","50851"
"1164118","93571"
"1168983","131456"
"1172045","71399"
"1180512",""
"1180716","18149"
"1192716","63235"
