id,view_count
"328","79951"
"1284","7691"
"2525","138810"
"2688","2822"
"5611","6664"
"10731","4526"
"11762","70045"
"20227","172561"
"21965","15250"
"23102","11300"
"23270","1492"
"23713","280"
"25546","3187"
"25999","8617"
"28965","1886"
"31882","2639"
"34638","5092"
"34896","12232"
"36296","684"
"38846","8661"
"39772","3961"
"39929","1806"
"41169","10930"
"43992","6351"
"47262","1443"
"49226","9448"
"49473","4077"
"51094","25178"
"55010","266"
"55556","14103"
"55572","698"
"59656","8925"
"60757","2776"
"61057","202"
"64258","2465"
"64631","5213"
"66870","20697"
"70170","898"
"71756","2879"
"72166","10675"
"76210","2016"
"76408","6069"
"76581","1128"
"78380","410"
"87431","403"
"89285","215"
"91304","3770"
"93771","353"
"96624","4865"
"97614","12525"
"98026","322"
"99001","5268"
"102788","9666"
"106001","2293"
"110575","66671"
"113090","4547"
"113423","3107"
"116415","1152"
"117129","3120"
"119926","3695"
"120116","5902"
"121354","2424"
"130585","259"
"131902","1700"
"134658","4116"
"136219","284"
"137212","143122"
"137254","5067"
"138175","3791"
"138705","6878"
"142431","1156"
"143750","26673"
"145540","9485"
"148964","1949"
"149876","5144"
"152093","1144"
"153461","1489"
"154844","4753"
"157924","4626"
"158257","3402"
"159114","440"
"159282","1637"
"162031","617"
"162764","67738"
"162915","1461"
"172486","30372"
"172739","2760"
"173329","294057"
"173727","7583"
"175309","132"
"176195","1366"
"178479","324063"
"180870","91248"
"184265","1441"
"185211","842"
"185262","29912"
"187736","42496"
"193002","1322"
"195175","1109"
"195648","14081"
"196177","2374"
"198462","153809"
"204440","1571"
"210069","563"
"210490","1085"
"211099","4859"
"211483","207"
"214431","4770"
"216069","1033"
"220437","13056"
"225475","509"
"228476","11764"
"228577","285"
"231592","2227"
"234590","725"
"239905","4392"
"241953","1226"
"242976","955"
"243995","1844"
"244952","7694"
"245600","20297"
"247110","20035"
"247304","329630"
"249318","4668"
"252156","13556"
"253238","3174"
"253724","969"
"258299","63203"
"258889","431"
"258994","5305"
"259534","3430"
"260664","5484"
"266255","33565"
"266606","1359"
"269253","5357"
"271090","18505"
"272409","3409"
"272503","495557"
"272806","1442"
"273652","350"
"274560","156095"
"276832","51836"
"278571","7654"
"281970","499"
"284163","460"
"285400","3655"
"286938","65098"
"287517","42871"
"290630","1485"
"295436","8252"
"295628","12043"
"297498","368"
"299475","550"
"300582","5583"
"300933","1146"
"301024","11867"
"301948","196"
"302279","22388"
"302357","2281"
"303028","1772"
"305044","25000"
"306668","27265"
"308406","5620"
"308756","12564"
"308980","2317"
"312621","1168"
"313730","14782"
"321061","4263"
"321787","10027"
"325587","1578"
"327512","5480"
"329956","14210"
"331468","2320"
"335677","316"
"335888","5016"
"336057","131206"
"341271","7177"
"341956","254"
"342245","8433"
"343078","6509"
"343488","318"
"346826","498"
"347238","570"
"347945","2562"
"348109","72988"
"353698","1718"
"354472","394"
"356116","510"
"356562","18498"
"357491","4327"
"360838","856"
"362401","695"
"365495","1322"
"368329","4677"
"372933","2014"
"373071","139"
"374748","877"
"375390","55852"
"376071","1973"
"380772","1303"
"382113","9990"
"382386","112"
"386374","12754"
"388699","2703"
"390359","216"
"396164","34335"
"396324","3984"
"398179","2982"
"403174","299200"
"403489","3095"
"407977","4658"
"407990","456"
"409807","3701"
"411410","1933"
"412440","872"
"412969","624"
"413279","237"
"413626","1547"
"413802","22219"
"416856","24841"
"419738","1445"
"420843","67202"
"420854","1615"
"421848","183"
"431698","1750"
"433707","2075"
"437146","26556"
"438142","250"
"438704","2091"
"439870","178689"
"441052","180"
"442862","44739"
"444181","11782"
"446501","1279"
"446551","2272"
"448963","72934"
"451623","4238"
"454368","9654"
"454497","16210"
"457014","3835"
"457193","18508"
"458647","1454"
"461650","13201"
"465180","1078"
"466672","10186"
"466737","16244"
"468288","175542"
"470382","138"
"474259","192"
"481743","9932"
"485023","20284"
"487332","175"
"487876","1466"
"490920","8018"
"491930","307"
"493909","296"
"497156","603"
"498630","8202"
"499418","585"
"503967","220"
"511396","5190"
"516802","9291"
"518635","3765"
"524676","2311"
"524778","1916"
"524908","2666"
"527360","2510"
"529997","3191"
"534664","368"
"535175","2046"
"536739","5956"
"537989","2414"
"539812","15102"
"541517","2402"
"544433","21864"
"546513","203"
"547049","1969"
"551406","1632"
"553545","156"
"557746","2290"
"557979","2908"
"558308","3705"
"558330","1805"
"562833","155"
"563717","3750"
"564221","5284"
"568924","2147"
"571669","530"
"572723","12073"
"579130","3126"
"581655","1748"
"587301","7832"
"588327","6507"
"588855","830"
"590298","1980"
"592238","78"
"593086","1529"
"595936","11002"
"596004","1379"
"597142","889"
"598949","802"
"600349","137"
"603271","980"
"604290","276"
"604550","1409"
"604718","23838"
"604978","460"
"605589","256"
"606179","47321"
"611471","1656"
"611915","6243"
"613233","4741"
"613680","819"
"615280","695"
"616421","351"
"616662","789"
"617833","952"
"620438","489"
"622459","4771"
"625720","2448"
"627918","2738"
"631661","4430"
"636172","3463"
"636947","6829"
"637126","150"
"639125","1152"
"641875","2006"
"642007","1259"
"642515","23846"
"642673","21161"
"643445","9179"
"645135","6593"
"663664","8359"
"665792","1612"
"667887","16134"
"668958","134"
"669295","207"
"674703","2282"
"678873","13208"
"682698","3412"
"683549","1016"
"684610","452"
"685298","5294"
"685470","12952"
"687059","374"
"687787","15265"
"694057","341"
"694147","6634"
"695813","3025"
"696476","292"
"696563","7798"
"701801","3217"
"703308","1066"
"703450","917"
"704194","76273"
"705533","98739"
"705596","1615"
"707266","920"
"708965","5346"
"713165","4781"
"715969","3372"
"718190","1306"
"721436","3350"
"726388","1508"
"726837","48222"
"728108","608"
"728164","15358"
"729195","584"
"732107","4426"
"733692","51558"
"740584","1911"
"741824","216"
"745249","365"
"747394","1685"
"747866","4947"
"747876","390"
"748320","1989"
"752859","466"
"752890","6463"
"755309","2876"
"755994","2015"
"756353","1222"
"759069","569"
"761588","40585"
"762221","478"
"763498","4487"
"764012","34550"
"764533","5959"
"765273","495"
"765840","487"
"767010","4689"
"768442","8786"
"769634","2742"
"770164","475"
"773622","152"
"775702","4476"
"775924","3060"
"782785","501"
"785574","759"
"785973","150592"
"786093","2401"
"786139","234"
"787729","4260"
"788834","266"
"796059","2052"
"796383","2245"
"800244","166"
"801458","9976"
"806739","3242"
"815013","582"
"815220","570"
"815297","409"
"815563","909"
"815740","2217"
"816882","3266"
"818512","30736"
"820289","3061"
"821443","1852"
"821938","849"
"822638","3335"
"823184","29538"
"824822","952"
"825638","7414"
"827989","717"
"830919","5787"
"834061","697"
"839479","90735"
"840668","414"
"845623","8054"
"846402","4332"
"847377","3042"
"851093","1005"
"852187","348"
"852453","19671"
"853620","223275"
"853876","133"
"854961","6067"
"858476","10205"
"861781","2769"
"861864","4003"
"862042","1340"
"862141","433"
"862187","4856"
"862419","590"
"868078","617"
"868482","9136"
"869361","15026"
"876045","6303"
"876258","1062"
"877317","2051"
"877743","1348"
"878312","4447"
"878538","2702"
"879017","116"
"879704","5766"
"883371","11546"
"884781","641"
"885540","942"
"887100","438"
"888052","1819"
"890447","156"
"890907","7942"
"895586","28078"
"897020","89690"
"898148","860"
"898319","266"
"899947","1098"
"901639","12589"
"903770","1165"
"906910","159"
"908726","1671"
"909750","1727"
"910465","25621"
"910856","5505"
"921550","3096"
"925929","1023"
"929744","19730"
"929746","1530"
"933483","7526"
"937048","424"
"938765","3862"
"939159","15502"
"944511","1129"
"944833","56744"
"947169","1730"
"947618","89267"
"951386","22539"
"951477","7356"
"952019","10823"
"952847","766"
"953712","2028"
"958331","98"
"960190","36583"
"961313","418"
"964324","348"
"966587","2506"
"967181","1820"
"967762","2940"
"970600","1287"
"978361","2770"
"979360","578"
"981226","2096"
"982616","384"
"985830","12626"
"988642","31128"
"994232","6658"
"996965","406"
"1003365","4021"
"1003736","5615"
"1007065","312"
"1007191","539"
"1008601","1358"
"1010518","2837"
"1011055","1382"
"1013581","20855"
"1014042","805"
"1014505","1539"
"1018292","14209"
"1019204","10023"
"1019217","343"
"1020320","58085"
"1023486","900"
"1023981","10917"
"1026552","7065"
"1026965","213"
"1028010","88414"
"1031772","6216"
"1032212","47"
"1035225","301"
"1035283","1232"
"1036872","781"
"1040679","622"
"1041181","4253"
"1042904","1568"
"1043735","4094"
"1046234","1911"
"1046635","4548"
"1047207","631"
"1048537","671"
"1049152","7592"
"1053542","7084"
"1054117","697"
"1055460","32482"
"1055494","494"
"1058462","6894"
"1061765","7043"
"1063049","186"
"1063155","9078"
"1066611","29052"
"1066898","2266"
"1067864","1427"
"1071106","396"
"1080468","1440"
"1081025","230"
"1085764","423"
"1085874","358"
"1086918","62859"
"1087591","43854"
"1090999","825"
"1099547","1614"
"1100299","713"
"1102726","759"
"1106049","183"
"1106163","3826"
"1108364","448"
"1108937","10879"
"1109041","3590"
"1109277","7539"
"1109731","3757"
"1114229","995"
"1114249","6389"
"1116271","6891"
"1121378","308"
"1122337","154"
"1125470","2157"
"1125527","1094"
"1128504","1136"
"1130687","8509"
"1131210","6672"
"1132567","195146"
"1134202","5596"
"1134848","2964"
"1139856","1815"
"1140581","3600"
"1141008","1577"
"1142028","3529"
"1142136","3487"
"1146059","2753"
"1147373","3876"
"1147830","7603"
"1150725","147"
"1154281","1001"
"1155042","653"
"1155660","207"
"1161977","1635"
"1162258","1246"
"1163319","11821"
"1166952","8308"
"1167208","409"
"1167525","1428"
"1169123","276"
"1169230","168"
"1170185","8757"
"1171174","2201"
"1172891","4456"
"1178831","126519"
"1179053","241"
"1180030","333"
"1186289","2419"
"1187362","1359"
"1188798","976"
"1193428","848"
"1195396","298"
"1197417","16702"
"1198970","1048"
"1200132","5234"
"1200602","5244"
"1201651","192"
"1202508","2614"
