owneruserid,reputation,userviews,creationdate
"26","17939","3669","2008-08-01 12:18:14"
"39","14214","1707","2008-08-01 12:44:55"
"58","41981","1901","2008-08-01 13:56:33"
"116","253978","21453","2008-08-02 05:51:57"
"159","1579","221","2008-08-02 18:20:52"
"169","7573","671","2008-08-02 22:51:03"
"181","3174","326","2008-08-03 03:43:40"
"227","13248","755","2008-08-03 17:53:19"
"245","23047","5371","2008-08-04 00:38:47"
"445","22478","917","2008-08-05 19:37:25"
"518","4563","600","2008-08-06 14:07:17"
"536","54037","4195","2008-08-06 15:30:22"
"580","31343","1072","2008-08-06 22:30:28"
"698","17965","790","2008-08-07 23:31:56"
"814","21687","643","2008-08-09 04:07:15"
"816","2033","171","2008-08-09 04:15:12"
"861","4717","883","2008-08-09 19:00:40"
"974","43556","1589","2008-08-11 09:02:40"
"979","1414","190","2008-08-11 12:06:42"
"994","573","103","2008-08-11 12:26:04"
"1067","1092","136","2008-08-12 07:05:05"
"1174","7324","546","2008-08-13 10:17:21"
"1348","16513","1433","2008-08-14 16:23:12"
"1409","32427","1198","2008-08-15 13:18:51"
"1428","30778","1541","2008-08-15 15:27:39"
"1535","3808","398","2008-08-16 12:32:17"
"1615","13530","879","2008-08-17 15:19:59"
"1679","11104","413","2008-08-17 23:32:44"
"1737","61482","6226","2008-08-18 11:30:00"
"1771","2442","100","2008-08-18 13:45:11"
"1821","49835","5125","2008-08-18 18:11:48"
"1858","1622","173","2008-08-18 22:50:18"
"1867","2668","190","2008-08-19 00:24:24"
"1869","18450","3030","2008-08-19 00:37:02"
"1907","3965","436","2008-08-19 13:23:16"
"1959","12736","630","2008-08-19 15:39:58"
"2016","1203","186","2008-08-19 19:49:14"
"2183","33858","1319","2008-08-20 19:42:13"
"2258","7339","1063","2008-08-21 11:31:56"
"2429","24152","1210","2008-08-22 08:48:22"
"2459","1476","212","2008-08-22 12:05:52"
"2501","261","87","2008-08-22 15:02:11"
"2583","22712","1012","2008-08-23 05:21:05"
"2592","12315","1187","2008-08-23 12:32:00"
"2628","21492","1133","2008-08-23 18:34:26"
"2656","8528","447","2008-08-24 02:05:05"
