id,view_count
"657","4584"
"6847","2069"
"8318","9622"
"14350","4234"
"14617","381680"
"16003","162"
"19956","355"
"20841","12028"
"22880","133952"
"23988","907"
"24468","8557"
"24723","67739"
"31865","3215"
"32369","266190"
"32991","195"
"38779","5668"
"40853","14766"
"45093","19090"
"46415","3322"
"47323","1890"
"49455","2439"
"51124","960"
"52239","23935"
"52830","195"
"53728","50045"
"55862","7453"
"57384","2852"
"57800","1695"
"64432","2964"
"70450","17271"
"71328","26806"
"75057","29912"
"77686","736"
"87365","8469"
"95852","6427"
"99999","1018"
"101337","4593"
"108518","41841"
"108838","2352"
"109293","384"
"111576","3998"
"117352","1043"
"117920","449"
"118463","15880"
"120206","1557"
"120380","2278"
"120977","559"
"121490","309"
"123159","2158"
"138311","7592"
"139046","14185"
"139053","775"
"141427","976"
"143632","8728"
"144696","8719"
"147491","6855"
"148059","63896"
"157938","212007"
"162296","925"
"166411","1057"
"166639","559"
"177331","5130"
"183656","11884"
"184328","23835"
"188114","2828"
"188835","1098"
"194358","1493"
"196150","105492"
"197268","6619"
"197388","4459"
"197835","369"
"198071","6259"
"198803","1144"
"199017","4906"
"201863","3457"
"202011","689405"
"205070","14518"
"205468","1974"
"205668","2155"
"210832","2267"
"211385","1266"
"211941","178"
"212510","161401"
"212858","478"
"213380","24805"
"215302","3046"
"215306","1999"
"216324","2732"
"223480","6677"
"226316","1873"
"228138","16695"
"232484","4209"
"232990","2559"
"235759","10577"
"241040","5804"
"242648","5487"
"246822","4458"
"248789","837"
"252180","7046"
"254980","1874"
"255723","3749"
"258721","7012"
"259372","2642"
"261202","241"
"262145","748"
"263367","1173"
"263818","1354"
"265305","9164"
"267451","5253"
"267607","32135"
"269713","4428"
"270453","12580"
"273165","1842"
"273396","81663"
"276132","383"
"276177","2382"
"277695","5077"
"278273","1416"
"279693","1192"
"281843","418"
"290460","295"
"291102","951"
"291744","879"
"295156","14185"
"295910","1182"
"296193","1567"
"297136","1955"
"299826","6260"
"303096","8316"
"304658","1865"
"306489","18589"
"307448","2777"
"309497","3565"
"310476","1748"
"312254","278"
"315240","2325"
"317175","14312"
"317788","1531"
"319508","6047"
"327097","16520"
"333812","7466"
"337663","4220"
"340568","5387"
"341585","255"
"342378","38116"
"343995","4002"
"344314","121"
"344774","715"
"347056","8493"
"347948","11672"
"348090","2255"
"350588","5014"
"353799","903"
"354323","449"
"355632","683"
"360520","100064"
"362948","4448"
"365158","173"
"367180","7449"
"372980","11875"
"373761","762"
"375524","9971"
"380336","6929"
"384489","5129"
"384725","118"
"386047","497"
"387104","8527"
"390677","978"
"390908","764"
"395045","39186"
"402705","9638"
"403394","2812"
"404806","11788"
"409725","13065"
"410253","3327"
"413677","16303"
"421458","1278"
"422903","1182"
"426294","3933"
"427598","20194"
"432753","791"
"434776","1317"
"435408","210"
"437962","1364"
"442443","17247"
"443988","1276"
"444698","3088"
"454771","380"
"456109","1831"
"457471","818"
"460519","5793"
"461120","345"
"461886","5772"
"465997","12892"
"473531","3297"
"473687","52451"
"475216","12211"
"476701","2297"
"477649","7637"
"478251","824"
"478455","84"
"481098","2200"
"481845","7440"
"482341","163"
"483197","992"
"485866","1576"
"487739","530"
"488637","1281"
"489119","260041"
"491109","480"
"493531","1392"
"495392","6906"
"498521","23924"
"500586","72"
"503666","1526"
"507124","2448"
"508538","1623"
"512174","4884"
"519872","3568"
"521101","104210"
"522778","8985"
"523629","12055"
"525056","2145"
"525156","9123"
"526576","15839"
"529971","2580"
"532070","838"
"533965","32652"
"534742","12584"
"536584","34496"
"538059","2631"
"539348","1044"
"540496","3427"
"540524","9058"
"544239","14583"
"545849","413"
"549987","836"
"550742","1595"
"553353","4130"
"555076","2493"
"555222","3980"
"558877","2559"
"559995","4470"
"568657","28793"
"568970","900"
"579224","10911"
"580534","12301"
"583592","2056"
"587638","475"
"589834","85452"
"590708","4878"
"594443","401"
"596057","1103"
"599509","8552"
"601209","2978"
"606091","1476"
"606099","7398"
"606830","1258"
"607372","698"
"612178","3415"
"612728","1538"
"615144","2135"
"615954","1661"
"617109","3481"
"619991","2260"
"622061","8752"
"622930","7415"
"627395","189"
"629695","1161"
"629755","16163"
"632300","12056"
"632503","3952"
"638057","1370"
"641810","2716"
"643414","363"
"646195","36507"
"647514","7421"
"655042","340"
"655137","6117"
"657676","1497"
"658826","10697"
"660335","6353"
"661081","803"
"678471","356"
"680753","2266"
"681928","41798"
"684662","1781"
"689369","901"
"689508","1581"
"690108","14013"
"691533","4976"
"696629","1165"
"696702","1193"
"696793","1235"
"700529","11062"
"701192","1448"
"705636","516"
"706924","2721"
"710402","7453"
"713600","142"
"713611","148"
"714631","16924"
"715113","1978"
"715348","1480"
"720673","5449"
"722008","7008"
"723945","487"
"725367","1869"
"728899","1135"
"729908","273"
"733753","23906"
"735778","4331"
"738071","2863"
"740812","7396"
"740837","15691"
"744530","15366"
"746998","64912"
"747538","3568"
"750831","223"
"753801","1013"
"757857","18761"
"760358","1070"
"763450","374"
"765448","292"
"767310","5609"
"768395","383"
"770830","3601"
"774569","10037"
"777100","435"
"779959","12854"
"781658","19213"
"781766","3866"
"782733","1448"
"783523","8004"
"786029","6449"
"788844","3796"
"789759","1822"
"791626","888"
"792097","7054"
"792522","1695"
"793903","853"
"797764","162"
"805686","8127"
"806787","5891"
"809590","6927"
"810533","11359"
"812894","8360"
"812945","2759"
"816224","1477"
"820030","16707"
"820307","1027"
"821375","1348"
"822969","2093"
"823821","1552"
"823853","3023"
"823996","1052"
