id,acceptedanswerid,answer_date
"6847","6862","2008-08-09 18:00:26"
"8318","8322","2008-08-11 23:00:58"
"14350","14404","2008-08-18 09:59:50"
"14617","15937","2008-08-19 09:44:41"
"16003","16175","2008-08-19 13:44:31"
"19471","19480","2008-08-21 08:22:28"
"22880","22913","2008-08-22 17:11:46"
"19956","23022","2008-08-22 17:51:57"
"23988","23997","2008-08-23 04:55:28"
"23961","24097","2008-08-23 09:17:00"
"24468","24477","2008-08-23 18:42:49"
"30946","30979","2008-08-27 19:29:03"
"31865","31896","2008-08-28 09:14:14"
"28369","32028","2008-08-28 11:35:19"
"32369","32386","2008-08-28 14:23:22"
"38779","40472","2008-09-02 20:12:02"
"40853","40867","2008-09-02 22:58:13"
"45093","45096","2008-09-05 02:02:34"
"46415","46461","2008-09-05 18:16:27"
"47323","47325","2008-09-06 08:23:56"
"22519","49821","2008-09-08 14:35:25"
"51124","51131","2008-09-09 02:24:29"
"52239","52244","2008-09-09 16:05:00"
"52830","52849","2008-09-09 20:36:32"
"55862","55904","2008-09-11 06:37:40"
"57384","57408","2008-09-11 19:29:23"
"57800","58330","2008-09-12 05:01:42"
"53728","70222","2008-09-16 07:57:39"
"70450","70536","2008-09-16 09:00:17"
"77686","78224","2008-09-16 23:09:44"
"95297","95482","2008-09-18 18:39:35"
"99999","100060","2008-09-19 06:33:15"
"101362","102227","2008-09-19 14:23:52"
"108518","108575","2008-09-20 16:05:43"
"109293","109307","2008-09-20 20:42:02"
"111576","111598","2008-09-21 18:18:53"
"117352","117435","2008-09-22 20:32:36"
"118463","118503","2008-09-23 00:54:15"
"120206","120223","2008-09-23 10:26:24"
"120380","120401","2008-09-23 11:26:00"
"121493","121526","2008-09-23 14:53:15"
"121490","121562","2008-09-23 14:58:37"
"138311","138372","2008-09-26 09:01:03"
"138432","138465","2008-09-26 09:30:02"
"139046","139500","2008-09-26 13:27:45"
"139053","140075","2008-09-26 15:04:27"
"143632","144087","2008-09-27 17:28:36"
"144696","144956","2008-09-28 01:36:36"
"148059","148070","2008-09-29 09:21:39"
"157938","157975","2008-10-01 14:43:51"
"162296","162466","2008-10-02 14:08:50"
"166639","166719","2008-10-03 13:02:29"
"166411","167140","2008-10-03 14:29:19"
"170844","171235","2008-10-05 00:18:24"
"172392","172458","2008-10-05 18:52:23"
"174131","174135","2008-10-06 12:54:58"
"174348","174485","2008-10-06 14:25:45"
"177560","177580","2008-10-07 08:22:39"
"183656","183674","2008-10-08 16:32:46"
"184328","184369","2008-10-08 19:07:29"
"188114","188125","2008-10-09 16:42:32"
"188835","188852","2008-10-09 19:36:36"
"190771","190806","2008-10-10 10:51:14"
"194869","195032","2008-10-12 03:02:33"
"195509","195552","2008-10-12 14:32:27"
"196150","196158","2008-10-12 21:41:15"
"197388","197431","2008-10-13 12:36:52"
"197835","197850","2008-10-13 14:54:14"
"198071","198162","2008-10-13 16:21:47"
"198803","198815","2008-10-13 19:56:36"
"205070","205146","2008-10-15 15:22:50"
"205887","205902","2008-10-15 18:41:03"
"205668","206671","2008-10-15 21:57:50"
"210832","210926","2008-10-17 02:22:54"
"212858","212877","2008-10-17 16:31:23"
"213380","213447","2008-10-17 19:03:00"
"211895","215135","2008-10-18 15:03:59"
"215302","215305","2008-10-18 17:26:56"
"215306","215469","2008-10-18 19:23:05"
"211263","216179","2008-10-19 08:44:58"
"211385","219131","2008-10-20 16:51:26"
"223480","223494","2008-10-21 21:02:41"
"224049","224127","2008-10-22 00:59:10"
"224272","224293","2008-10-22 02:36:15"
"226316","226339","2008-10-22 15:37:37"
"235759","235847","2008-10-25 03:32:12"
"240713","240751","2008-10-27 17:33:39"
"239262","240897","2008-10-27 18:09:40"
"242648","242663","2008-10-28 09:33:03"
"246822","247070","2008-10-29 14:45:38"
"248789","248813","2008-10-29 23:39:05"
"252180","252612","2008-10-31 04:41:09"
"252974","253112","2008-10-31 10:39:47"
"254980","255073","2008-10-31 21:55:43"
"255723","255739","2008-11-01 16:27:25"
"259372","259512","2008-11-03 18:27:13"
"259897","260619","2008-11-04 02:26:03"
"261202","261590","2008-11-04 11:32:03"
"262145","262178","2008-11-04 15:29:26"
"263367","263501","2008-11-04 21:28:42"
"263818","263878","2008-11-04 23:28:15"
"267607","267653","2008-11-06 04:39:30"
"267451","267713","2008-11-06 05:21:26"
"270453","270496","2008-11-06 22:03:18"
"269713","270670","2008-11-06 22:57:12"
"273165","273280","2008-11-07 19:17:19"
"274659","274667","2008-11-08 12:26:58"
"275444","275533","2008-11-09 02:46:21"
"276132","276651","2008-11-09 23:15:02"
"277100","277287","2008-11-10 07:30:26"
"277695","277708","2008-11-10 11:59:17"
"278273","278353","2008-11-10 16:30:09"
"279693","279702","2008-11-11 00:51:12"
"290236","290282","2008-11-14 14:45:43"
"291102","291257","2008-11-14 20:16:25"
"291744","291782","2008-11-14 23:32:32"
"291294","293065","2008-11-15 21:23:30"
"295156","295526","2008-11-17 12:58:42"
"295910","295921","2008-11-17 15:43:54"
"297136","297281","2008-11-17 23:00:36"
"303096","303159","2008-11-19 19:58:04"
"304284","304334","2008-11-20 04:29:22"
"307448","307459","2008-11-21 00:57:05"
"307722","307971","2008-11-21 05:34:19"
"306489","308333","2008-11-21 10:11:40"
"310476","311251","2008-11-22 11:55:53"
"317175","317662","2008-11-25 15:14:04"
"317788","317804","2008-11-25 15:54:55"
"322262","322273","2008-11-26 21:44:20"
"117920","325632","2008-11-28 12:18:19"
"327097","327103","2008-11-29 03:13:25"
"333812","333848","2008-12-02 12:55:58"
"337663","337710","2008-12-03 16:17:59"
"341585","341945","2008-12-04 20:30:23"
"344314","344528","2008-12-05 17:03:26"
"347948","348054","2008-12-07 20:44:56"
"350177","350194","2008-12-08 17:11:27"
"350588","351016","2008-12-08 21:40:58"
"354021","354100","2008-12-09 20:21:50"
"354068","354198","2008-12-09 20:51:49"
"353799","354383","2008-12-09 21:56:47"
"358967","359786","2008-12-11 15:46:58"
"359342","359923","2008-12-11 16:17:16"
"367180","367194","2008-12-15 00:14:03"
"369312","369330","2008-12-15 18:47:48"
"369291","369490","2008-12-15 19:45:33"
"360520","372384","2008-12-16 19:27:37"
"372980","373085","2008-12-16 22:59:57"
"372268","373805","2008-12-17 06:33:17"
"375524","375541","2008-12-17 18:28:17"
"380336","382339","2008-12-19 22:00:01"
"382464","382604","2008-12-19 23:54:09"
"384489","384498","2008-12-21 14:08:45"
"384725","384734","2008-12-21 18:04:42"
"387104","387249","2008-12-22 20:25:27"
"388985","389003","2008-12-23 14:34:13"
"390677","390760","2008-12-24 04:42:22"
"392928","393062","2008-12-25 18:55:32"
"395045","395177","2008-12-27 17:19:25"
"404806","404945","2009-01-01 13:30:02"
"406179","406187","2009-01-02 06:38:24"
"408431","408470","2009-01-03 02:03:15"
"355632","408904","2009-01-03 11:00:19"
"410253","410275","2009-01-04 01:54:57"
"340568","410446","2009-01-04 04:16:50"
"409725","411907","2009-01-04 23:29:38"
"413677","414320","2009-01-05 20:01:52"
"412753","417683","2009-01-06 18:49:06"
"419288","419319","2009-01-07 05:44:59"
"426294","427344","2009-01-09 07:41:44"
"421458","430559","2009-01-10 04:33:26"
"432753","432759","2009-01-11 11:11:18"
"434776","435030","2009-01-12 10:28:54"
"441777","441806","2009-01-14 03:22:26"
"442443","442509","2009-01-14 10:15:05"
"442898","442936","2009-01-14 13:29:41"
"442923","443004","2009-01-14 13:47:55"
"444698","444720","2009-01-14 21:16:48"
"445177","447141","2009-01-15 15:21:22"
"447638","447677","2009-01-15 17:29:13"
"449650","449674","2009-01-16 06:29:48"
"344774","450452","2009-01-16 13:48:33"
"454771","454778","2009-01-18 07:34:20"
"456109","456188","2009-01-19 00:15:24"
"455234","456268","2009-01-19 01:07:28"
"457471","457512","2009-01-19 12:59:19"
"460519","460526","2009-01-20 09:02:04"
"461120","464309","2009-01-21 07:11:04"
"465997","466319","2009-01-21 17:52:30"
"475216","475246","2009-01-24 00:56:39"
"476701","476732","2009-01-24 22:00:57"
"476576","476795","2009-01-24 22:34:24"
"481098","481126","2009-01-26 20:00:52"
"481845","481857","2009-01-26 23:44:39"
