id,ParentId,owneruserid,score
"329","328","59","15"
"331","328","58","11"
"335","328","50","3"
"669","657","117","32"
"681","328","200","3"
"691","657","34","15"
"1611","328","1384652","2"
"1684","657","115","1"
"3965","328","538","5"
"5679","5611","657","2"
"5820","5611","341","21"
"5835","5611","40","5"
"6344","5611","341","4"
"6585","328","796","2"
"7488","328","486","88"
"14938","328","1771","2"
"17414","17376","92","5"
"17419","17376","446497","-1"
"31869","17376","2774","1"
"36880","36877","137","5"
"36882","36877","1585","7"
"36883","36877","2098","5"
"36885","36877","1820","92"
"38884","38875","2859","4"
"38885","38875","658","5"
"38886","38875","813","40"
"39035","38875","999","14"
"39128","38875","2169","3"
"39148","38875","1820","5"
"39164","38875","1820","1"
"40458","38875","1902010","0"
"52654","52646","1790","2"
"52768","52646","302","14"
"55224","55218","1444","0"
"55226","55218","2257","0"
"55227","55218","338","0"
"55233","55218","305","0"
"55241","55218","673","-1"
"55245","55218","3002","0"
"55247","55218","4926","1"
"55249","55218","5056","0"
"55298","55218","4913","0"
"55324","55218","255","19"
"55377","36877","5674","13"
"55647","55643","658","16"
"55690","55643","4137","0"
"56537","54230","4309","51"
"57672","55218","5961","0"
"60180","60174","1862","855"
"60195","60174","567","468"
"60442","60174","797","1662"
"60496","60174","1109","9040"
"60530","60174","1897","623"
"64118","55643","8250","0"
"64708","64631","6726","1"
"64719","64631","8123","0"
"64722","64631","8815","1"
"65026","52646","9096","0"
"67714","64631","7913","24"
"67739","64631","2976","0"
"70447","64631","10080","6"
"71358","71328","1968","2"
"71431","71328","6260","12"
"71439","71328","184","2"
"71444","71328","2169","58"
"71541","71328","10682","2"
"71568","71328","745","0"
"71612","71328","11910","10"
"71635","71328","287","1"
"74043","73947","7154","25"
"74063","73947","12870","3"
"74069","73947","12471","2"
"74128","73947","7122","2"
"74242","73947","7068","1"
"74505","73947","8815","2"
"74841","73947","5674","415"
"75839","71328","","2"
"75879","71328","8973","7"
"76528","76359","1425","4"
"76565","76359","8815","2"
"76608","76324","7888","0"
"76975","76324","6244","1"
"77290","71328","7548","2"
"77320","71328","3542","1"
"77349","71328","13864","18"
"77376","71328","13518","2"
"77396","71328","13978","0"
"77689","71328","13320","-1"
"79423","73947","14253","11"
"85951","657","12597","8"
"86061","657","9816","7"
"98020","97984","14979","40"
"98021","97984","11318","241"
"98023","97984","15578","6"
"98042","97984","11078","5"
"98046","97984","12038","5"
"98048","97984","3720","8"
"98120","97984","8427","8"
"101696","97984","9951","4"
"74448","73947","12657","19"
"101843","97984","7819","36"
"102520","102496","","0"
"102643","102496","2926","2"
"103117","102496","12267","4"
"103658","102496","9573","3"
"104790","97984","19165","11"
"108664","102496","10853","1"
"108754","102496","9360","1"
"108757","102496","14107","2"
"109438","97984","10080","3"
"109524","17376","2766176","1"
"110576","110575","1820","241"
"110596","110575","13724","10"
"116237","110575","20579","3"
"116305","110575","6726","2"
"121076","120977","2603","1"
"121100","120977","13005","7"
"127658","127638","3333","2"
"127694","127638","2859","0"
"127738","127638","14897","-1"
"127775","127739","8815","18"
"127801","127739","18180","2"
"127835","127638","11181","0"
"129713","129677","7548","79"
"129736","129677","2859","0"
"129760","129677","15099","22"
"129767","129677","8815","43"
"130271","127739","10837","2"
"130323","129677","18180","1194"
"130534","129677","18077","54"
"131064","131017","4193","4"
"131074","131017","14897","1"
"131084","131017","6441","0"
"131101","131017","","0"
"131911","131902","4853","18"
"131965","131902","19468","4"
"131984","131902","16511","4"
"132086","131017","15487","0"
"132095","131902","15214","-1"
"132141","132134","377","9"
"132158","132134","8934","0"
"132160","132134","12870","1"
"132190","132134","12895","1"
"133130","132134","2745","1"
"133427","132134","7211","11"
"134137","134099","2083","14"
"134138","134099","3043","516"
"134172","134099","18180","29"
"137019","131902","3896","5"
"137066","131902","2976","3"
"137118","131902","22465","2"
"137167","131902","10427","3"
"146845","146839","5190","2"
"146847","146839","","1"
"146861","146839","","8"
"146954","146839","11181","1"
"147831","146839","1384","1"
"148076","148068","15031","14"
"154878","154844","8815","0"
"154884","154844","6521","7"
"154892","154844","","1"
"155141","154844","20903","0"
"155212","154844","","0"
"155768","155751","459","0"
"156119","155751","3765","2"
"158346","155751","1151280","0"
"158594","155751","20486","0"
"159120","159114","96","3"
"159136","159114","655","1"
"159165","159114","2424","0"
"159206","159114","14688","2"
"159248","159114","8815","3"
"159272","159114","4257","6"
"169200","148068","24950","2"
"173731","173727","3215","6"
"173746","173727","16724","7"
"173750","173727","419","1"
"173754","173727","9403","3"
"173764","173727","17404","9"
"186129","129677","8454","217"
"187821","187736","25853","2"
"188357","187736","9361","11"
"199072","199017","2025","5"
"199115","199017","23102","-1"
"199123","199017","27009","9"
"199181","199017","15008","1"
"209743","71328","27009","4"
"210279","64631","3676","0"
"213696","213683","24181","2"
"213707","213683","28683","0"
"213733","213683","","0"
"213760","213683","28683","0"
"213779","213683","27204","0"
"214438","214431","24215","1"
"214450","214431","547","1"
"214499","214431","27025","0"
"216336","216324","67959","-2"
"216339","216324","24181","2"
"216457","216324","619","9"
"220449","220437","16399","26"
"220455","220437","14897","1"
"220490","220437","813","6"
"220993","220437","5441","0"
"221157","220437","4833","2"
"221180","220437","13724","17"
"223820","223800","27987","2"
"223834","223800","22224","21"
"232352","232228","15578","1"
"232874","232228","1384","4"
"238564","234590","31600","3"
"241961","241953","24950","-2"
"241983","241953","13281","3"
"242008","241953","16271","2"
"243498","243426","14045","0"
"202809","76324","27604","2"
"188431","187736","18077","0"
"243506","243426","15393","2"
"244956","244952","31582","1"
"245003","244952","5441","0"
"245008","244952","8435","1"
"245017","244952","28260","1"
"245051","244952","13925","1"
"245074","244952","31319","-2"
"246531","243426","29573","1"
"250458","36877","","14"
"256219","256172","5190","1"
"256279","256172","22388","39"
"258706","258625","6144","0"
"258736","258625","11649","6"
"259090","258625","25771","5"
"259336","258625","18180","5"
"260280","260236","28582","4"
"260286","260236","5445","17"
"260675","260664","1965","15"
"260681","260664","5445","3"
"260690","260664","3261","0"
"260694","260664","12424","0"
"260700","260664","20178","0"
"260709","260664","28835","1"
"260801","260664","33891","2"
"260829","260664","8946","23"
"261205","260664","25771","0"
"278621","278571","30443","3"
"278628","278571","20860","2"
"278664","278571","18180","6"
"280138","278571","","1"
"283790","283774","24181","15"
