id,owner_user_id
"328","59"
"657","115"
"5611","115"
"17376","338"
"36877","3871"
"38875","2644"
"52646","1581"
"54230",""
"55218","5441"
"55643","3578"
"60174","428190"
"64631",""
"71328","4012"
"73947","11911"
"76324","6244"
"76359","13320"
"97984","18359"
"102496","11503"
"110575","1820"
"120977","9094"
"127638","12529"
"127739","19087"
"129677","10680"
"131017",""
"131902","364"
"132134","950778"
"134099","305"
"146839","1467"
"148068","20900"
"154844","23911"
"155751","8123"
"159114","5509"
"173727","1771"
"187736","2506"
"199017","27304"
"213683",""
"214431","27025"
"216324","29373"
"220437","13281"
"223800","9290"
"232228","28714"
"234590","9859"
"241953",""
"243426","9114"
"244952","31319"
"256172","25375"
"258625","11438"
"260236",""
"260664",""
"278571","26107"
"283774","6615"
"286938","35513"
"297850",""
"298535","4639"
"315132","37019"
"322607","2227"
"323939","36532"
"324726","19165"
"334776","28714"
"335888","42135"
"339180","31671"
"339603","29772"
"343995","43649"
"346826","9642"
"347088",""
"347856","42111"
"358772","200521"
"368329","26155"
"373761","46264"
"379387","23597"
"394214","43980"
"395652","18393"
"398537","41021"
"401656","32775"
"404027","48067"
"410150","18393"
"413137","51649"
"414034","20074"
"419738","69346"
"431698","15141"
"437962",""
"443988","52494"
"446467","1246613"
"446986","42450"
"451601","13704"
"451623",""
"456546","18511"
"457014","21709"
"461800","55402"
"474698","144"
"477649","53467"
"478251","53467"
"481743","1390354"
"487889","8047"
"488804","59351"
"492340","27620"
"493531",""
"498521","26721"
"499062",""
"523629","2238"
"524908",""
"526438","5441"
"534742","16883"
"540496","13470"
"544239","54408"
"546438",""
"568609","10708"
"568657","31728"
"568995","31677"
"573121",""
"573307","2031"
"577507","69874"
"578679","69986"
"583592","62895"
"585358","4464"
"585891",""
"588803","14966"
"598844","31671"
"599509","49153"
"599535","72428"
"602539","1076409"
"606099","1585"
"606179","22674"
"608112","38400"
"613680","31671"
"617471","2610"
"619991",""
"623788","2443"
"629695","1246613"
"633109","48654"
"636912","42139"
"638057","1897"
"639680","27305"
"642007",""
"646195","76793"
"647514","70711"
"648307","32775"
"650101","1585"
"651481","22216"
"651902","69986"
"654688","68591"
"655691","60734"
"656329","42139"
"656373","76911"
"659197","51372"
"659657","76799"
"659950","78642"
"660175","58456"
"663910","20178"
"671042","29291"
"674510","79708"
"675172","81182"
"679756",""
"681530","78026"
"682260","78026"
"685855",""
"690108","80363"
"693270","47846"
"701580","80363"
"703704",""
"703963",""
"705636","69986"
"713165","45350"
"713344","68591"
"723791","53182"
"723945","83473"
"728047","46818"
"728324","15884"
"729041","50"
"732561","80264"
"738500","29538"
"738776","445265"
"742730","74980"
"753081","46011"
"756800","88898"
"759149","50"
"762221","25700"
"768442","89771"
"770830","43923"
"772011","71399"
"772502","93771"
"779917","62151"
"782785",""
"789599",""
"790086","67153"
"790232","92753"
"792522","94077"
"804969","98123"
"805686","5261"
"812639",""
"820307","78026"
"824822","78026"
"826981","62202"
"837417","65387"
"839172","3582"
"847306","47322"
"857194","22224"
"860895","20471"
"860954","25645"
"872386","459737"
"872570","76682"
"885439","80890"
"885532","745"
"887100","115"
"897550","51310"
"897740","69986"
"904344",""
"905118","131"
"908448","14979"
"912668","100240"
"922892","62401"
"929939","106140"
"932793","115203"
"942544","22452"
"945981","116725"
"947618","105008"
"953639","49478"
"953712","117719"
"956993","2170954"
"960990",""
"961313","89512"
"961830","28388"
"964071","71592"
"967181","49478"
"973194","97855"
"979360","31671"
"981587",""
"981828","119778"
"983896","419730"
"986468","6701"
"988926","89818"
"991434","122353"
"991542","83819"
"994371","99135"
"995501","79323"
"996139","13227"
"1007066","796"
"1010518","67655"
"1011538","123178"
"1017150","80353"
"1018829","107129"
"1027138","126908"
"1030905",""
"1036704","124453"
"1037250","3834"
"1039377",""
"1041509","89818"
"1042635",""
"1044121","115961"
"1045245","46011"
"1045988",""
"1047545","126908"
"1048726","32242"
"1049238",""
"1053316","32242"
"1054928","105539"
"1055460","117014"
"1057041",""
"1057986","32242"
"1059723","129100"
"1066491","51649"
"1066702","85192"
"1066930","32242"
"1082696","283055"
"1084814","131848"
"1085236","133055"
"1088726",""
"1091022","41021"
"1091106","119198"
"1091696","100171"
"1094137",""
"1094274","130479"
"1099697","6488"
"1106625","14690"
"1109277","103132"
"1116101",""
"1118654",""
"1121280","45390"
"1122902","111307"
"1135398","123577"
"1139360",""
"1139493","56308"
"1141040",""
"1142101","128081"
"1145132","128081"
"1146396","8678"
"1149118","126908"
"1150965","32032"
"1161751","142345"
"1162152","114446"
"1162829","94077"
"1163074","62642"
"1165040","20553"
"1166433","140169"
"1168983","131456"
"1171206","87596"
"1171627",""
"1175091","130704"
"1176006","128623"
"1181105","131456"
"1181259","143030"
"1182226","128623"
"1182584","45843"
"1183007","110514"
"1191822","146128"
"1192485","140970"
"1198375","146197"
"1201247","89035"
"1209525","10821"
"1210042","95944"
"1211236","146128"
"1211518","131456"
"1211822","123431"
"1215134","109277"
"1216242",""
"1216755","134972"
"1217065",""
"1220182","95183"
"1221118","100334"
"1221447","146128"
"1222249","89253"
"1226177","146128"
"1226406","120898"
"1234724","123389"
"1236374","37309"
"1240718","138905"
"1241570","111691"
"1241947","131456"
"1242196","54964"
"1245387","80907"
"1246416","28045"
"1252448","1444"
"1254180","100334"
"1255759","103091"
"1257830",""
"1258706",""
"1258820","146128"
"1265654","136259"
"1267998","141661"
"1274105","54964"
"1276498","146128"
"1278974","156198"
"1283352","78181"
"1283476","106111"
"1283909",""
"1287965","57625"
"1289061","140337"
"1290975","111691"
"1293741","49018"
"1293950","146773"
"1295346","158651"
"1300169","134502"
"1301863","110976"
"1304456",""
"1305354","130442"
"1307495","80907"
"1308057","159447"
"1308347","111416"
"1313223","86060"
"1314213","9249"
"1314521","93026"
"1314591",""
"1314978","161036"
"1317506","157644"
"1317792","148824"
"1318721","135448"
"1319320","84022"
"1319603","123663"
"1321669","66554"
"1323551",""
"1324829",""
"1326036",""
"1326181","77466"
"1333577","28835"
"1336776","69346"
"1342190",""
"1342955","99401"
"1343065","128581"
"1344657","1737290"
"1344951",""
"1345131","140337"
"1347810","164477"
"1349566",""
"1350030","77413"
"1350331","110432"
"1354380","165649"
"1354999","55619"
"1357149","165949"
"1363833","41021"
"1367065","41021"
"1372623","153383"
"1373813","167894"
"1381205",""
"1381409","4137"
"1382116",""
"1382303",""
"1383756","143030"
"1383869","122765"
"1387258",""
"1389176","115949"
"1389754","28388"
"1391132","125222"
"1391280","84022"
"1391613","143030"
"1398703","79126"
"1401727","171073"
"1406293","162668"
"1410901","159306"
"1412239","49018"
"1413320","161619"
"1415973","84292"
"1416092","156814"
"1416582","555"
"1420761","48118"
"1422391",""
"1426570","89818"
"1431313","107459"
"1431842","174230"
"1432545","161746"
"1432647","84022"
"1441990","147592"
"1448455","132257"
"1453649",""
"1455071","123389"
"1459739","142233"
"1460060","176469"
"1460208","148978"
"1462637","28351"
"1463454",""
"1468943","171021"
"1475489","169224"
"1477427","123389"
"1477944","93580"
"1480750","110976"
"1487680","68452"
"1487738","426996"
"1488440","180608"
"1489663","120171"
"1489731","9908"
"1502835",""
"1505529","182671"
"1511723","99923"
"1516661","64586"
"1523020","171405"
"1527172","185114"
"1527735","26130"
"1528012","85821"
"1530083","154137"
"1530949","185545"
"1531721","123663"
"1531820","50525"
"1531881","183603"
"1534012","145346"
"1535326","153110"
"1545099","184362"
"1546454","110337"
"1550947","99921"
"1551463","184362"
"1554648","188442"
"1555228","184362"
"1557487","182793"
"1560300","87596"
"1563438","20601"
"1563601","37947"
"1565188","188331"
"1565533","170574"
"1577514","65503"
"1579084","107129"
"1581136","175113"
"1581610","191600"
"1584420","174719"
"1584482","163394"
"1584552","133462"
"1586012","192112"
"1587540","283055"
"1587695","133203"
"1588294","192399"
"1589850","192557"
"1592608","100240"
"1593037","192904"
"1593429","148325"
"1595601","91612"
"1596454","184362"
"1597002","99329"
"1598231",""
"1599087","18548"
"1600039","193715"
"1600102","124192"
"1602880","184362"
"1609559","193763"
"1609899","58164"
"1610582","194042"
"1610682","80907"
"1614811","127212"
"1616167","78093"
"1617649","89752"
"1619418","179780"
"1629075","1737290"
"1633062","197584"
"1634324","1431143"
"1640731","198519"
"1642635","31677"
"1645785","111691"
"1646822","205707"
"1649515","106140"
"1650854","115983"
"1657601","200536"
"1660405",""
"1662769","201117"
"1666056","184362"
"1667996","82888"
"1683843","169157"
"1687893","184362"
"1688568","187606"
"1693296","115203"
"1695973","80932"
"1696663","80615"
"1699231","195072"
"1700189","297087"
"1704107","176741"
"1717547","113461"
"1726406","193375"
"1727329","9021"
"1727919","210271"
"1735572","208773"
"1737199","3191"
"1740277","128433"
"1741376","156532"
"1741838","68909"
"1742740","189850"
"1744282","94150"
"1748398","148968"
"1749014","212889"
"1751625","210540"
"1757618","95357"
"1758077","202895"
"1759035","133418"
"1760325","153995"
"1767117","27305"
"1773235","142937"
"1775957","216131"
"1777483","216313"
"1778977","216492"
"1780687","1737290"
"1782293","56430"
"1783137","217019"
"1785726","135503"
"1788150",""
"1789709","182349"
"1792541","86235"
"1795970","182349"
"1796203","139459"
"1799384","218889"
"1809717","218934"
"1809843","187606"
"1822119","221588"
"1822457","209828"
"1824796","6430"
"1826044","222089"
"1833167","222940"
"1837432","198729"
"1847357","2260"
"1851995","119198"
"1853357","225538"
"1858448","133462"
"1859473","190346"
"1861630","226549"
"1862391","156765"
"1862541","163255"
"1862710","186978"
"1864238","226818"
"1865020","139459"
"1865569","2260"
"1867269","189122"
"1869984","67153"
"1874313","43"
"1879207","228582"
"1884347","178552"
"1885423","229306"
"1885516","229276"
"1885979","756597"
"1886119","139459"
"1886765","139459"
"1889643","229818"
"1891392","150571"
"1895955","230607"
"1898439","1737290"
"1902833","220204"
"1908909","200894"
