id,view_count
"3027","2187"
"4004","19363"
"6847","2069"
"8318","9622"
"14350","4234"
"14617","381680"
"16003","162"
"18943","9221"
"19471","575"
"19956","355"
"20841","12028"
"22519","4590"
"22880","133952"
"23961","440"
"23988","907"
"24468","8557"
"24723","67739"
"28369","3104"
"29357","587"
"30946","8424"
"31865","3215"
"32369","266190"
"32991","195"
"34708","2022"
"38779","5668"
"40853","14766"
"45093","19090"
"46415","3322"
"47323","1890"
"49455","2439"
"51124","960"
"52239","23935"
"52830","195"
"53728","50045"
"55862","7453"
"57384","2852"
"57800","1695"
"64432","2964"
"68792","439"
"70450","17271"
"75057","29912"
"77686","736"
"87365","8469"
"95297","2547"
"95852","6427"
"96382","2594"
"99999","1018"
"101362","17494"
"108518","41841"
"109293","384"
"111451","796"
"111576","3998"
"117352","1043"
"117920","449"
"118463","15880"
"120206","1557"
"120380","2278"
"121490","309"
"121493","3016"
"123159","2158"
"132113","1910"
"138311","7592"
"138432","1041"
"139046","14185"
"139053","775"
"141427","976"
"143632","8728"
"144696","8719"
"148059","63896"
"157938","212007"
"162296","925"
"166411","1057"
"166639","559"
"170844","524"
"172392","2600"
"174131","3665"
"174225","26261"
"174348","91967"
"177331","5130"
"177560","1136"
"183656","11884"
"184328","23835"
"186789","1537"
"188114","2828"
"188835","1098"
"190771","15798"
"194358","1493"
"194869","1019"
"195509","2143"
"196150","105492"
"197268","6619"
"197388","4459"
"197835","369"
"198071","6259"
"198803","1144"
"201863","3457"
"202011","689405"
"205070","14518"
"205468","1974"
"205668","2155"
"205887","463"
"206438","16505"
"208007","3570"
"210832","2267"
"211263","184"
"211385","1266"
"211895","44440"
"211941","178"
"212510","161401"
"212858","478"
"213380","24805"
"215302","3046"
"215306","1999"
"221040","367"
"223395","5614"
"223480","6677"
"224049","1657"
"224272","741"
"226316","1873"
"228138","16695"
"229596","302"
"232484","4209"
"232990","2559"
"235759","10577"
"237816","18218"
"239262","57969"
"240713","44390"
"241040","5804"
"242648","5487"
"243744","1205"
"246822","4458"
"248789","837"
"252180","7046"
"252974","1613"
"254980","1874"
"255723","3749"
"258721","7012"
"259372","2642"
"259897","24485"
"261202","241"
"262145","748"
"263367","1173"
"263818","1354"
"265305","9164"
"267451","5253"
"267607","32135"
"269713","4428"
"270453","12580"
"273165","1842"
"273396","81663"
"274533","628"
"274659","11268"
"275444","1317"
"276132","383"
"276177","2382"
"277100","1545"
"277695","5077"
"278273","1416"
"279693","1192"
"281068","4460"
"281618","1329"
"281843","418"
"290236","1015"
"290460","295"
"291102","951"
"291294","2114"
"291744","879"
"295156","14185"
"295910","1182"
"296193","1567"
"297136","1955"
"299826","6260"
"303096","8316"
"304284","1617"
"304658","1865"
"306489","18589"
"307448","2777"
"307722","1206"
"309497","3565"
"310476","1748"
"311064","8167"
"312254","278"
"315240","2325"
"317175","14312"
"317788","1531"
"319508","6047"
"322262","597"
"327097","16520"
"333812","7466"
"337663","4220"
"340568","5387"
"341585","255"
"342378","38116"
"344314","121"
"344774","715"
"347056","8493"
"347948","11672"
"348090","2255"
"350177","4789"
"350588","5014"
"353799","903"
"354021","3085"
"354068","1539"
"354323","449"
"355418","1063"
"355632","683"
"357567","598"
"358967","2561"
"359342","12941"
"360520","100064"
"362948","4448"
"365158","173"
"367180","7449"
"369291","646"
"369312","363"
"372268","15764"
"372980","11875"
"375524","9971"
"379445","285"
"380336","6929"
"382464","19595"
"384489","5129"
"384725","118"
"387104","8527"
"388985","765"
"390677","978"
"390908","764"
"392928","5309"
"395045","39186"
"402705","9638"
"403394","2812"
"404806","11788"
"406179","635"
"408431","11294"
"409725","13065"
"410253","3327"
"412753","45335"
"413677","16303"
"415310","774"
"419288","103"
"421458","1278"
"426294","3933"
"427821","12232"
"432753","791"
"434776","1317"
"435408","210"
"441777","574"
"442443","17247"
"442594","1459"
"442898","411"
"442923","124566"
"444698","3088"
"445177","3982"
"447638","10078"
"447785","1056"
"449650","5455"
"454771","380"
"455234","409"
"456109","1831"
"457471","818"
"460519","5793"
"461120","345"
"461886","5772"
"465997","12892"
"473531","3297"
"473687","52451"
"475216","12211"
"476576","1164"
"476701","2297"
"478455","84"
"481098","2200"
"481845","7440"
"482341","163"
"483197","992"
"485866","1576"
"487739","530"
"488637","1281"
"489119","260041"
"491109","480"
"494211","8469"
"495392","6906"
"500586","72"
"503666","1526"
"507124","2448"
"507753","1571"
"508538","1623"
"512174","4884"
"516438","517"
"519872","3568"
"521101","104210"
"522778","8985"
"522967","18644"
"525056","2145"
"525156","9123"
"526576","15839"
"528938","7048"
"529971","2580"
"532070","838"
"533965","32652"
"536584","34496"
"538059","2631"
"538435","16062"
"539348","1044"
"540524","9058"
"543947","134"
"544463","7389"
"545172","1326"
"545849","413"
"549987","836"
"550742","1595"
"552681","2747"
"553353","4130"
"555076","2493"
"555222","3980"
"558877","2559"
"559995","4470"
"564632","1130"
"564684","2745"
"568970","900"
"575817","22259"
"579224","10911"
"580534","12301"
"587638","475"
"589834","85452"
"590708","4878"
"594443","401"
"595114","24286"
"596057","1103"
"601209","2978"
"601300","36891"
"604210","62651"
"606830","1258"
"607372","698"
"612178","3415"
"612728","1538"
"613962","28185"
"615144","2135"
"615954","1661"
"617109","3481"
"622061","8752"
"622930","7415"
"624012","2074"
"626303","1483"
"627395","189"
"629755","16163"
"632300","12056"
"632503","3952"
"641810","2716"
"655042","340"
"657676","1497"
"658826","10697"
"659737","3829"
"661081","803"
"661534","1162"
"673355","946"
"678454","10039"
"678471","356"
"680753","2266"
"681928","41798"
"684662","1781"
"689369","901"
"689508","1581"
"690566","14143"
"696629","1165"
"696702","1193"
"696741","332"
"696793","1235"
"700529","11062"
"701078","34027"
"701192","1448"
"706924","2721"
"710402","7453"
"713600","142"
"713611","148"
"714631","16924"
"715113","1978"
"715264","690"
"715348","1480"
"720673","5449"
"722008","7008"
"724950","639"
"725367","1869"
"728706","531"
"728899","1135"
"729908","273"
"732991","731"
"733463","1382"
"733753","23906"
"735778","4331"
"738071","2863"
"740812","7396"
"740837","15691"
"744050","7578"
"744530","15366"
"746998","64912"
"747538","3568"
"750831","223"
"750919","246"
"753801","1013"
"757857","18761"
"760358","1070"
"763450","374"
"763572","989"
"765448","292"
"767310","5609"
"768395","383"
"770635","7820"
"772858","8801"
"774569","10037"
"774925","13865"
"776579","12522"
"777100","435"
"779959","12854"
"781658","19213"
"781766","3866"
"782733","1448"
"783412","4031"
"783523","8004"
"785182","3495"
"786029","6449"
"788844","3796"
"789759","1822"
"792097","7054"
"793903","853"
"793932","368"
"795717","13315"
"795888","393"
"796934","3013"
"797764","162"
"800685","69986"
"801347","7173"
"806787","5891"
"809590","6927"
"810533","11359"
"812894","8360"
"812945","2759"
"816224","1477"
"820030","16707"
"820334","655"
"821375","1348"
"822969","2093"
"823821","1552"
"823853","3023"
"823996","1052"
"824215","373"
"827016","1034"
"828172","12153"
"829838","2522"
"830074","18782"
"830472","1528"
"832237","332"
"832483","2520"
"833262","2034"
"833358","3021"
"834155","2786"
"841984","6444"
"842357","7488"
"847188","68"
"849077","962"
"851538","2569"
"855302","5369"
"855473","106"
"855933","3335"
"858036","8489"
"859589","2371"
"861221","780"
"861577","2620"
"861911","16151"
"862350","389"
"862571","2209"
"867009","4069"
"869089","3079"
"869320","36533"
"870019","27001"
"870648","5209"
"871914","278"
"873562","235"
"874634","21420"
"878722","195"
"881661","10760"
"893959","39255"
"897293","8290"
"898175","1609"
"900763","990"
"901214","6778"
"901251","5609"
"901946","1495"
"904760","329"
"905331","4703"
"908283","733"
"909819","805"
"910241","2306"
"912761","179"
"915039","6178"
"915839","456"
"915860","146"
"918022","2862"
"918676","98324"
"919733","1629"
"920542","898"
"922779","5629"
"926402","245"
"929677","4715"
"932423","450"
"932910","126"
"935218","2194"
"936253","2140"
"936306","383"
"938031","10906"
"941528","1204"
"943488","790"
"945584","4923"
"945998","3549"
"946019","313"
"946547","1232"
"949543","6468"
"949570","2994"
"951487","4816"
"953118","1813"
"954556","2857"
"956639","2328"
"962354","441"
"965042","12735"
"967514","1233"
"968064","2437"
"968337","1508"
"969539","1478"
"969942","165"
"970114","1320"
"970569","1630"
"974612","1161"
"976696","1312"
"977686","514"
"978533","194"
"983964","90910"
"984106","167"
"984208","6249"
"984633","8240"
"984773","66279"
"986119","801"
"986403","21520"
"992944","435"
"994291","1029"
"995580","222"
"997972","1243"
"999010","12518"
"1000232","163"
"1000281","2292"
"1001744","2787"
"1002952","863"
"1004707","1048"
"1006120","448"
"1006841","2073"
"1007308","2509"
"1007348","274"
"1008779","318"
"1011777","6637"
"1011782","213"
"1012396","6558"
"1020218","10475"
"1024073","3917"
"1024730","1635"
"1025432","5477"
"1031856","3288"
"1033766","195"
"1034415","8600"
"1037590","48872"
"1038904","155"
"1043271","2051"
"1046025","372"
"1048549","493"
"1048722","4278"
"1052184","13464"
"1052771","359"
"1053940","3286"
"1055078","3219"
"1055677","319"
"1057501","2885"
"1057571","219"
"1057768","3323"
"1058680","630"
"1059689","1570"
"1062367","4670"
"1062589","6419"
"1063021","3987"
"1063138","333"
"1063533","20712"
"1069722","29867"
"1070486","250"
"1074542","231"
"1076165","15788"
"1077466","868"
"1079130","232"
"1079710","5650"
"1081976","539"
"1082386","277"
"1088945","101"
"1089342","1473"
"1089896","246"
"1090494","1682"
"1091665","390"
"1095349","730"
"1095871","508037"
"1098452","590"
"1101305","408"
"1102884","21094"
"1103203","242"
"1105493","452"
"1105971","3579"
"1108267","2232"
"1114103","191"
"1119281","765"
"1122086","7926"
"1123138","2351"
"1125330","674"
"1126732","860"
"1128950","629"
"1131733","3288"
"1134312","295"
"1135809","28493"
"1137361","2750"
"1137830","903"
"1137904","4718"
"1139137","5437"
"1141542","306"
"1142670","280"
"1144840","7316"
"1146262","6388"
"1149447","1594"
"1152872","6284"
"1159729","97591"
"1161340","5200"
"1168731","1156"
"1169652","6541"
"1170294","323"
"1170957","10689"
"1171583","160"
"1175008","7452"
"1180365","31165"
"1181155","1836"
"1188732","1941"
"1190251","4447"
"1191213","1536"
"1191973","11294"
"1192572","837"
"1193220","323"
"1193529","65019"
"1193697","861"
"1196312","22063"
"1196418","14436"
"1197888","186"
"1199058","56485"
"1203046","1506"
"1206025","172"
"1207207","3109"
"1211248","982"
"1212508","372"
"1212652","287"
"1214151","302"
"1214231","2116"
"1214621","5048"
"1222974","39021"
"1223667","1329"
"1226083","20825"
"1227330","487"
"1231551","52"
"1231735","646"
"1234990","2174"
"1238023","424"
"1239220","151"
"1239550","1311"
"1241024","1212"
"1243971","3324"
"1244182","9101"
"1248740","138"
"1251463","28139"
"1253994","242"
"1257299","46010"
"1257812","3005"
"1259053","261"
"1261994","5082"
"1263125","5088"
"1263291","323"
"1263750","1337"
"1263766","14834"
"1264367","3893"
"1267195","829"
"1278099","739"
"1282243","417"
"1282949","768"
"1284412","2216"
"1286391","189"
"1286578","1946"
"1289879","473"
"1294887","3627"
"1298588","3643"
"1300066","585"
"1303643","4567"
"1303761","537"
"1306251","256"
"1306461","3672"
"1306865","12084"
"1306942","14336"
"1307482","23821"
"1307998","533"
"1309995","1016"
"1314055","280"
"1317598","629"
"1320345","4441"
"1320671","15597"
"1320682","4075"
"1321080","1194"
"1321111","889"
"1323067","650"
"1324098","134"
"1326001","3389"
"1327742","2789"
"1329285","411"
"1332912","65"
"1333606","554"
"1333807","10908"
"1334651","90"
"1338546","1142"
"1340366","50108"
"1341622","1418"
"1341899","113"
"1342419","406"
"1343662","2005"
"1346070","7583"
"1350998","472"
"1352169","532"
"1352501","2673"
"1353160","517"
"1353933","773"
"1357569","4565"
"1360004","982"
"1360680","126"
"1361705","20644"
"1362262","583"
"1364114","1229"
"1366357","306"
"1371129","2342"
"1373574","2040"
"1373766","2313"
"1377258","1348"
"1378763","435"
"1379434","7762"
"1379702","941"
"1380231","265"
"1384807","2417"
"1388718","1514"
"1389055","1364"
"1391643","3870"
"1392089","263"
"1392303","857"
"1393155","1050"
"1393514","2155"
"1394916","4057"
"1396963","4471"
"1400198","23119"
"1401058","4105"
"1401639","3954"
"1410207","1648"
"1412417","1877"
"1413930","22364"
"1416190","1327"
"1417162","534"
"1417719","1519"
"1418846","2489"
"1426055","157"
