id,acceptedanswerid,answer_date
"657","669","2008-08-03 12:48:36"
"2688","2741","2008-08-05 19:38:51"
"6847","6862","2008-08-09 18:00:26"
"328","7488","2008-08-11 02:38:06"
"14350","14404","2008-08-18 09:59:50"
"16003","16175","2008-08-19 13:44:31"
"20227","20670","2008-08-21 17:59:50"
"22880","22913","2008-08-22 17:11:46"
"19956","23022","2008-08-22 17:51:57"
"23988","23997","2008-08-23 04:55:28"
"24468","24477","2008-08-23 18:42:49"
"11762","26283","2008-08-25 15:46:00"
"31865","31896","2008-08-28 09:14:14"
"31882","31983","2008-08-28 10:26:47"
"34638","34917","2008-08-29 18:12:36"
"23270","36667","2008-08-31 06:29:06"
"38779","40472","2008-09-02 20:12:02"
"40853","40867","2008-09-02 22:58:13"
"41220","41228","2008-09-03 06:02:00"
"47262","47263","2008-09-06 05:15:23"
"49226","49256","2008-09-08 07:01:45"
"51124","51131","2008-09-09 02:24:29"
"52239","52244","2008-09-09 16:05:00"
"54200","54213","2008-09-10 14:33:39"
"25546","55252","2008-09-10 20:32:38"
"55556","55634","2008-09-11 01:24:43"
"57384","57408","2008-09-11 19:29:23"
"59022","59035","2008-09-12 13:54:20"
"64258","64301","2008-09-15 16:10:50"
"44391","65953","2008-09-15 19:27:12"
"66870","66937","2008-09-15 21:02:26"
"70450","70536","2008-09-16 09:00:17"
"71328","71444","2008-09-16 11:41:23"
"80291","83079","2008-09-17 13:19:37"
"92561","92591","2008-09-18 13:37:29"
"93451","93463","2008-09-18 15:14:24"
"96624","96796","2008-09-18 20:49:42"
"97765","97805","2008-09-18 22:51:10"
"98026","98051","2008-09-18 23:37:18"
"99999","100060","2008-09-19 06:33:15"
"101337","101345","2008-09-19 12:08:59"
"103203","103768","2008-09-19 17:11:02"
"108838","108925","2008-09-20 18:25:43"
"111763","111783","2008-09-21 19:13:26"
"113526","113606","2008-09-22 07:23:22"
"120206","120223","2008-09-23 10:26:24"
"120977","121100","2008-09-23 13:46:21"
"121490","121562","2008-09-23 14:58:37"
"134988","135025","2008-09-25 18:22:45"
"136219","136312","2008-09-25 21:34:44"
