id,favorite
"549","6607"
"3486",""
"16861","30"
"28369","1"
"29175",""
"38421","9"
"39929","1"
"42115","1"
"46693","1"
"49455",""
"58621","7"
"69309",""
"69627",""
"69979","1"
"70653","5"
"76359","1"
"76408","15"
"90413","4"
"101427",""
"112768",""
"114052",""
"118374","6"
"121123","3"
"123499","1"
"123976","3"
"129629","1"
"132134","5"
"133393","7"
"140439","58"
"143632","2"
"144324",""
"153329",""
"157938","58"
"166340","25"
"166508",""
"172040","16"
"172392","2"
"182258","7"
"187434",""
"189555","126"
"190461","2"
"196244","1"
"196776","1"
"201505","1"
"209242","10"
"211483",""
"215498",""
"230321","8"
"230845","4"
"230994",""
"234590","1"
"239194","10"
"243426",""
"260236","10"
"260327",""
"265180",""
"265579","6"
"269713","6"
"273452","73"
"277044","36"
"278651","1"
"282762","1"
"288287",""
"291874",""
"292967",""
"300334","4"
"302936",""
"304086",""
"308609","4"
"311389",""
"318069","1"
"320923","5"
"323245",""
"324904",""
"327499",""
"329956","2"
"341966","1"
"343366",""
"350299","8"
"352172","1"
"360625","1"
"372383","4"
"372465","1"
"379319",""
"388800","44"
"393882","5"
"395652",""
"402936","3"
"410150","1"
"410392","15"
"419563","2"
"426294",""
"426463","0"
"429352","2"
"429998","1"
"435912","2"
"436220","95"
"447600",""
"449497","6"
"455220",""
"457307",""
"457727","1"
"461800","7"
"463768","2"
"463832","9"
"471800","7"
"474698",""
"475216","6"
"475928",""
"477053",""
"481995",""
"498630","2"
"502001",""
"506939","1"
"509449",""
"513056","5"
"518548","2"
"520266","8"
"525056","2"
"533200","2"
"536328","1"
"540738",""
"543096",""
"544433","19"
"545179","1"
"545294","2"
"550908",""
"551480","1"
"563805",""
"568247",""
"570755","3"
"585358","2"
"590375",""
"591300",""
"593952","4"
"595114","3"
"601995","3"
"604792","2"
"606324","2"
"615704","36"
"619620",""
"623299",""
"630670",""
"639051","3"
"639217","7"
"641545",""
"643355","32"
"650979",""
"651713","1"
"652851","2"
"654239","1"
"656787",""
"659737",""
"660175",""
"661084","11"
"661185","1"
"661599","33"
"663490","4"
"663890","5"
"675119",""
"681991","1"
"683568",""
"688766","2"
"690108","2"
"693826",""
"696472","16"
"696483",""
"697134",""
"708096",""
"710834",""
"711018",""
"717776",""
"721436",""
"721446","8"
"723129",""
"723653","38"
"723856","1"
"724195",""
"728143","18"
"728164","9"
"728531","5"
"729130",""
"734887",""
"740679","1"
"745083","1"
"748622","8"
"749682","14"
"754118",""
"764565","7"
"767978",""
"768677","2"
"778382","33"
"781312",""
"784848",""
"793761","17"
"798413","4"
"802459",""
"804155",""
"804969","4"
"806131","20"
"808748",""
"811670","1"
"823746","13"
"826323",""
"834932",""
"835124",""
"839280",""
"848788","2"
"852297",""
"852332","1"
"855394","3"
"858149",""
"858232","2"
"861864","7"
"872929","1"
"875771","1"
"876258",""
"877562",""
"880188","11"
"881734","2"
"884207","1"
"886893","4"
"886895",""
"895739","14"
"897020","5"
"897157",""
"901369","2"
"903650",""
"909658","7"
"909834",""
"914509","1"
"919983","2"
"922805","8"
"923296","10"
"925086","1"
"926137","30"
"929433","1"
"933883","9"
"934171",""
"938897",""
"938920",""
"939040","10"
"941837","0"
"944162",""
"946170","18"
"949727","14"
"964261","0"
"975785","0"
"976577","13"
"977007",""
"978350","6"
"980720","1"
"982226","0"
"982260","3"
"982682","8"
"983896","1"
"986403","6"
"990459",""
"992408","2"
"994965","1"
"1001744","3"
"1002627","0"
"1003960",""
"1006674","3"
"1007066",""
"1014593","7"
"1019707","11"
"1021909",""
"1027693",""
"1031588",""
"1040465",""
"1040724","2"
"1043382",""
"1043735",""
"1048439","1"
"1048722",""
"1050729","2"
"1056190",""
"1057768","2"
"1057871",""
"1058071","1"
"1061134","2"
"1063014","1"
"1064203","2"
"1066976","1"
"1070835",""
"1072497",""
"1078397","2"
"1079131","2"
"1084410",""
"1087227","61"
"1090615",""
"1091106",""
"1093532","3"
"1095250",""
"1096400","1"
"1103104","2"
"1103262","1"
"1105818","1"
"1111517","1"
"1113405",""
"1115832",""
"1126684","3"
"1128789","1"
"1130296","6"
"1130687","3"
"1130909",""
"1132766",""
"1134565","3"
"1137874","15"
"1139021",""
"1139622","3"
"1141542",""
"1147193",""
"1149932",""
"1160924","5"
"1163985","1"
"1169717",""
"1170738","4"
"1177285",""
"1178789","3"
"1182584","20"
"1183161","4"
"1186251",""
"1191822","6"
"1192485","6"
"1193578",""
"1198080",""
"1201048","32"
"1202910","6"
"1213224","0"
"1215556",""
"1215570",""
"1218093","2"
"1219899","97"
"1239669",""
"1240851",""
"1250437","5"
