id,owner_user_id
"3027","439"
"4004","525"
"8318","1054"
"14617","1769"
"18943","199"
"19471","260"
"20841","179"
"22519","2385"
"23961","2580"
"24723","1406"
"29357","657"
"30946","2147"
"32369","3262"
"32991","1965"
"34708","1931"
"45093","4541"
"46415","72"
"47323","1583"
"50142","2596"
"52830",""
"53728","184"
"55845","5203"
"55862","4154"
"56709","383"
"57800","1219"
"61622","886"
"68792",""
"73947","11911"
"75057","13099"
"77686","1432"
"87365","14570"
"87694",""
"95297","1694"
"96382","2041950"
"101362","18769"
"102496","11503"
"108518","17675"
"109293","2525"
"111451","19159"
"111576","17162"
"117352","15955"
"117920","781"
"118463","20150"
"118910","10520"
"120380","15474"
"121493","21002"
"123159","10352"
"131017",""
"132113",""
"138311","7473"
"138432","3122"
"139046","21379"
"144696","3560"
"148059","1599"
"162296","15406"
"166639","24805"
"167917","7028"
"170844","1311500"
"174131","10080"
"174225","24873"
"174348","21030"
"177331","21963"
"177560","22114"
"184328","6375"
"186789","18770"
"188114","8741"
"190771","24507"
"194358",""
"194869","71994"
"195509","15031"
"198071","27493"
"198803","13855"
"201863",""
"202011","3291"
"205070","7598"
"205468","15815"
"205668","24898"
"205887","28118"
"206438","826"
"208007","28528"
"210832","16794"
"211263","22582"
"211895","3535708"
"211941","905"
"212510",""
"212858","17337"
"213380","1942"
"215302","23486"
"215306","26111"
"216324","29373"
"221040","28207"
"223395",""
"223480","12469"
"224049","30187"
"224272","2233"
"228138","392"
"229596",""
"232228","28714"
"232484","26976"
"232990",""
"235759","16957"
"237816","31574"
"239262","1982"
"240713","7072"
"241040","392"
"242648","6369"
"243744",""
"246822","2610"
"252180","21969"
"252974","30056"
"253545","5552"
"258721",""
"259897","578"
"262145","30917"
"263367","27637"
"265305","39677"
"267607","16398"
"270453","33731"
"274533","34623"
"274659","22459"
"275444","9328"
"277100","697"
"277695","9941"
"278273","35223"
"279693","24622"
"281068",""
"281618",""
"290236","335036"
"291102","33910"
"291294","2706"
"295156","191"
"295825","1830329"
"295910","335036"
"296193","38292"
"297850",""
"299826","38663"
"300268","9266"
"304284","37193"
"304658","1996"
"306489","32247"
"307448","327"
"307495",""
"307722","39542"
"310476","33977"
"311064","3892"
"312254","571"
"313859","10644"
"317788","15124"
"319508","40875"
"322262","38734"
"337663","41384"
"339180","31671"
"341585","1492"
"343995","43649"
"344314","39057"
"344774","3226"
"347056",""
"347088",""
"347948","16511"
"348090","16684"
"348589","6852"
"350177","26004"
"354021","1456"
"354068","28540"
"354323","36378"
"355418",""
"357567","459737"
"358967","20520"
"359342","31516"
"360520","4249"
"365309","44010"
"369291","5789"
"369312","25718"
"372268","18103"
"372980","15168"
"375524","24970"
"379445","47466"
"382464","10420"
"384489","47544"
"384725","43734"
"386386",""
"388985","40214"
"390677","6258"
"390908","257734"
"392928","47341"
"401656","32775"
"402705",""
"403394","50530"
"404806","426996"
"406179","50819"
"408431","37450"
"412753","12318"
"413677","2361"
"414034","20074"
"415310","15377"
"419288","43058"
"427821","52063"
"432291",""
"432753","13627"
"434776","3713"
"435408","1190"
"441777",""
"442594","36131"
"442898","8741"
"442923","3002"
"444698","7280"
"445177","1574"
"446467","1246613"
"447638","39709"
"447785","50947"
"449650","55750"
"452664",""
"455234","41860"
"456109","425"
"456546","18511"
"457471","21849"
"461886","57153"
"465997","57577"
"473531","32021"
"476576","58386"
"476701","6486"
"477649","53467"
"478251","53467"
"481845","47167"
"483197","14072"
"485866","52146"
"488804","59351"
"489119","51649"
"491109",""
"494211","21981"
"500586","4697"
"503666","20553"
"507753","14302"
"512174","4280"
"516438","62935"
"519872","854"
"521101","37416"
"522967","5441"
"523629","2238"
"526576",""
"528938","39242"
"529971","64334"
"532070",""
"533965","6681"
"534742","16883"
"536584","10080"
"538059","59941"
"538435","65244"
"539348","4296"
"540524","98266"
"543947","908"
"544239","54408"
"544463","28287"
"545172","17335"
"550742","14118"
"552681","44269"
"553353",""
"555076","48729"
"555222","48729"
"558877","62830"
"564632","20406"
"564684","7205"
"568970","35954"
"568995","31677"
"575817","69672"
"579224","6716"
"583592","62895"
"589834","47341"
"590708","6791"
"599509","49153"
"599535","72428"
"601209","67624"
"601300",""
"602625","71904"
"604210","2348"
"607372","37064"
"612178","72136"
"612728","29675"
"613962",""
"615144","1491425"
"615954","399"
"617109","74470"
"622930",""
"624012","61217"
"626303","75629"
"627395",""
"629695","1246613"
"629755","55845"
"632300","67082"
"636912","42139"
"637727","2405"
"639845","54964"
"646195","76793"
"655042","8707"
"655691","60734"
"657676",""
"658826",""
"659197","51372"
"659970","4555"
"661081","75963"
"661426","79919"
"661534","54182"
"661819","78815"
"673355","62918"
"678454","80633"
"681530","78026"
"682306","14440"
"689369","42106"
"689508","63751"
"690566","23671"
"696702","72668"
"696741","66696"
"696793","73921"
"700529","62918"
"701078","1836"
"703963",""
"705636","69986"
"710402","86282"
"712339","802"
"713611","81514"
"715096","85839"
"715113","72871"
"715264","1343"
"715348","22452"
"720673","298"
"722008","43250"
"723945","83473"
"724950","50851"
"725367","79631"
"728706","66519"
"729908","13338"
"732991","79631"
"733435","45468"
"733463","86713"
"735778",""
"738071","42981"
"740812","86751"
"740837","86751"
"744050","13012"
"744530","7475"
"746998","1796"
"750831","76465"
"750919","60172"
