id,view_count
"5078","3207"
"8451","7085"
"8472","77046"
"17670","733"
"18290","20502"
"29346","28705"
"30800","18453"
"32412","2380"
"32964","1582"
"33104","1980"
"38875","24913"
"42833","3469"
"50769","679"
"51283","47621"
"52256","1263"
"52646","3521"
"54096","13348"
"54889","300"
"54991","224673"
"55218","15133"
"55296","30978"
"59926","2150"
"64059","4303"
"64208","8382"
"72304","2901"
"78599","423"
"86090","896"
"86513","257694"
"87371","130"
"88311","425314"
"90413","13772"
"92456","8285"
"96945","3668"
"102425","1625"
"103177","821"
"104592","6248"
"109997","16114"
"110123","475"
"111248","1035"
"116684","22465"
"118599","3692"
"127638","567"
"128028","4909"
"129677","536599"
"135600","8755"
"136065","153"
"136798","956"
"137392","670"
"141428","588"
"141484","21526"
"146839","478"
"149848","49936"
"154430","7635"
"155220","7721"
"155751","198"
"164268","3746"
"167252","1113"
"168946","21067"
"169334","1952"
"170115","128"
"170606","779"
"171237","1719"
"174387","2339"
"176338","1981"
"177804","2508"
"178210","1220"
"185210","977"
"186106","198"
"187655","228422"
"190198","4210"
"192268","3725"
"192811","540"
"196776","4996"
"197357","1292"
"201796","634"
"204787","240"
"205923","45609"
"207819","5909"
"209927","8397"
"210296","14357"
"214850","2604"
"215131","554"
"217547","531"
"220077","3311"
"223800","94712"
"225496","2729"
"225838","2098"
"229624","6106"
"232584","2610"
"233217","313643"
"234253","294"
"234871","3775"
"234872","1034"
"239063","2215"
"239463","1908"
"239979","1460"
"241282","4906"
"243646","121399"
"243957","17517"
"244152","1830"
"244882","284910"
"249540","19908"
"249567","8425"
"253673","11427"
"254935","23182"
"256172","34330"
"257015","12030"
"258625","1875"
"259663","6535"
"262023","1851"
"262531","7538"
"262554","2852"
"270625","347"
"273496","233"
"273803","2656"
"281891","4674"
"284500","2861"
"286750","478"
"286871","6849"
"289077","1629"
"290405","12029"
"291941","2637"
"292993","2216"
"295566","86087"
"295973","823"
"301855","353"
"303149","34892"
"304495","213"
"306830","539"
"307047","13728"
"308501","11077"
"310929","756"
"317652","5397"
"318475","3016"
"322607","335"
"323067","426"
"326699","119907"
"330207","34110"
"330299","158"
"331901","1154"
"332365","207039"
"333532","30152"
"334776","7055"
"339004","80508"
"339312","6765"
"339603","50417"
"340129","281"
"340820","22114"
"340984","6466"
"341290","1479"
"351354","1660"
"351873","2636"
"353609","93"
"354161","1365"
"355883","2140"
"358772","5810"
"367870","150"
"369981","1341"
"376519","77"
"377901","9775"
"379276","13999"
"379941","630"
"380895","214"
"381042","924"
"384451","533"
"393580","11805"
"394214","7785"
"406358","237"
"409782","960"
"424210","15479"
"426888","5255"
"430599","2154"
"434404","657"
"436715","5278"
"436760","748"
"437061","119418"
"443151","7575"
"443487","2464"
"444248","2513"
"444395","4846"
"449922","7102"
"450089","1584"
"450732","13251"
"451288","1325"
"453908","6745"
"454048","153764"
"456837","165"
"458481","362"
"459175","6128"
"462865","1520"
"463832","6441"
"464511","173"
"466748","4271"
"467117","493"
"467150","291"
"469733","7384"
"470531","371"
"473806","522"
"476640","202"
"477930","1382"
"479499","398"
"490881","5582"
"496255","1336"
"499062","242"
"503469","1428"
"507591","441"
"511907","515"
"513330","4281"
"523001","338"
"526438","2845"
"527768","4604"
"528858","116014"
"530972","396"
"537930","4693"
"539463","26665"
"540161","3144"
"541219","7152"
"543096","361"
"547219","165334"
"547501","725"
"547545","185"
"562250","133"
"562350","107778"
"566996","4291"
"570160","14616"
"570944","3843"
"571081","2552"
"578313","1068"
"578588","341"
"579850","10632"
"583280","2814"
"584050","1759"
"585891","341"
"587357","37622"
"587896","3153"
"591794","1531"
"595873","1946"
"597188","82086"
"604175","4957"
"604924","590"
"605498","6387"
"606686","2061"
"608387","2645"
"610080","2258"
"610229","363"
"611808","290"
"613619","2628"
"617782","4458"
"618777","675"
"619880","1754"
"619921","11808"
"621649","7183"
"622978","447"
"623159","3872"
"623955","358"
"626043","498"
"628416","31736"
"632167","23180"
"633384","5096"
"634100","407"
"636248","3237"
"638621","220"
"639935","436"
"645509","1080"
"646086","9479"
"646531","20006"
"648307","516"
"649141","9548"
"650979","846"
"651902","2065"
"652916","249859"
"653304","4524"
"659657","1953"
"661084","14042"
"662677","351"
"667147","3557"
"667192","1222"
"674751","8454"
"675823","730"
"678400","12059"
"679270","137"
"679756","13306"
"681231","359"
"693270","13527"
"698700","22399"
"698720","2257"
"701580","3445"
"702421","3871"
"703704","128"
"704831","1198"
"707072","287"
"707587","898"
"707785","805"
"708441","351"
"709456","1939"
"712504","1971"
"714704","1834"
"715634","611"
"721895","613"
"725625","1130"
"725875","20405"
"726662","12099"
"730206","5295"
"732561","16666"
"733971","440"
"735193","200"
"735405","340"
"738500","4299"
"742730","936"
"746193","116"
"746347","23937"
"746816","407"
"749618","1013"
"752276","377"
"753719","5701"
"756850","562"
"757318","721"
"758823","339"
"759800","398"
"761313","3901"
"761889","533"
"762459","36211"
"764564","1524"
"770900","10703"
"771069","4515"
"771466","133"
"771535","2351"
"772502","631"
"772888","273"
"773912","4276"
"774615","266"
"774627","1976"
"778991","131"
"781690","669"
"782930","464"
"787471","887"
"788459","6464"
"788808","19678"
"799325","4158"
"804130","3987"
"804456","7876"
"805324","3395"
"807447","1206"
"809602","4742"
"811988","2103"
"815985","3179"
"819765","2205"
"821579","345"
"824688","532"
"825709","6335"
"827518","2921"
"833786","11875"
"833835","1106"
"835012","295"
"835826","594"
"836459","7804"
"839499","2119"
"840279","4863"
"843317","1691"
"846314","219"
"846460","3186"
"847306","2125"
"849987","579"
"850256","697"
"853861","147"
"856912","23120"
"859652","1673"
"867171","20759"
"869470","3232"
"871388","1607"
"875983","304"
"876557","4798"
"878430","1620"
"879321","1941"
"883986","433"
"884209","662"
"884927","4777"
"885300","5368"
"885485","27293"
"885532","5380"
"888473","306"
"890085","3348"
"890396","4587"
"890889","4929"
"890938","2135"
"891018","2597"
"892469","469"
"893588","1912"
"894047","748"
"896821","191"
"897740","153"
"900367","159"
"905029","1248"
"905851","1413"
"906210","961"
"906900","10142"
"908448","407"
"910208","1744"
"911946","2086"
"915999","32666"
"916061","2298"
"916834","137"
"917857","1336"
"920954","756"
"922231","3528"
"923154","269"
"924081","16659"
"926956","174"
"932339","4353"
"933199","531"
"935010","7717"
"940174","725"
"940529","916"
"944679","9152"
"944745","3182"
"948041","671"
